# 241|Абразивная сетка
 1|Абразивная сетка P&numsp;   K&Uuml;SSNER, уп. 5 шт.|241|115&thinsp;&times;&thinsp;280&thinsp;мм|1010-12.05.06| 63,95| 62,45| 59,95||norow|Абразивная сетка| K&Uuml;SSNER, <strong>очень высокое, европейское качество</strong>|</span></p><UL><LI>В листах 115&thinsp;&times;&thinsp;280&thinsp;мм.</UL><p><span class="addt"><br><b>Цена за упаковку 5 шт.</b>||/img/pic/abraz/small/abrs1010-12n.jpg|/img/pic/abraz/big/abrs1010-12n.jpg
 0|Абразивная сетка P&numsp;60 K&Uuml;SSNER, уп. 5 шт.|241|115&thinsp;&times;&thinsp;280&thinsp;мм|1010-12.05.06| 63,95| 62,45| 59,95|
 0|Абразивная сетка P&numsp;80 K&Uuml;SSNER, уп. 5 шт.|241|115&thinsp;&times;&thinsp;280&thinsp;мм|1010-12.05.08| 63,95| 62,45| 59,95|
 0|Абразивная сетка P100       K&Uuml;SSNER, уп. 5 шт.|241|115&thinsp;&times;&thinsp;280&thinsp;мм|1010-12.05.10| 63,95| 62,45| 59,95|
 0|Абразивная сетка P120       K&Uuml;SSNER, уп. 5 шт.|241|115&thinsp;&times;&thinsp;280&thinsp;мм|1010-12.05.12| 63,95| 62,45| 59,95|
 0|Абразивная сетка P150       K&Uuml;SSNER, уп. 5 шт.|241|115&thinsp;&times;&thinsp;280&thinsp;мм|1010-12.05.15| 63,95| 62,45| 59,95|
 0|Абразивная сетка P180       K&Uuml;SSNER, уп. 5 шт.|241|115&thinsp;&times;&thinsp;280&thinsp;мм|1010-12.05.18| 63,95| 62,45| 59,95|
 0|Абразивная сетка P240       K&Uuml;SSNER, уп. 5 шт.|241|115&thinsp;&times;&thinsp;280&thinsp;мм|1010-12.05.24| 63,95| 62,45| 59,95|
 1|Абразивная сетка P&numsp;   HARDAX                 |241|115&thinsp;&times;&thinsp;280&thinsp;мм|31-8-204     | 29,00| 29,00| 29,00||sale1 norow|Абразивная сетка| HARDAX, <strong>карбид кремния</strong>|</span></p><UL><LI>Абразивный слой &mdash; карбид кремния.<LI>Основа &mdash; стекловолоконная сетка.<LI>Сетчатая структура позволяет избегать забивания ячеек продуктами обработки.</UL><p><span class="addt"><b>Цена за упаковку 3 шт.</b>||/img/pic/abraz/small/abrs31-8-204.jpg|/img/pic/abraz/big/abrs31-8-204.jpg
 0|Абразивная сетка P&numsp;40 HARDAX, уп. 3 шт.      |241|115&thinsp;&times;&thinsp;280&thinsp;мм|31-8-204     | 29,00| 29,00| 29,00|
 0|Абразивная сетка P&numsp;60 HARDAX, уп. 3 шт.      |241|115&thinsp;&times;&thinsp;280&thinsp;мм|31-8-206     | 29,00| 29,00| 29,00|
