1|Диск алмазный сегментный|28|73017|1360|1290||Диск алмазный сегментный| "GROSS" 230х22,2&nbsp;мм, упорядоченное расположение алмаза <span class=art>арт. 73017</span>|Профессиональный иструмент для сухой резки бетона, в том числе армированного, кирпича, мрамора, керамического гранита, керамической плитки, шлакоблоков, пеноблоков.</span></p></span></p><UL><LI>Изготовлен из инструментальной стали.<LI>Режущие сегменты диска изготовлены по современной технологии ARIX, обеспечивающей равномерное распределение алмазов в связке.<LI>Высота режущего слоя 10 мм.</UL><p><span class="addt">Цена за 1 шт.||/img/pic/abraz/small/73017.jpg|/img/pic/abraz/big/jpg
1|Диск Турбо "BERGEN" 125х22,2&nbsp;мм|28|3732-BG|144|133||Диски Турбо для сухой резки| "BERGEN" |<br>Цена за 1 шт.||/img/pic/abraz/small/Disk almaz BERGEN 230 _ a.jpg|/img/pic/abraz/big/Disk almaz BERGEN 230 _ a.jpg
0|Диск Турбо "BERGEN" 230х22,2&nbsp;мм|28|3736-BG|490|450
1|Диск "Prorab" Турбо 125х22,23&nbsp;мм|28|CT 201-125|139|119||Диски алмазные турбированные| "Prorab"|Для сухой и мокрой резки.<br>Цена с НДС за 1 шт.||/img/pic/abraz/small/ALMAZNY DISC - PRORAB.jpg|/img/pic/abraz/big/ALMAZNY DISC - PRORAB.jpg
0|Диск "Prorab" Турбо 150х22,23&nbsp;мм|28|CT 201-150|170|140
0|Диск "Prorab" Турбо 180х22,23&nbsp;мм|28|CT 201-180|210|190
0|Диск "Prorab" Турбо 230х22,23&nbsp;мм|28|CT 201-230|345|325
1|Диск "Sparta" Турбо 125х22,2&nbsp;мм|28|731195|109|99||Диски Турбо для сухой резки| "SPARTA"|<br>Цена с НДС за 1 шт.</td><td class=nopnob align=center width=1><a class=lightbox-enabled href=/img/pic/abraz/big/DISC%20%20ALMAZNY%20SPARTA.jpg rel=lightbox><img src=/img/pic/abraz/small/DISC%20%20ALMAZNY%20SPARTA.jpg width=98></a>||/img/pic/abraz/small/KRUG ALMAZ SPARTA 125.jpg|/img/pic/abraz/big/KRUG ALMAZ SPARTA 125.jpg
0|Диск "Sparta" Турбо 150х22,2&nbsp;мм|28|731215|150|135
0|Диск "Sparta" Турбо 180х22,2&nbsp;мм|28|731235|200|185
0|Диск "Sparta" Турбо 230х22,2&nbsp;мм|28|731275|365|335
1|Диск "GROSS" Турбо 125х22,2&nbsp;мм|28|73029|520|470||Диски алмазные турбированные| "GROSS"|</span></p></span></p><UL><LI>Турбо<LI>Лазерная перфорация</UL><p><span class="addt"><br>Цена за 1 шт.||/img/pic/abraz/small/ALMAZ GROSS.jpg|/img/pic/abraz/big/ALMAZ GROSS.jpg
0|Диск "GROSS" Турбо 230х22,2&nbsp;мм|28|73034|920|850
1|Диск отрезной алмазный сегментный|28||380|355||| "Matrix" PREMIUM 230х22,2&nbsp;мм <span class=art>арт. 73177</span>|Для сухой резки.<br><br>Цена за 1 шт.||/img/pic/abraz/small/DISC ALMAZNY Matrix Premium 230 SEGMENTNY.jpg|/img/pic/abraz/big/DISC ALMAZNY Matrix Premium 230 SEGMENTNY.jpg
1|Диск алмазный сплошной для мокрой резки|28||340|325||| "Matrix" PREMIUM 200х25,4&nbsp;мм <span class=art>арт. 73190</span>|Для мокрой резки бетона и керамической плитки.<br>Цена за 1 шт.||/img/pic/abraz/small/ALMAZNY DISC - MATRIX- 200 mm Sploshnoy.jpg|/img/pic/abraz/big/ALMAZNY DISC - MATRIX- 200 mm Sploshnoy.jpg
1|Диск Турбо для сухой резки|28||230|190||| "Matrix" PREMIUM 150х22,2&nbsp;мм <span class=art>арт. 73180</span>|<br>Цена за 1 шт.||/img/pic/abraz/small/DISC ALMAZ 150 MM MATRIX PREMIUM.jpg|/img/pic/abraz/big/DISC ALMAZ 150 MM MATRIX PREMIUM.jpg
1|Диск отрезной алмазный сегментный|28||255|225||| EUROPA Standard 230х22,23&nbsp;мм <span class=art>арт. 72171</span>|Для сухой резки. Глубина резки: бетон -- до 2,5 см; асфальт -- до 6,0 см.<br>Цена за 1 шт.||/img/pic/abraz/small/ALMAZNY DISC - Evropa Standart.jpg|/img/pic/abraz/big/ALMAZNY DISC - Evropa Standart.jpg
