# 32|Шпильки резьбовые оцинкованная
1| Шпильки длиной 1 метр|32|||||||subhead|Шпилька резьбовая оцинкованная| DIN 975|<abbr title="Предел прочности на растяжение: 400 МПа;&#xa;Относительный предел текучести: 0.8;&#xa;Предельная нагрузка = 400 МПа x 0.8 = 320 МПа.">Класс прочности 4.8</abbr><br><br><b>Цена за 1 шт.</b>||/img/pic/metrkr/small/SHPILKA.jpg|/img/pic/metrkr/big/SHPILKA.jpg
0|Шпилька DIN 975 М&nbsp;&nbsp;6 х 1000 мм|32|S06-1000|0.180 кг| 13,90| 13,50| 13,20
0|Шпилька DIN 975 М&nbsp;&nbsp;8 х 1000 мм|32|S08-1000|0.317 кг| 20,95| 19,95| 19,50
0|Шпилька DIN 975 М10 х 1000 мм           |32|S10-1000|0.500 кг| 34,00| 32,00| 31,00
0|Шпилька DIN 975 М12 х 1000 мм           |32|S12-1000|0.721 кг| 48,00| 45,00| 44,00
0|Шпилька DIN 975 М14 х 1000 мм           |32|S14-1000|1.023 кг| 70,00| 66,00| 64,00
0|Шпилька DIN 975 М16 х 1000 мм           |32|S16-1000|1.325 кг| 89,00| 86,00| 84,00
0|Шпилька DIN 975 М18 х 1000 мм           |32|S18-1000|1.660 кг|128,00|123,00|117,00
0|Шпилька DIN 975 М20 х 1000 мм           |32|S20-1000|2.075 кг|156,00|165,00|162,00
0|Шпилька DIN 975 М22 х 1000 мм           |32|S22-1000|2.580 кг|229,00|215,00|205,00||norow
0|Шпилька DIN 975 М24 х 1000 мм           |32|S24-1000|2.981 кг|245,00|230,00|225,00
0|Шпилька DIN 975 М30 х 1000 мм           |32|S30-1000|4.500 кг|418,00|398,00|380,00||norow
0|Шпилька DIN 975 М36 х 1000 мм           |32|S36-1000|6.600 кг|695,00|680,00|660,00||norow
0| Шпильки длиной 2 метра|32|||||||subhead                     | 27,80| 27,00| 26,40
0|Шпилька DIN 975 М&nbsp;&nbsp;6 х 2000 мм|32|S06-2000|0.360 кг| 27,80| 27,00| 26,40
0|Шпилька DIN 975 М&nbsp;&nbsp;8 х 2000 мм|32|S08-2000|0.634 кг| 41,90| 39,90| 39,00
0|Шпилька DIN 975 М10 х 2000 мм           |32|S10-2000|1.000 кг| 68,00| 64,00| 62,00
0|Шпилька DIN 975 М12 х 2000 мм           |32|S12-2000|1.442 кг| 96,00| 90,00| 88,00
0|Шпилька DIN 975 М14 х 2000 мм           |32|S14-2000|2.046 кг|140,00|132,00|128,00
0|Шпилька DIN 975 М16 х 2000 мм           |32|S16-2000|2.650 кг|178,00|172,00|168,00
0|Шпилька DIN 975 М18 х 2000 мм           |32|S18-2000|3.320 кг|256,00|246,00|224,00
0|Шпилька DIN 975 М20 х 2000 мм           |32|S20-2000|4.150 кг|312,00|330,00|324,00
0|Шпилька DIN 975 М24 х 2000 мм           |32|S24-2000|5.962 кг|490,00|260,00|450,00
# О, воин, что ко сну идущий, читай устав на сон грядущий... и утром из постели встав, читай усиленно устав.

# 33 |Гайка
~1|Гайка ГОСТ 5915-70 М&#8199;6|33|GZ06 |0.0026 кг|105,00|102,00| 98,00|||Гайка оцинкованная| ГОСТ 5915-70|<b>Цена за 1 кг</b>||/img/pic/metrkr/small/Gajka Zn.jpg|/img/pic/metrkr/big/Gajka Zn.jpg
~0|Гайка ГОСТ 5915-70 М&#8199;8|33|GZ08 |0.0055 кг|105,00|102,00| 98,00|
~0|Гайка ГОСТ 5915-70       М10|33|GZ10 |0.0103 кг| 98,00| 95,00| 93,00|
~0|Гайка ГОСТ 5915-70       М12|33|GZ12 |0.0157 кг| 98,00| 95,00| 93,00|
~0|Гайка ГОСТ 5915-70       М14|33|GZ14 |0.0225 кг|105,00|102,00| 98,00|
~0|Гайка ГОСТ 5915-70       М16|33|GZ16 |0.0254 кг|105,00|102,00| 98,00|
~0|Гайка ГОСТ 5915-70       М18|33|GZ18 |0.0442 кг|112,00|106,00|102,00|
~0|Гайка ГОСТ 5915-70       М20|33|GZ20 |0.0540 кг|116,00|112,00|106,00|
 0|Гайка ГОСТ 5915-70       М22|33|GZ22 |0.0720 кг|116,00|112,00|106,00|
~0|Гайка ГОСТ 5915-70       М24|33|GZ24 |0.0930 кг|122,00|119,00|115,00|
 0|Гайка ГОСТ 5915-70       М27|33|GZ27 |-        |122,00|119,00|115,00|
 0|Гайка ГОСТ 5915-70       М30|33|GZ30 |-        |122,00|119,00|115,00|
 0|Гайка ГОСТ 5915-70       М36|33|GZ36 |-        |129,00|123,00|118,00|
 0|Гайка ГОСТ 5915-70       М42|33|GZ42 |-        |129,00|129,00|118,00|
~1|Гайка DIN 6334 М&#8199;6    |33|GSZ06|0.0081 кг|  2,90|  2,80|  2,60|||Гайка соединительная (переходная) оцинкованная| DIN 6334|<b>Цена за 1 шт.</b>||/img/pic/metrkr/small/Gajka perehodnaja.jpg|/img/pic/metrkr/big/Gajka perehodnaja.jpg
~0|Гайка DIN 6334 М&#8199;8    |33|GSZ08|0.0181 кг|  3,90|  3,80|  3,60|
~0|Гайка DIN 6334       М10    |33|GSZ10|0.0402 кг|  7,90|  7,70|  7,60|
