# 32,cat32|Шпильки резьбовые оцинкованные
 1|Шпилька резьбовая оцинкованная|32|||||||norow|| DIN 975|<abbr title="Предел прочности на растяжение: 400 МПа;&#xa;Относительный предел текучести: 0.8;&#xa;Предельная нагрузка = 400 МПа x 0.8 = 320 МПа.">Класс прочности 4.8</abbr><br><br><b>Цена за 1 шт.</b>||/img/pic/metrkr/small/SHPILKA.jpg|/img/pic/metrkr/big/SHPILKA.jpg
 0| Шпильки длиной 1 метр|32|||||||subhead
 0|Шпилька DIN 975 &numsp;М6 х 1000 мм  |32|S06-1000|0.180 кг|  24,00|  23,00|  22,00
 0|Шпилька DIN 975 &numsp;М8 х 1000 мм  |32|S08-1000|0.317 кг|  33,00|  32,00|  30,00
 0|Шпилька DIN 975 М10 х 1000 мм        |32|S10-1000|0.500 кг|  41,00|  40,00|  38,00
 0|Шпилька DIN 975 М12 х 1000 мм        |32|S12-1000|0.721 кг|  62,00|  60,00|  58,00
 0|Шпилька DIN 975 М14 х 1000 мм        |32|S14-1000|1.023 кг|  89,00|  87,00|  85,00
 0|Шпилька DIN 975 М16 х 1000 мм        |32|S16-1000|1.325 кг| 145,00| 142,00| 140,00
 0|Шпилька DIN 975 М18 х 1000 мм        |32|S18-1000|1.660 кг| 178,00| 174,00| 171,00
 0|Шпилька DIN 975 М20 х 1000 мм        |32|S20-1000|2.075 кг| 280,00| 275,00| 270,00
 0|Шпилька DIN 975 М22 х 1000 мм        |32|S22-1000|2.580 кг| 300,00| 295,00| 290,00
 0|Шпилька DIN 975 М24 х 1000 мм        |32|S24-1000|2.981 кг| 325,00| 315,00| 305,00
 0| Шпильки длиной 2 метра|32|||||||subhead                  |  46,00|  44,00|  42,00
 0|Шпилька DIN 975 &numsp;М6 х 2000 мм  |32|S06-2000|0.360 кг|  48,00|  46,00|  44,00
 0|Шпилька DIN 975 &numsp;М8 х 2000 мм  |32|S08-2000|0.634 кг|  66,00|  64,00|  60,00
 0|Шпилька DIN 975 М10 х 2000 мм        |32|S10-2000|1.000 кг|  82,00|  80,00|  76,00
 0|Шпилька DIN 975 М12 х 2000 мм        |32|S12-2000|1.442 кг| 124,00| 120,00| 116,00
 0|Шпилька DIN 975 М14 х 2000 мм        |32|S14-2000|2.046 кг| 178,00| 174,00| 170,00
 0|Шпилька DIN 975 М16 х 2000 мм        |32|S16-2000|2.650 кг| 290,00| 284,00| 280,00
 0|Шпилька DIN 975 М18 х 2000 мм        |32|S18-2000|3.320 кг| 356,00| 348,00| 342,00
 0|Шпилька DIN 975 М20 х 2000 мм        |32|S20-2000|4.150 кг| 560,00| 550,00| 540,00
 0|Шпилька DIN 975 М24 х 2000 мм        |32|S24-2000|5.962 кг| 650,00| 630,00| 610,00
#0|Шпилька DIN 975 М30 х 1000 мм        |32|S30-1000|4.500 кг| 828,07| 814,15| 793,28
#0|Шпилька DIN 975 М36 х 1000 мм        |32|S36-1000|6.600 кг|1377,79|1356,92|1336,05
# О, воин, что ко сну идущий, читай устав на сон грядущий... и утром из постели встав, читай усиленно устав.

# 33,cat33 |Гайка
~1|Гайка ГОСТ 5915-70 М&#8199;6|33|GZ06 |0.0026 кг|149,00|146,00|142,00|||Гайка оцинкованная| ГОСТ 5915-70|<b>Цена за 1 кг</b>||/img/pic/metrkr/small/Gajka Zn.jpg|/img/pic/metrkr/big/Gajka Zn.jpg
~0|Гайка ГОСТ 5915-70 М&#8199;8|33|GZ08 |0.0055 кг|149,00|146,00|142,00|
~0|Гайка ГОСТ 5915-70       М10|33|GZ10 |0.0103 кг|149,00|146,00|142,00|
~0|Гайка ГОСТ 5915-70       М12|33|GZ12 |0.0157 кг|149,00|146,00|142,00|
~0|Гайка ГОСТ 5915-70       М14|33|GZ14 |0.0225 кг|177,00|175,00|172,00|
~0|Гайка ГОСТ 5915-70       М16|33|GZ16 |0.0254 кг|177,00|175,00|172,00|
~0|Гайка ГОСТ 5915-70       М18|33|GZ18 |0.0442 кг|177,00|175,00|172,00|
~0|Гайка ГОСТ 5915-70       М20|33|GZ20 |0.0540 кг|177,00|175,00|172,00|
