1|√воздь строительный √ќ—“ 4028-80 1.2х16 мм; уп. 5 кг, 25 кг |14|6800||59.00|58.00|nails|√возди строительные| √ќ—“ 4028-80|÷ена за 1 кг||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
0|√воздь строительный √ќ—“ 4028-80 1.2х20 мм; уп. 5        кг |14|5400||58.00|57.00
0|√воздь строительный √ќ—“ 4028-80 1.4х25 мм; уп.       25 кг |14|3300||58.00|57.00
0|√воздь строительный √ќ—“ 4028-80 1.6х25 мм; уп. 5 кг, 25 кг |14|2500||58.00|57.00
0|√воздь строительный √ќ—“ 4028-80 1.8х32 мм; уп. 5 кг, 25 кг |14|1560||57.00|56.00
0|√воздь строительный √ќ—“ 4028-80 2.0х40 мм; уп. 5 кг, 25 кг |14|1050||49.00|48.00
0|√воздь строительный √ќ—“ 4028-80 2.5х50 мм; уп. 5 кг, 25 кг |14|0530||42.00|38.50|blkt
0|√воздь строительный √ќ—“ 4028-80 2.5х60 мм; уп. 5 кг, 25 кг |14|0450||42.00|38.50
0|√воздь строительный √ќ—“ 4028-80 3.0х70 мм; уп. 5 кг, 25 кг |14|0270||39.90|37.00
0|√воздь строительный √ќ—“ 4028-80 3.0х80 мм; уп. 5 кг, 25 кг |14|0230||39.90|37.00
0|√воздь строительный √ќ—“ 4028-80 3.5х90 мм; уп. 5 кг, 25 кг |14|0150||38.50|36.50
0|√воздь строительный √ќ—“ 4028-80 4.0х100мм; уп. 5 кг, 25 кг |14|0105||37.50|35.90|blkt
0|√воздь строительный √ќ—“ 4028-80 4.0х120мм; уп. 5 кг, 25 кг |14|  86||37.50|35.90
0|√воздь строительный √ќ—“ 4028-80 5.0х150мм; уп. 5 кг, 25 кг |14|  45||37.50|35.90
0|√воздь строительный √ќ—“ 4028-80 6.0х200мм; уп. 5 кг, 25 кг |14|  23||37.50|35.90
0|√воздь строительный √ќ—“ 4028-80 6.0х200мм; уп.       10 кг |14|  23||37.90|35.90
1|√воздь строительный DIN 1151 7,6х250 мм; уп. 5 кг, 10 кг, 15 кг|14| ||49.50|48.50|nails|√возди строительные| DIN 1151|÷ена за 1 кг||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
0|√воздь строительный DIN 1151 8,0х250 мм; уп. 5 кг, 10        кг|14| ||52.50|51.00
0|√воздь строительный DIN 1151 8,0х300 мм; уп. 5               кг|14| ||57.50|44.72
0|√воздь строительный DIN 1151 8,8х300 мм; уп. 5 кг, 20        кг|14| ||57.50|44.72

0|√воздь строительный √ќ—“ 4028-80 7.6х250мм; уп. 5 кг, 10 кг |14|  11||57.50|57.50
0|√воздь строительный √ќ—“ 4028-80 8.8х300мм; уп. 5 кг, 10 кг |14|   7||57.50|57.50
0|√воздь строительный DIN 1151 7,6х260 мм; уп. 5               кг|14| ||57.50|-

1|√воздь шиферный оцинкованный 5.0х120 мм; уп. 15 кг, 20 кг|15|080|69.00|67.00||√возди шиферные| оцинкованные|÷ена с Ќƒ— за 1 кг
0|√воздь шиферный оцинкованный 5.0х150 мм; уп. 15 кг, 20 кг|15|065|-|-|
1|√воздь финишный оцинкованный 1.6х30 мм; уп. 5 кг|15||85.00|82.00||√возди финишные| оцинкованные|÷ена с Ќƒ— за 1 кг
0|√воздь финишный оцинкованный 1.8х40 мм; уп. 5 кг|15||79.00|75.00|
0|√воздь финишный оцинкованный 2.0х50 мм; уп. 5 кг|15||79.00|75.00|
0|√воздь финишный оцинкованный 2.0х60 мм; уп. 5 кг|15||79.00|75.00|
1|√воздь ершеный оцинкованный 2.5х50 мм; уп. 5 кг|15|480|77.00|73.00||√возди ершеные| оцинкованные|÷ена с Ќƒ— за 1 кг
0|√воздь ершеный оцинкованный 2.8х60 мм; уп. 5 кг|15|320|77.00|73.00|
0|√воздь ершеный оцинкованный 3.1х70 мм; уп. 5 кг|15|230|75.00|72.00|
0|√воздь ершеный оцинкованный 3.1х80 мм; уп. 5 кг|15|200|75.00|72.00|
0|√воздь ершеный оцинкованный 3.4х90 мм; уп. 5 кг|15|150|74.00|71.00|
1|√воздь винтовой оцинкованный 3.4х70 мм; уп. 5 кг|15|200|77.00|75.00||√возди винтовые| оцинкованные|÷ена с Ќƒ— за 1 кг
0|√воздь винтовой оцинкованный 3.4х90 мм; уп. 5 кг|15|160|77.00|75.00

1|ƒюбель-гвоздь оцинкованный 4.5х30 мм; уп. 20 кг, 25 кг|3|180|139.00|133.00||ƒюбель-гвозди оцинкованные дл€ монтажного пистолета|. ƒл€ креплени€ к бетонным, кирпичным поверхност€м|÷ена с Ќƒ— за 1 кг||/img/pic/krep/small/Dubel gv dla pistoleta.jpg|/img/pic/krep/big/Dubel gv dla pistoleta.jpg
0|ƒюбель-гвоздь оцинкованный 4.5х40 мм; уп. 20 кг, 25 кг|3|150|129.00|123.00
0|ƒюбель-гвоздь оцинкованный 4.5х50 мм; уп. 20 кг, 25 кг|3|125|129.00|123.00
0|ƒюбель-гвоздь оцинкованный 4.5х60 мм; уп. 20 кг, 25 кг|3|110|129.00|123.00
