1|ƒюбель-гвоздь дл€ быстрого монтажа 6 х 40 мм|20|G06040-100|100|   72,45|   67,20|   64,05| |ƒюбель-гвозди дл€ быстрого монтажа||<UL><LI>гвоздь с пласмассовым дюбелем<LI>потайной бортик</UL><p><span class="addt"><b>÷ена за 100 шт.</b>||/img/pic/krep/small/Dubel gv BYSTRY MONTAZ Potajnoy bortic.jpg|/img/pic/krep/big/Dubel gv BYSTRY MONTAZ Potajnoy bortic.jpg
0|ƒюбель-гвоздь дл€ быстрого монтажа 6 х 40 мм|20|G06040-200|200|   72,45|   67,20|   64,05|
0|ƒюбель-гвоздь дл€ быстрого монтажа 6 х 60 мм|20|G06060-100|100|  103,95|   97,65|   95,55|blkt2
0|ƒюбель-гвоздь дл€ быстрого монтажа 6 х 60 мм|20|G06060-200|200|  103,95|   97,65|   95,55
0|ƒюбель-гвоздь дл€ быстрого монтажа 6 х 80 мм|20|G06080-100|100|  134,40|  128,10|  124,95|blkt2
0|ƒюбель-гвоздь дл€ быстрого монтажа 8 х 60 мм|20|G08060-050|050|  180,60|  176,40|  172,20|blkt
0|ƒюбель-гвоздь дл€ быстрого монтажа 8 х 60 мм|20|G08060-100|100|  180,60|  176,40|  172,20
0|ƒюбель-гвоздь дл€ быстрого монтажа 8 х 80 мм|20|G08080-050|050|  218,40|  207,90|  203,70|blkt2
0|ƒюбель-гвоздь дл€ быстрого монтажа 8 х 80 мм|20|G08080-100|100|  218,40|  207,90|  203,70
0|ƒюбель-гвоздь дл€ быстрого монтажа 8 х 80 мм|20|G08080-500|500|  218,40|  207,90|  203,70
0|ƒюбель-гвоздь дл€ быстрого монтажа 8 х100 мм|20|G08100-050|050|  268,80|  258,30|  252,00|blkt2
0|ƒюбель-гвоздь дл€ быстрого монтажа 8 х100 мм|20|G08100-100|100|  268,80|  258,30|  252,00
0|ƒюбель-гвоздь дл€ быстрого монтажа 8 х100 мм|20|G08100-500|500|  268,80|  258,30|  252,00
0|ƒюбель-гвоздь дл€ быстрого монтажа 8 х120 мм|20|G08120-050|050|  315,00|  294,00|  283,50|blkt2
0|ƒюбель-гвоздь дл€ быстрого монтажа 8 х120 мм|20|G08120-100|100|  315,00|  294,00|  283,50
0|ƒюбель-гвоздь дл€ быстрого монтажа 8 х140 мм|20|G08140-025|025|  420,00|  399,00|  378,00|blkt2
0|ƒюбель-гвоздь дл€ быстрого монтажа 8 х140 мм|20|G08140-050|050|  420,00|  399,00|  378,00
0|ƒюбель-гвоздь дл€ быстрого монтажа 8 х140 мм|20|G08140-100|100|  420,00|  399,00|  378,00
0|ƒюбель-гвоздь дл€ быстрого монтажа 10х100 мм|20|G10100-025|025|  609,00|  588,00|  567,00|blkt
0|ƒюбель-гвоздь дл€ быстрого монтажа 10х100 мм|20|G10100-050|050|  609,00|  588,00|  567,00

1|ƒюбель распорный с шипами (Єж) 6 х 25 мм|229|06025-1000|1000|198,00|188,00|182,00||ƒюбели распорные с шипами| (Єж)|<UL><LI>пластмассовый дюбель</UL><p><span class="addt">÷ена за 1000 шт.||/img/pic/krep/small/DUBEL EZH.jpg|/img/pic/krep/big/DUBEL EZH.jpg
0|ƒюбель распорный с шипами (Єж) 6 х 40 мм|229|06040-1000|1000|238,00|224,00|218,00
0|ƒюбель распорный с шипами (Єж) 6 х 40 мм|229|06040-0500| 500|238,00|224,00|218,00
0|ƒюбель распорный с шипами (Єж) 6 х 60 мм|229|06060-1000|1000|298,00|288,00|278,00
0|ƒюбель распорный с шипами (Єж) 8 х 40 мм|229|08040-1000|1000|289,00|279,00|269,00|blkt
0|ƒюбель распорный с шипами (Єж) 8 х 60 мм|229|08060-0500| 500|496,00|476,00|464,00
0|ƒюбель распорный с шипами (Єж) 8 х 80 мм|229|08080-0500| 500|650,00|620,00|596,00

#0|ƒюбель распорный с шипами (Єж) 6 х 30 мм|229|06030-1000|1000|129.00|129.00|129.00
