## 14|Гвозди строительные
1|64832|Гвоздь строительный ГОСТ 4028-80 1.2 х 16 мм, уп. 5 кг|14|5|кг||6800|98,00|93,00|90,00|| |Гвозди строительные| ГОСТ 4028-80|В упаковках от 5 до 25 кг.<br><br><b>Цена за 1 кг.</b>||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
0|64833|Гвоздь строительный ГОСТ 4028-80 1.2 х 20 мм, уп. 5 кг|14|5|кг||5400|92,00|88,00|84,00|
0|64834|Гвоздь строительный ГОСТ 4028-80 1.4 х 25 мм, уп. 5 кг|14|5|кг||3300|87,00|83,00|80,00|
0|64835|Гвоздь строительный ГОСТ 4028-80 1.6 х 25 мм, уп. 5 кг|14|5|кг||2500|87,00|83,00|80,00|
0|64836|Гвоздь строительный ГОСТ 4028-80 1.8 х 32 мм, уп. 5 кг|14|5|кг||1560|67,00|64,00|64,00|
0|64837|Гвоздь строительный ГОСТ 4028-80 2.0 х 40 мм, уп. 5 кг|14|5|кг||1050|64,00|61,00|58,00||blkt
0|64838|Гвоздь строительный ГОСТ 4028-80 2.5 х 50 мм, уп. 5 кг|14|5|кг|| 530|47,00|45,00|42,00||red
0|64839|Гвоздь строительный ГОСТ 4028-80 2.5 х 60 мм, уп. 5 кг|14|5|кг|| 450|47,00|45,00|42,00|
0|64840|Гвоздь строительный ГОСТ 4028-80 3.0 х 70 мм, уп. 5 кг|14|5|кг|| 270|45,00|43,00|41,00||red
0|64841|Гвоздь строительный ГОСТ 4028-80 3.0 х 80 мм, уп. 5 кг|14|5|кг|| 230|45,00|43,00|41,00||red
0|64842|Гвоздь строительный ГОСТ 4028-80 3.5 х 90 мм, уп. 5 кг|14|5|кг|| 150|45,00|43,00|41,00|
0|64843|Гвоздь строительный ГОСТ 4028-80 4.0х100  мм, уп. 5 кг|14|5|кг|| 105|44,00|42,00|40,00||blkt red
0|64844|Гвоздь строительный ГОСТ 4028-80 4.0х120  мм, уп. 5 кг|14|5|кг||  86|44,00|42,00|40,00||red
0|64845|Гвоздь строительный ГОСТ 4028-80 5.0х150  мм, уп. 5 кг|14|5|кг||  45|44,00|42,00|40,00||red
0|64846|Гвоздь строительный ГОСТ 4028-80 6.0х200  мм, уп. 5 кг|14|5|кг||  23|44,00|42,00|40,00||red
1|64847|Гвоздь строительный DIN 1151 7,6 х 250 мм             |14|5|кг||    |75,00|73,00|68,00|| |Гвозди строительные| DIN 1151|В упаковках от 5 до 20 кг.<br><br><b>Цена за 1 кг.</b>||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
0|64848|Гвоздь строительный DIN 1151 7,6 х 260 мм             |14|5|кг||    |75,00|73,00|68,00|
0|64849|Гвоздь строительный DIN 1151 8,0 х 250 мм             |14|5|кг||    |75,00|73,00|68,00|
0|64850|Гвоздь строительный DIN 1151 8,0 х 300 мм             |14|5|кг||    |75,00|73,00|68,00|
0|64851|Гвоздь строительный DIN 1151 8,8 х 300 мм             |14|5|кг||    |75,00|73,00|68,00|

#1|Гвоздь строительный ГОСТ 4028-80 1.2 х 16 мм; уп. 5 кг, 25 кг|14||6800|98,00|93,00|90,00|| |Гвозди строительные| ГОСТ 4028-80|Цена за 1 кг||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
#0|Гвоздь строительный ГОСТ 4028-80 1.2 х 20 мм; уп. 5 кг, 25 кг|14||5400|92,00|88,00|84,00|
#0|Гвоздь строительный ГОСТ 4028-80 1.4 х 25 мм; уп. 5 кг, 25 кг|14||3300|87,00|83,00|80,00|
#0|Гвоздь строительный ГОСТ 4028-80 1.6 х 25 мм; уп. 5 кг, 25 кг|14||2500|87,00|83,00|80,00|
#0|Гвоздь строительный ГОСТ 4028-80 1.8 х 32 мм; уп. 5 кг, 25 кг|14||1560|67,00|64,00|64,00|
#0|Гвоздь строительный ГОСТ 4028-80 2.0 х 40 мм; уп. 5 кг, 25 кг|14||1050|64,00|61,00|58,00||blkt
#0|Гвоздь строительный ГОСТ 4028-80 2.5 х 50 мм; уп. 5 кг, 25 кг|14|| 530|47,00|45,00|42,00||red
#0|Гвоздь строительный ГОСТ 4028-80 2.5 х 60 мм; уп. 5 кг, 25 кг|14|| 450|47,00|45,00|42,00|
#0|Гвоздь строительный ГОСТ 4028-80 3.0 х 70 мм; уп. 5 кг, 25 кг|14|| 270|45,00|43,00|41,00||red
#0|Гвоздь строительный ГОСТ 4028-80 3.0 х 80 мм; уп. 5 кг, 25 кг|14|| 230|45,00|43,00|41,00||red
#0|Гвоздь строительный ГОСТ 4028-80 3.5 х 90 мм; уп. 5 кг, 25 кг|14|| 150|45,00|43,00|41,00|
#0|Гвоздь строительный ГОСТ 4028-80 4.0х100мм;   уп. 5 кг, 25 кг|14|| 105|44,00|42,00|40,00||blkt red
#0|Гвоздь строительный ГОСТ 4028-80 4.0х120мм;   уп. 5 кг, 25 кг|14||  86|44,00|42,00|40,00||red
#0|Гвоздь строительный ГОСТ 4028-80 5.0х150мм;  уп. 5, 10, 25 кг|14||  45|44,00|42,00|40,00||red
#0|Гвоздь строительный ГОСТ 4028-80 6.0х200мм;  уп. 5, 10, 25 кг|14||  23|44,00|42,00|40,00||red
