1|√воздь шиферный оцинкованный 5.0 х 120 мм; уп. 15 кг, 20 кг|15||080|69.00|67.00||√возди шиферные| оцинкованные|÷ена за 1 кг.||/img/pic/krep/small/shif.jpg|/img/pic/krep/big/jpg
0|√воздь шиферный оцинкованный 5.0 х 150 мм; уп. 15 кг, 20 кг|15||065|-|-|
1|√воздь финишный оцинкованный 1.6 х 30 мм; уп. 5 кг|15|||85.00|82.00||√возди финишные| оцинкованные|÷ена за 1 кг.||/img/pic/krep/small/finish.jpg|/img/pic/krep/big/jpg
0|√воздь финишный оцинкованный 1.8 х 40 мм; уп. 5 кг|15|||79.00|75.00|
0|√воздь финишный оцинкованный 2.0 х 50 мм; уп. 5 кг|15|||79.00|75.00|
0|√воздь финишный оцинкованный 2.0 х 60 мм; уп. 5 кг|15|||79.00|75.00|
1|√воздь ершеный оцинкованный 2.5 х 50 мм; уп. 5 кг|15||480|77.00|73.00||√возди ершеные| оцинкованные|÷ена за 1 кг.||/img/pic/krep/small/ersh2.jpg|/img/pic/krep/big/jpg
0|√воздь ершеный оцинкованный 2.8 х 60 мм; уп. 5 кг|15||320|77.00|73.00|
0|√воздь ершеный оцинкованный 3.1 х 70 мм; уп. 5 кг|15||230|75.00|72.00|
0|√воздь ершеный оцинкованный 3.1 х 80 мм; уп. 5 кг|15||200|75.00|72.00|
0|√воздь ершеный оцинкованный 3.4 х 90 мм; уп. 5 кг|15||150|74.00|71.00|
1|√воздь винтовой оцинкованный 3.4 х 70 мм; уп. 5 кг|15||200|77.00|75.00||√возди винтовые| оцинкованные|÷ена за 1 кг.||/img/pic/krep/small/vint1.jpg|/img/pic/krep/big/jpg
0|√воздь винтовой оцинкованный 3.4 х 90 мм; уп. 5 кг|15||160|77.00|75.00
