# 20|ƒюбели с шурупом дл€ быстрого монтажа
 1|ƒюбель с шурупом дл€ быстрого монтажа 6 х 40 мм|20|G06040-100 | 100|  49,44|  47,84|  45,76||norow|ƒюбель с шурупом дл€ быстрого монтажа| (ƒюбель-гвоздь)|<br><b>÷ена за упаковку.</b>||/img/pic/krep/small/Dubel gv BYSTRY MONTAZ Potajnoy bortic.jpg|/img/pic/krep/big/Dubel gv BYSTRY MONTAZ Potajnoy bortic.jpg
 0|ƒюбель с шурупом дл€ быстрого монтажа 6 х 40 мм|20|G06040-100 | 100|  49,44|  47,84|  45,76||
 0|ƒюбель с шурупом дл€ быстрого монтажа 6 х 40 мм|20|G06040-150 | 150|  74,16|  71,76|  68,64||
 0|ƒюбель с шурупом дл€ быстрого монтажа 6 х 40 мм|20|G06040-200 | 200|  98,88|  95,68|  91,52||
 0|ƒюбель с шурупом дл€ быстрого монтажа 6 х 40 мм|20|G06040-2500|2500|1236,00|1196,00|1144,00||
 0|ƒюбель с шурупом дл€ быстрого монтажа 6 х 60 мм|20|G06060-100 | 100|  86,52|  84,24|  82,16||blkt2
#0|ƒюбель с шурупом дл€ быстрого монтажа 6 х 60 мм|20|G06060-150 | 200| 129,78| 126,88| 122,72|
 0|ƒюбель с шурупом дл€ быстрого монтажа 6 х 60 мм|20|G06060-200 | 200| 173,04| 168,48| 164,32|
 0|ƒюбель с шурупом дл€ быстрого монтажа 6 х 60 мм|20|G06060-1000|1000| 865,20| 842,40| 821,60|
 0|ƒюбель с шурупом дл€ быстрого монтажа 6 х 80 мм|20|G06080-050 | 050|  57,68|  55,12|  53,04||blkt2
 0|ƒюбель с шурупом дл€ быстрого монтажа 6 х 80 мм|20|G06080-100 | 100| 115,36| 110,24| 106,08|
#0|ƒюбель с шурупом дл€ быстрого монтажа 6 х 80 мм|20|G06080-500 | 100|       |       |       |
 0|ƒюбель с шурупом дл€ быстрого монтажа 8 х 60 мм|20|G08060-050 | 050|  90,64|  88,40|  85,28||blkt
 0|ƒюбель с шурупом дл€ быстрого монтажа 8 х 60 мм|20|G08060-100 | 100| 181,28| 176,80| 170,56|
 0|ƒюбель с шурупом дл€ быстрого монтажа 8 х 80 мм|20|G08080-050 | 050| 113,30| 109,20| 106,08||blkt2
 0|ƒюбель с шурупом дл€ быстрого монтажа 8 х 80 мм|20|G08080-100 | 100| 226,60| 218,40| 212,16|
 0|ƒюбель с шурупом дл€ быстрого монтажа 8 х 80 мм|20|G08080-500 | 500|1133,00|1092,00|1060,80|
#0|ƒюбель с шурупом дл€ быстрого монтажа 8 х100 мм|20|G08100-050 | 050| 175,10| 170,56| 166,40||blkt2
 0|ƒюбель с шурупом дл€ быстрого монтажа 8 х100 мм|20|G08100-100 | 100| 350,20| 341,12| 332,80||blkt2
 0|ƒюбель с шурупом дл€ быстрого монтажа 8 х100 мм|20|G08100-500 | 500|1751,00|1664,00|1560,00|
 0|ƒюбель с шурупом дл€ быстрого монтажа 8 х120 мм|20|G08120-050 | 050| 221,45| 213,20| 208,00||blkt2
 0|ƒюбель с шурупом дл€ быстрого монтажа 8 х120 мм|20|G08120-100 | 100| 442,90| 426,40| 416,00|
 0|ƒюбель с шурупом дл€ быстрого монтажа 8 х120 мм|20|G08120-500 | 500|2214,50|2132,00|2080,00|
 0|ƒюбель с шурупом дл€ быстрого монтажа 8 х140 мм|20|G08140-025 | 025| 128,75| 124,80| 119,60||blkt2
 0|ƒюбель с шурупом дл€ быстрого монтажа 8 х140 мм|20|G08140-050 | 050| 257,50| 249,60| 239,20|
 0|ƒюбель с шурупом дл€ быстрого монтажа 8 х140 мм|20|G08140-100 | 100| 515,00| 499,20| 478,40|
#0|ƒюбель с шурупом дл€ быстрого монтажа 8 х140 мм|20|G08140-250 | 100|1287,50|1248,00|1196,00|
 0|ƒюбель с шурупом дл€ быстрого монтажа 10х100 мм|20|G10100-025 | 025| 133,90| 130,00| 124,80||blkt
 0|ƒюбель с шурупом дл€ быстрого монтажа 10х100 мм|20|G10100-050 | 050| 267,80| 260,00| 249,60|

# 229|ƒюбель распорный с шипами ("Єж")
1|ƒюбель распорный с шипами ("Єж")  6 х 25                       |229|  1|тыс. шт.|          | 217,80|188,00|182,00||norow|ƒюбели распорные с шипами| (&laquo;Єж&raquo;)|<br><b>÷ена за 1000 шт.</b>||/img/pic/krep/small/DUBEL EZH.jpg|/img/pic/krep/big/DUBEL EZH.jpg
0|ƒюбель распорный с шипами ("Єж")  6 х 25 мм, уп.       1000 шт.|229|  1|тыс. шт.|06025-1000| 170,00|165,00|160,00
0|ƒюбель распорный с шипами ("Єж")  6 х 40 мм, уп. &numsp;500 шт.|229|0.5|тыс. шт.|06040-0500| 208,00|198,00|192,00||blkt2
0|ƒюбель распорный с шипами ("Єж")  6 х 40 мм, уп.       1000 шт.|229|  1|тыс. шт.|06040-1000| 208,00|198,00|192,00
