1|PLUMBSITE GENESIS &nbsp;&nbsp;400 мм |213|781-40-40 &nbsp;| 680,00| 660||Профессиональные уровни| PLUMBSITE GENESIS|Высококачественные профессиональные уровни фирмы KAPRO (Kapro Industries Ltd., Израиль).<UL><LI>Фрезерованная рабочая поверхность.<LI>Полиакриловые тестированные колбы (защита от протекания и растрескивания).<LI>Точность: 0,5 мм/м (0,029&deg;).<LI>Исключается ошибка углового зрения при измерении вертикальных поверхностей.</UL>||/img/pic/instr/small/KAPRO 700.jpg|/img/pic/instr/big/KAPRO 700.jpg
0|PLUMBSITE GENESIS &nbsp;&nbsp;600 мм |213|781-40-60 &nbsp;| 720,00| 690
0|PLUMBSITE GENESIS &nbsp;&nbsp;800 мм |213|781-40-80 &nbsp;| 840,00| 790
0|PLUMBSITE GENESIS 1000 мм            |213|781-40-100|       995,00| 980
0|PLUMBSITE GENESIS 1200 мм            |213|781-40-120|      1295,00|1259
0|PLUMBSITE GENESIS 1500 мм            |213|781-40-150|      1495,00|1440
0|PLUMBSITE GENESIS 2000 мм            |213|781-40-200|      2295,00|2220
0|PLUMBSITE GENESIS &nbsp;&nbsp;600 мм, 3 глазка|213|781-41-60 &nbsp;|   890,00| 860
0|PLUMBSITE GENESIS &nbsp;&nbsp;800 мм, 3 глазка|213|781-41-80 &nbsp;|   990,00| 960
0|PLUMBSITE GENESIS            2000 мм, 3 глазка|213|781-41-200|        1995,00|1930
1|PLUMBSITE GENESIS &nbsp;&nbsp;600 мм МАГНИТ   |213|781-41-60PM &nbsp;|1290,00|1220||Профессиональные уровни PLUMBSITE GENESIS| МАГНИТ|<UL><LI>Фрезерованная рабочая поверхность.<LI>Полиакриловые тестированные колбы (защита от протекания и растрескивания).<LI>В базовую поверхность встроены мощные магниты.<LI>Точность: 0,5 мм/м (0,029&deg;).<LI>Исключается ошибка углового зрения при измерении вертикальных поверхностей.</UL>||/img/pic/instr/small/k781.jpg|/img/pic/instr/big/k781.jpg
0|PLUMBSITE GENESIS &nbsp;&nbsp;800 мм МАГНИТ   |213|781-41-80PM &nbsp;|1495,00|1440
0|PLUMBSITE GENESIS 1000 мм МАГНИТ              |213|781-41-100PM|      1595,00|1560
0|PLUMBSITE GENESIS 1200 мм МАГНИТ              |213|781-41-120PM|      1795,00|1750
0|PLUMBSITE GENESIS 1500 мм МАГНИТ              |213|781-41-150PM|      2295,00|2220
0|PLUMBSITE GENESIS 2000 мм МАГНИТ              |213|781-41-200PM|      2690,00|2590
1|PLUMBSITE GENESIS SHARK 400 мм|213|920-10-40 | 850,00| 820||Профессиональные уровни| PLUMBSITE SHARK|Высококачественные профессиональные ударопрочные уровни фирмы KAPRO (Kapro Industries Ltd., Израиль).<UL><LI>Фрезерованная рабочая поверхность.<LI>Резиновые вставки позволяют выравнивать поверхность молотком, не убирая уровень.<LI>Полиакриловые тестированные колбы (защита от протекания и растрескивания).<LI>Точность: 0,5 мм/м (0,029&deg;).<LI>Исключается ошибка углового зрения при измерении вертикальных поверхностей.</UL>||/img/pic/instr/small/UROVEN SHARK KAPRO.jpg|/img/pic/instr/big/UROVEN SHARK KAPRO.jpg
0|PLUMBSITE GENESIS SHARK 600 мм|213|920-10-60 |1260,00|1190
0|PLUMBSITE GENESIS SHARK 800 мм|213|920-10-80 |1390,00|1330
1|PLUMBSITE HERCULES 2500 мм    |213|986-44-250|3390,00|3280|norow|Профессиональный уровень| PLUMBSITE HERCULES, 2500 мм <span class=art>арт. 986-44-250</span>|<UL><LI>Фрезерованная рабочая поверхность.<LI>Ударопрочные заглушки.<LI>4 полиакриловые ударопрочные колбы (защита от протекания и растрескивания).<LI>Точность: 0,5 мм/м (0,029&deg;).<LI>Исключается ошибка углового зрения при измерении вертикальных поверхностей.</UL>||/img/pic/instr/small/k986.jpg|/img/pic/instr/big/k986.jpg
0|PLUMBSITE HERCULES 2500 мм    |213|986-44-250|3390,00|3280|

1|GROSS &nbsp;&nbsp;400 мм (без рукояток)|246|34324 |690,00||Профессиональные уровни| GROSS (Италия)|Высококачественные усиленные уровни фирмы GROSS (пр-во Италия).<UL><LI>Изготовлены из алюминия.<LI>Фрезерованная база.<LI>Ударопрочные заглушки.<LI>3 глазка, рукоятки.<LI>Точность: 0,5 мм/м (0,029&deg;).</UL>||/img/pic/instr/small/UROVEN GROSS.jpg|/img/pic/instr/big/UROVEN GROSS.jpg
0|GROSS &nbsp;&nbsp;600 мм       |246|34326 |820,00
0|GROSS &nbsp;&nbsp;800 мм       |246|34328 |925,00
0|GROSS 1000 мм       |246|34330 |1090,00
0|GROSS 2000 мм       |246|34340 |1890,00

1|Уровень лазерный 400 мм|235||1690,00|neat|| MATRIX <span class=art>арт. 35029</span>|<UL><LI>штатив 1050 мм (тренога 850 мм) с 3 глазками<LI>ударопрочный металлический корпус с 2 глазками<LI>обеспечивается поворот на 360&deg;<LI>лазерный луч можно направить горизонтально и вертикально<LI>прямое измерение угла горизонтального отклонения<LI>направляющая линза дает 2 точки под углом 90&deg;<LI>линейная линза рисует линию уровня<LI><a href=/img/pic/instr/big/35029.pdf target=_blank title=Документ:PDF>см. краткое руководство по эксплуатации</a></UL><DL><DT>Точность:<DD>1мм / 1м<DT>Питание:<DD>2 батарейки 1.5 В типа AAA<DT>Комплектация:<DD>уровень, поворотная база, штатив,<br>2 линзы, пластиковый кейс</DL>||/img/pic/instr/med/35029.jpg|/img/pic/instr/big/jpg
1|Уровень лазерный <strong>ротационный</strong> 100 мм|235||2990,00|neat|| MATRIX <span class=art>арт. 35031</span>|<strong>Поворотный лазер</strong> &mdash; это совершенно новое устройство, совмещающее в себе механику, электронику и лазерные технологии.<UL><LI>штатив 1300 мм<LI>ударопрочный металлический корпус с 2 глазками<LI>обеспечивается поворот на 360&deg;<LI>луч поворотного лазера образует точную плоскость и рисует горизонтальную линию уровня всего периметра помещения<LI><a href=/img/pic/instr/big/35031.pdf target=_blank title=Документ:PDF>см. краткое руководство по эксплуатации</a></UL><DL><DT>Точность:<DD>1мм / 1м<DT>Рабочее расстояние (радиус):<DD>25 м<DT>Рабочая температура:<DD>от -10&deg;C до +40&deg;C<DT>Скорость вращения:<DD>от 0 до 450 об./мин.<DT>Питание:<DD>3 батарейки 1.5 В типа AAA<DT>Время непрерывной работы:<DD>3 ч<DT>Размер:<DD>120 х 126 х 175 мм<DT>Вес:<DD>0.8 кг<DT>Комплектация:<DD>уровень, головка ротационная,<br>штатив, пластиковый кейс</DL>||/img/pic/instr/med/Lazer uroven.jpg|/img/pic/instr/big/jpg
1|Дальномер лазерный|235||4690,00||| Kompakt 70 GROSS <span class=art>арт. 38001</span>|<UL><LI>диапазон измерений от 0,05 до 70 м с разрешением 1мм<LI>вычисление площади и объема по 2 (3) измерениям<LI>сложение и вычитание результатов измерений<LI>измерение длины удаленного отрезка по 2 точкам<LI>память на 20 последних результатов измерений<LI>таймер задержки измерения от 3 до 15 с<LI>автоотключение лазера/прибора по бездействию 30/180с</UL><DL><DT>Точность:<DD>1.5 мм<DT>Скорость измерения:<DD>0.5 с<DT>Рабочая температура:<DD>от -5&deg;C до +40&deg;C<DT>Питание:<DD>2 батарейки AA (до 10 000 измерений)<DT>Размер:<DD>110 х 45 х 30мм<DT>Вес:<DD>135 г<DT>Комплектация:<DD>дальномер, чехол для переноски,<br>защитный чехол, руководство,<br>механический карандаш</DL>||/img/pic/instr/small/dalnomer lazer.jpg|/img/pic/instr/big/dalnomer lazer.jpg

