1|Уровень алюминиевый "Рельс", &nbsp;&nbsp;400&nbsp;мм|212|34020|155,00|-||Уровни алюминиевые| MATRIX тип "Рельс" (скелетные)|2 глазка плюс один поворотный.||/img/pic/instr/small/URIVENJ RELS.jpg|/img/pic/instr/big/URIVENJ RELS.jpg
0|Уровень алюминиевый "Рельс", &nbsp;&nbsp;600&nbsp;мм|212|34023|159,00|-
0|Уровень алюминиевый "Рельс", &nbsp;&nbsp;800&nbsp;мм|212|34026|185,00|-
0|Уровень алюминиевый "Рельс", 1000&nbsp;мм|212|34029|219,00|-
0|Уровень алюминиевый "Рельс", 1200&nbsp;мм|212|34032|225,00|-
0|Уровень алюминиевый "Рельс", 1500&nbsp;мм|212|34035|269,00|-
0|Уровень алюминиевый "Рельс", 2000&nbsp;мм|212|34041|349,00|-
1|Уровень алюминиевый фрезерованный, &nbsp;&nbsp;600&nbsp;мм|212|33221|315,00|-||Уровни алюминиевые| MATRIX фрезерованные|3 глазка, 2 эргономические рукоятки.||/img/pic/instr/small/Uroven MATRIX frezirovan.jpg|/img/pic/instr/big/Uroven MATRIX frezirovan.jpg
0|Уровень алюминиевый фрезерованный, &nbsp;&nbsp;800&nbsp;мм|212|33224|393,00|-
0|Уровень алюминиевый фрезерованный, 1000&nbsp;мм|212|33228|478,00|-
0|Уровень алюминиевый фрезерованный, 1200&nbsp;мм|212|33230|530,00|-
0|Уровень алюминиевый фрезерованный, 1500&nbsp;мм|212|33231|530,00|-
0|Уровень алюминиевый фрезерованный, 2000&nbsp;мм|212|33234|755,00|-
1|Уровень алюминиевый усиленный, 1000&nbsp;мм|212|34410|490,00|-||Уровни алюминиевые| MATRIX фрезерованные усиленные|3 глазка.||/img/pic/instr/small/jpg|/img/pic/instr/big/jpg
0|Уровень алюминиевый усиленный, 1500&nbsp;мм|212|34415|630,00|-
0|Уровень алюминиевый усиленный, 2000&nbsp;мм|212|34520|755,00|-
1|Уровень алюминиевый усиленный МАГНИТ, &nbsp;&nbsp;600&nbsp;мм|212|34706|368,00|-||Уровни алюминиевые| MATRIX фрезерованные усиленные МАГНИТ|2 глазка плюс один зеркальный.||/img/pic/instr/small/jpg|/img/pic/instr/big/jpg
0|Уровень алюминиевый усиленный МАГНИТ, &nbsp;&nbsp;800&nbsp;мм|212|34708|393,00|-
0|Уровень алюминиевый усиленный МАГНИТ, 1000&nbsp;мм|212|34710|478,00|448
0|Уровень алюминиевый усиленный МАГНИТ, 1200&nbsp;мм|212|34712|557,00|-
0|Уровень алюминиевый усиленный МАГНИТ, 1500&nbsp;мм|212|34715|630,00|-
0|Уровень алюминиевый усиленный МАГНИТ, 2000&nbsp;мм|212|34720|810,00|-
1|Уровень алюминиевый усиленный|212|34308|490,00|-||| MATRIX 1000&nbsp;мм <span class=art>арт. 34308</span>|3 глазка, 2 эргономические рукоятки, ударопрочные заглушки.||/img/pic/instr/small/jpg|/img/pic/instr/big/jpg
1|Уровень алюминиевый трапециевидный (shark)|212|34907|367,00|-||| MATRIX 600&nbsp;мм <span class=art>арт. 34907</span>|<UL><LI>2 глазка (1 зеркальный)<LI>ударная площадка</UL>||/img/pic/instr/small/UROVEN MATRIX TRAPEZIEVIDNY.jpg|/img/pic/instr/big/UROVEN MATRIX TRAPEZIEVIDNY.jpg

1|Правило "Трапеция" 1000&nbsp;мм|215|89601|169,00|-||Правила "Трапеция"|, алюминиевые, 2 ребра жесткости|||/img/pic/instr/small/PRAVILO TRAPEZIA.jpg|/img/pic/instr/big/PRAVILO TRAPEZIA.jpg
0|Правило "Трапеция" 1500&nbsp;мм|215|89602|269,00|-
0|Правило "Трапеция" 2000&nbsp;мм|215|89603|325,00|-
0|Правило "Трапеция" 2500&nbsp;мм|215|89604|399,00|-
0|Правило "Трапеция" 3000&nbsp;мм|215|89605|439,00|407

1|Лазерная разметка Kapro 810|254|810|795|770||Лазерная разметка| Kapro 810 <span class=art>арт. 810</span>|<UL><LI>2 колбы (горизонталь и вертикаль).<LI>Резиновый держатель удерживает гвозди и шурупы.<LI>Включается автоматически при установке на поверхность.<LI>Магнитный браслет для удерживания гвоздей и шурупов.</UL>||/img/pic/instr/small/k810.jpg|/img/pic/instr/big/k810.jpg
1|Лазерная разметка Kapro 893|254|893|895|880||Лазерная разметка| Kapro 893 <span class=art>арт. 893</span>|<UL><LI>Заменяет Т-образный угольник для гипсокартона.<LI>Дальность действия лазера: до 3 м.</UL>||/img/pic/instr/small/k893.jpg|/img/pic/instr/big/k893.jpg
1|Профессиональный цифровой уровень Kapro 985D DIGIMAN|254|985D|3950|3780||Профессиональный цифровой уровень| Kapro 985D DIGIMAN, 60 см <span class=art>арт. 985D</span>|<UL><LI>Магниты и система Plumb Site, как у <a href="/catalog/cat213.shtml">"больших" уровней KAPRO</a>.<LI>ЖК-дисплей с подсветкой, автоматическое переворачивание шкалы.<LI>3 режима измерения, память на 9 значений, звуковой сигнал углов 0°, 45° и 90° и т.п.<LI>Удобная сумка-чехол.</UL>||/img/pic/instr/small/k985d.jpg|/img/pic/instr/big/k985d.jpg
1|Самовыравнивающийся лазерный уровень Kapro 892|254|892|4950|4890||Самовыравнивающийся лазерный уровень| Kapro 892 <span class=art>арт. 892</span>|<UL><LI>2 лазерных луча: вертикальный и горизонтальный.<LI>Диапазон самовыравнивания ±5°, время самовыравнивания 5 секунд.<LI>Точность: 0,3мм/м, дальность: 20 м.<LI>Чехол для переноски и хранения.</UL>||/img/pic/instr/small/k892.jpg|/img/pic/instr/big/k892.jpg
1|Самовыравнивающийся 3-лучевой лазерный уровень Kapro 888|254|888|9950|9900||Самовыравнивающийся 3-лучевой лазерный уровень| Kapro 888 <span class=art>арт. 888</span>|<UL><LI>2 лазерных луча: 2 вертикальных и 1 горизонтальный.<LI>Диапазон самовыравнивания ±3°, время самовыравнивания 3 секунды.<LI>Визуальный и звуковой сигнал отклонения от вертикали.<LI>Точность: 0,3мм/м, дальность: 30 м.<LI>В комплекте: футляр для переноски и хранения, контрастные очки, 3 батарейки ААА, адаптер для установки на треногу, 16-мм настенный держатель.</UL>||/img/pic/instr/small/k888.jpg|/img/pic/instr/big/k888.jpg
1|Самовыравнивающийся лазерный уровень Kapro 894|254|894|7500|6900||Самовыравнивающийся лазерный уровень со скрещенными лучами| Kapro 894 для внутренних и наружных работ <span class=art>арт. 894</span>|<UL><LI>Диапазон самовыравнивания ±4°.<LI>Визуальный и звуковой сигнал отклонения от вертикали.<LI>Импульсный режим для наружных работ с датчиком (входит в комплект).<LI>Точность: 0,3мм/м, дальность: 40 м с датчиком.<LI>В комплекте: лазерная мишень, многофункциональный держатель, футляр для переноски.</UL>||/img/pic/instr/small/k894.jpg|/img/pic/instr/big/k894.jpg
1|Самовыравнивающийся лазерный уровень Kapro 896|254|896|8950|8600||Самовыравнивающийся лазерный уровень-указатель| Kapro 896 <span class=art>арт. 896</span>|<UL><LI>Диапазон самовыравнивания ±4°.<LI>5 лазерных точек высокой видимости (3 точки под углом 90°). На каждую лазерную точку проецируется маленький крестик.<LI>Лазерный отвес вверх и вниз.<LI>Точность: уровень - 0,4 мм/м, верхний отвес - 0,5 мм/м, нижний отвес - 0,75 мм/м, дальность: 30 м с датчиком.<LI>В комплекте: магнитное многофункциональное основание, лазерная мишень, мягкий футляр для переноски и хранения, батарея питания 9V.</UL>||/img/pic/instr/small/k896.jpg|/img/pic/instr/big/k896.jpg
1|Самовыравнивающийся 7-лучевой лазерный уровень Kapro 895|254|895|16900|15900||Самовыравнивающийся 7-лучевой лазерный уровень-построитель| Kapro 895 <span class=art>арт. 895</span>|<UL><LI>4 вертикальных луча, 2 горизонтальных и пересечение на потолке.<LI>нижний лазерный отвес.<LI>Диапазон самовыравнивания ±3°.<LI>Визуальный и звуковой сигнал отклонения от вертикали.<LI>Импульсный режим для наружных работ с датчиком (продается отдельно).<LI>Точность: 0,2мм/м, дальность: 20 м, 40 м с датчиком.<LI>В комплекте: контрастные очки, лазерная мишень, зарядное устройство, кейс для переноски и хранения.</UL>||/img/pic/instr/small/k895.jpg|/img/pic/instr/big/k895.jpg
1|Самовыравнивающийся ротационный лазерный уровень Kapro 897/899|254|897/899|24500|23500||Самовыравнивающийся ротационный лазерный уровень (нивелир)| Kapro 897/899 <span class=art>арт. 897/899</span>|<UL><LI>Диапазон самовыравнивания ±4°.<LI>Ручное выравнивание с любым углом наклона в плоскости X и Y.<LI>Вертикальный или горизонтальный вращающийся на 360° лазерный луч, 5 регулируемых скоростей вращения (0, 60, 120, 300, 600 об/мин).<LI>Лазерный отвес вверх и вниз.<LI>Точность: 0,1 мм/м, дальность: 50 м, с датчиком 150 м.<LI>Возможность установки на штатив.<LI>В комплекте: очки для улучшения видимости лазерного луча, датчик, пульт дистанционного управления, многофункциональный кронштейн, зарядное устройство, лазерная мишень, жеский футляр для переноски.</UL>||/img/pic/instr/small/k899.jpg|/img/pic/instr/big/k899.jpg
1|Тренога для лазерных уровней Kapro 1301|254|1301|5295|4980||Тренога для лазерных уровней| Kapro 1301 <span class=art>арт. 1301</span>|Профессиональный штатив высотой до 2,32 метров, со шкалой и встроенным поверхностным уровнем для установки.||/img/pic/instr/small/k|/img/pic/instr/big/k

1|Электронный угломер - уровень Капро 992|255|992|2750|2590||Высокоточный электронный цифровой угломер - уровень| Kapro 992 <span class=art>арт. 992</span>|<UL><LI>Возможность фиксации величины угла для маркировки на поверхности.<LI>Легко читаемый цифровой дисплей с автоматическим переворачиванием шкалы.<LI>Функции искусственного "0" для переноса, легкая перекалибровка.<LI>Точность ± 0,1°.</UL>||/img/pic/instr/small/k992.jpg|/img/pic/instr/big/k992.jpg
1|Детектор Kapro 389 MULTISCANNER SENSOR|255|389|1295|1240||Детектор скрытой проводки| Kapro 389 MULTISCANNER SENSOR <span class=art>арт. 389</span>|Обнаруживает скрытую электропроводку под напряжением, металл и дерево за гипсокартонными стенами.<br>Глубина обнаружения:<UL><LI>электропроводки под напряжением и металлов - 75 мм<LI>металлических труб - 38 мм<LI>дерева - 18 мм</UL>||/img/pic/instr/small/k389.jpg|/img/pic/instr/big/k389.jpg

1|Рулетка STRONG 3.0&nbsp;м&nbsp;х&nbsp;16&nbsp;мм|72|31078|55,00|49,00||Рулетки| STRONG|Обрезиненный корпус, зажим для ремня, класс точности: 2||/img/pic/instr/small/Ruletka STRONG.jpg|/img/pic/instr/big/Ruletka STRONG.jpg
0|Рулетка STRONG 5.0&nbsp;м&nbsp;х&nbsp;19&nbsp;мм|72|31080|99,00|92,00
0|Рулетка STRONG 7.5&nbsp;м&nbsp;х&nbsp;25&nbsp;мм|72|31082|149,00|139,00
1|Рулетка ПЛАТИНУМ 5.0&nbsp;м&nbsp;х&nbsp;19&nbsp;мм|72|32512|144,00|139,00||Рулетки| ПЛАТИНУМ (БАРС)|Утолщенное полотно||/img/pic/instr/small/Ruletka BARS.jpg|/img/pic/instr/big/Ruletka BARS.jpg
0|Рулетка ПЛАТИНУМ 5.0&nbsp;м&nbsp;х&nbsp;25&nbsp;мм|72|32513|179,00|169,00
1|Рулетка 5.0&nbsp;м&nbsp;х&nbsp;19&nbsp;мм|72|31002|99,00|92,00||| RUBBER <span class=art>арт. 31002</span>|<UL><LI>обрезиненный корпус<LI>3 фиксатора ленты<LI>зажим для ремня</UL>||/img/pic/instr/small/Ruletka RUBBER 5 M.jpg|/img/pic/instr/big/Ruletka RUBBER 5 M.jpg
1|Рулетка 5.0&nbsp;м&nbsp;х&nbsp;19&nbsp;мм|72|31014|99,00|92,00||| BLACK  <span class=art>арт. 31014</span>, полностью обрезиненный корпус|||/img/pic/instr/small/Ruletka BLACK 5 M.jpg|/img/pic/instr/big/Ruletka BLACK 5 M.jpg
1|Рулетка 5.0&nbsp;м&nbsp;х&nbsp;19&nbsp;мм|72|     |99,00|92,00||| EKTO   <span class=art>арт.      </span>|<UL><LI>стальная полностью<LI>обрезиненный корпус<LI>стопорная кнопка</UL>||/img/pic/instr/small/RULRTKA EKTO 5 M.jpg|/img/pic/instr/big/RULRTKA EKTO 5 M.jpg
1|Рулетка 3.0&nbsp;м&nbsp;х&nbsp;19&nbsp;мм|72|31111|199,00|189,00||| SCHLAGFEST (GROSS)|<UL><LI>магнитный обрезиненный зацеп<LI>двухсторонняя шкала<LI>нейлоновое покрытие полотна</UL>||/img/pic/instr/small/RULETKA GROSS.jpg|/img/pic/instr/big/RULETKA GROSS.jpg
0|Рулетка 5.0&nbsp;м&nbsp;х&nbsp;25&nbsp;мм|72|31113|239,00|229,00
1|Рулетка ERGONOMISCH &nbsp;&nbsp;5.0&nbsp;м&nbsp;х&nbsp;19&nbsp;мм|72|31102|199,00|189,00||Рулетки| ERGONOMISCH (GROSS)|<UL><LI>полностью обрезиненный корпус<LI>магнитный обрезиненный зацеп</UL>||/img/pic/instr/small/Ruletka GROSS 8 M.jpg|/img/pic/instr/big/Ruletka GROSS 8 M.jpg
0|Рулетка ERGONOMISCH &nbsp;&nbsp;8.0&nbsp;м&nbsp;х&nbsp;25&nbsp;мм|72|31104|249,00|239,00
0|Рулетка ERGONOMISCH 10.0&nbsp;м&nbsp;х&nbsp;25&nbsp;мм|72|31106|269,00|259,00
1|Рулетка 10.0&nbsp;м&nbsp;х&nbsp;25&nbsp;мм|72|31061|199,00|189,00||| DOUBLE FIXATION <span class=art>арт. 31061</span>|<UL><LI>обрезиненный корпус<LI>2 фиксатора ленты</UL>||/img/pic/instr/small/Ruletka DF 10 M.jpg|/img/pic/instr/big/Ruletka DF 10 M.jpg
1|Рулетка 7.5&nbsp;м&nbsp;х&nbsp;25&nbsp;мм|-72||139,00|133,00||| CONTINUOUS FIXATION <span class=art>арт. 10450</span>|Обрезиненный корпус, два фиксатора ленты, зажим для ремня, класс точности: 2.||/img/pic/instr/small/Ruletka CONTINUOUS FIXATION.jpg|/img/pic/instr/big/Ruletka CONTINUOUS FIXATION.jpg
