# 274,cat274|Краскораспылитель пневматический
 1|Краскораспылитель пневматический с ВЕРХНИМ бачком|274|57315|798|788|777||norow|Краскораспылитель пневматический| MATRIX с ВЕРХНИМ бачком 1.0 л, сменные сопла 1.2, 1.5, 1.8 мм <span class=art>арт. 57315</span>|</span><span class="for">Для нанесения защитных, декоративных, изоляционных покрытий на различные поверхности: пластик, металл, дерево, керамику</span><span class="addt">Применяется при проведении наружных и внутренних отделочных работ, окраске металлоконструкций в автосервисах, нанесении пожаростойких составов.||/img/pic/shmal/small/57315.jpg|/img/pic/shmal/big/57315.jpg
 0|Краскораспылитель с ВЕРХНИМ бачком 1.0 л         |274|57315|798|788|777||
 1|Краскораспылитель пневматический с НИЖНИМ  бачком|274|57316|888|872|855||norow|Краскораспылитель пневматический| MATRIX с НИЖНИМ бачком 1.0 л, сменные сопла 1.2, 1.5, 1.8 мм <span class=art>арт. 57316</span>|</span><span class="for">Для нанесения защитных, декоративных, изоляционных покрытий на различные поверхности: пластик, металл, дерево, керамику</span><span class="addt">Применяется при проведении наружных и внутренних отделочных работ, окраске металлоконструкций в автосервисах, нанесении пожаростойких составов.||/img/pic/shmal/small/57316.jpg|/img/pic/shmal/big/57316.jpg
 0|Краскораспылитель с НИЖНИМ  бачком 1.0 л         |274|57316|888|872|855||
 1|Краскораспылитель пневматический с НИЖНИМ  бачком|274|57317|915|894|882||norow|Краскораспылитель пневматический| MATRIX с НИЖНИМ бачком 0.75 л, сменные сопла 1.2, 1.5, 1.8 мм <span class=art>арт. 57317</span>|</span><span class="for">Для нанесения защитных, декоративных, изоляционных покрытий на различные поверхности: пластик, металл, дерево, керамику</span><span class="addt">Применяется при проведении наружных и внутренних отделочных работ, окраске металлоконструкций в автосервисах, нанесении пожаростойких составов.||/img/pic/shmal/small/57317.jpg|/img/pic/shmal/big/57317.jpg
 0|Краскораспылитель с НИЖНИМ  бачком 0.75 л        |274|57317|915|894|882||
 1|Краскораспылитель пневматический с ВЕРХНИМ бачком|274|57318|625|605|595||norow|Краскораспылитель пневматический для финишных работ| MATRIX с ВЕРХНИМ бачком 0.1 л, сопло 0.5 мм <span class=art>арт. 57318</span>|</span><span class="for">Для нанесения защитных, декоративных, изоляционных покрытий на различные поверхности: пластик, металл, дерево, керамику</span><span class="addt">Применяется при проведении наружных и внутренних отделочных работ, окраске металлоконструкций в автосервисах, нанесении пожаростойких составов.||/img/pic/shmal/small/57318.jpg|/img/pic/shmal/big/57318.jpg
 0|Краскораспылитель с ВЕРХНИМ бачком 0.1 л         |274|57318|625|605|595||

# 64,cat64 -># 508,cat508|Малярные кисти
# 52,cat52 -># 71,cat71|Кисти ПЛОСКИЕ ФЛЕЙЦЕВЫЕ !СТАНДАРТ !Кисти плоские ЭКОНОМ СТАНДАРТ |Флейцевые кисти Стандарт Эконом
# 148,cat148 -># 535,cat535|Кисти ПЛОСКИЕ с пластиковой рукояткой !Кисти плоские серии 31|Кисти плоские серий 30 и 31 !Для красок и лаков на основе растворителей
