1|Отвертка крестовая PH 1.0 х &nbsp;&nbsp;75&nbsp;мм, до 1000 В|257|12926|89|82||Отвертки диэлектрические| "Insulated" MATRIX PROFESSIONAL|<UL><LI>Для работы под напряжением до 1000 В переменного тока.<LI>Изоляционное покрытие стержня.<LI>Двухкомпонентная противоскользящая рукоятка эргономичной формы с отверстием для подвески.</UL>||/img/pic/instr/small/Otvertki dielrctrica.jpg|/img/pic/instr/big/Otvertki dielrctrica.jpg
0|Отвертка крестовая PH 2.0 х 100&nbsp;мм, до 1000 В|257|12928|99|96
0|Отвертка плоская SL 4.0 х 100&nbsp;мм, до 1000 В  |257|12916|94|89
0|Отвертка плоская SL 5.5 х 125&nbsp;мм, до 1000 В  |257|12918|99|96
0|Отвертка плоская SL 6.0 х 150&nbsp;мм, до 1000 В  |257|12920|105|99
0|Отвертка плоская SL 8.0 х 150&nbsp;мм, до 1000 В  |257|12922|129|122

1|Рубанок-одинарник металлический|277|21044|298|284||Рубанок-одинарник металлический| 250 х 63 мм, ширина ножа 50 мм <span class=art>арт. 21044</span>|<UL><LI>Рубанок изготовлен из стали марки Ст3, нож – из пружинной стали марки 65Г.<LI>Регулировочный механизм на винте с накаткой обеспечивает возможность точной настройки.<LI>Рукоятка изготовлена из фенопласта.</UL>||/img/pic/instr/small/21044.jpg|/img/pic/instr/big/jpg
1|Рубанок-одинарник деревянный|277|21125|235|222||Рубанок-одинарник деревянный| 240 х 60 мм, ширина ножа 60 мм <span class=art>арт. 21125</span>|<UL><LI>Рубанок изготовлен из древесины лиственных пород и имеет лаковое покрытие.<LI>Нож выполнен из пружинной стали марки 65Г.</UL>||/img/pic/instr/small/21125.jpg|/img/pic/instr/big/jpg
1|Рубанок с металлическим корпусом|277|39-5-050|288|274||Рубанок стальной| HOBBI, ширина ножа 50 мм <span class=art>арт. 39-5-050</span>|<UL><LI>Металлический корпус и две эргономичные пластиковые рукоятки.<LI>Лезвие из высококачественной усиленной инструментальной стали.<LI>Надежная система фиксации лезвия.</UL>||/img/pic/instr/small/rub_hobbi.jpg|/img/pic/instr/big/jpg

1|Набор инструментов|247|14102|2190|1990||| STELS, 31 предмет 1/2" CrV <span class=art>арт. 14102</span>|<ul><li>Ключ трещоточный<li><span title="8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 27, 30, 32 мм">15 торцевых головок </span><li>Адаптер трехсторонний<li>2 удлинителя: 125&nbsp;мм, 250&nbsp;мм</li><li>2 головки свечные: 16, 21&nbsp;мм<li><span title="8, 9, 10, 11, 12, 13, 14, 17, 18, 19 мм">10 комбинированных ключей</span></ul>||/img/pic/instr/small/14102.jpg|/img/pic/instr/big/jpg
1|Набор инструментов|247|14103|2290|2090||| STELS, 60 предметов 1/2" CrV <span class=art>арт. 14103</span>|<ul><li>Головки и комбинированные ключи изготовлены из хромованадиевой стали, придающей инструменту исключительную твердость в сочетании с легкостью.<li>Биты, биты-вставки и отвёртки производятся из стали S2, улучшающей свойства инструмента.<li>Кейс изготовлен из жесткого противоударного пластика с металлическими застёжками.</ul>||/img/pic/instr/small/14103.jpg|/img/pic/instr/big/14103.jpg
1|Набор инструментов|247|14105|2690|2450||| STELS, 82 предмета 1/4" - 1/2" CrV <span class=art>арт. 14105</span>|<ul class="deep"><li>Инструмент с приводом (присоединительным квадратом) 1/4" (6,35&nbsp;мм):<ul><li><span title="4, 4.5, 5, 5.5, 6, 7, 8, 9, 10, 11, 12, 13, 14 мм">13 6-гранных торцевых коротких головок с УПК</span><li>адаптер-переходник для бит, длина 25&nbsp;мм</li><li><span title="шестигранные (HEX): 3, 4, 5, 6&nbsp;мм\nс внешней звездой (TORX): T8, T10, T15, T20, T25, T30\nшлицевые (SLOTTED): 4, 5.5, 7&nbsp;мм\nPhillips: PH1, PH2\nPozidrive (POZI): PZ1, PZ2">17 насадок (головок-бит), длина 32&nbsp;мм</span></li><li>2 прямых удлинителя: 50&nbsp;мм, 100&nbsp;мм</li><li>удлинитель гибкий 150&nbsp;мм</li><li>карданный шарнир</li><li>вороток реверсивный (трещотка) с кнопкой и флажком 1/4",&nbsp;130&nbsp;мм</li><li>вороток скользящий Т-образный 1/4",&nbsp;115&nbsp;мм</li><li>вороток с торцевой рукояткой 1/4",&nbsp;150&nbsp;мм</li></ul></li><li>Инструмент с приводом (присоединительным квадратом) 1/2" (12.7&nbsp;мм):<ul><li><span title="14, 15, 16, 17, 18, 19, 20, 22, 24, 27, 30, 32 мм">12 6-гранных торцевых коротких головок с УПК</span><li>адаптер-переходник с квадрата на квадрат 3/8"(F) x 1/2"(M)</li><li>адаптер-переходник (держатель бит) для вставок 5/16" с квадратом 1/2"</li><li><span title="шестигранные (HEX): 8, 10, 12, 14&nbsp;мм\nс внешней звездой (TORX): T40, T45, T50, T55\nшлицевые (SLOTTED): 8, 10, 12&nbsp;мм\nPhillips: PH3, PH4\nPozidrive (POZI): PZ3, PZ4">15 5/16" бит-вставок (длина 30&nbsp;мм)</span></li><li>вороток реверсивный (трещотка) с кнопкой и флажком 1/2",&nbsp;250&nbsp;мм</li><li>карданый шарнир</li><li>2 удлинителя: 125&nbsp;мм, 250&nbsp;мм</li><li>2 головки торцевые свечные шестигранные с резиновым фиксатором 1/2": 16, 21&nbsp;мм</li></ul></li><li>Ручной слесарный инструмент:<ul><li><span title="8, 10, 11, 12, 13, 14, 17, 19, 22 мм">9 комбинированных рожково-накидных ключей</span></li></ul></li><li>Пластиковый бокс. Вес (с боксом) 6,0 кг</li></ul>||/img/pic/instr/small/14105.jpg|/img/pic/instr/big/14105.jpg

