# 137,cat137 -># 406,cat406|Топоры
#1|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм              |137|21645| 429,00| 414,00| 398,00||norow|| СИБРТЕХ <span class="art">арт. 21645</span>|</span></p><UL><LI>Полотно выполнено из стали марки <b>У8</b>.<LI>Рабочая кромка заточена под углом <b>20-30°</b> и имеет твердость в пределах 25 мм от кромки <b>48-57 HRC</b>.<LI>Фибергласовое топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>410 мм</b>, общий вес <b>1.18 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/21645.jpg|/img/pic/instr/big/21645.jpg
#0|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм СИБРТЕХ      |137|21645| 429,00| 414,00| 398,00||
#1|Топор кованый 1.25 кг с фиберглассовым обрезиненным топорищем    |137|39-1-012|1165,00|1125,00|1098,00||norow|| HARDAX <span class="art">арт. 39-1-012</span>|</span></p><UL><LI>Полотно выполнено из усиленной термообработанной инструментальной стали твердостью <b>47-52 HRC</b>.<LI>Фибергласовое обрезиненное топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>400 мм</b>, общий вес <b>1.63 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/39-1-012.jpg|/img/pic/instr/big/39-1-012.jpg
 1|Топоры кованые с фиберглассовым обрезиненным топорищем           |137|39-1-012|1165,00|1125,00|1098,00||norow|| HARDAX</span>|</span></p><UL><LI>Полотно выполнено из усиленной термообработанной инструментальной стали твердостью <b>47-52 HRC</b>.<LI>Фибергласовое обрезиненное топорище обеспечивает амортизацию при ударе и удобно лежит в руке.</UL><p><span class="addt">||/img/pic/instr/small/39-1-012.jpg|/img/pic/instr/big/39-1-012.jpg
 0|Топор кованый 0.8  кг с фиберглассовым обрезин. топорищем HARDAX |137|39-1-008| 555,00| 545,00| 533,00||
 0|Топор кованый 1.25 кг с фиберглассовым обрезин. топорищем HARDAX |137|39-1-012|1165,00|1125,00|1098,00||
 1|Топор кованый 0.6 кг с деревянным топорищем                         |137|TP06 | 369,00| 355,00| 345,00||norow|Топоры кованые с деревянным топорищем||||/img/pic/instr/small/TOPOR.jpg|/img/pic/instr/big/TOPOR.jpg
 0|Топор кованый 0.6 кг с деревянным топорищем 400 мм (Вача)           |137|TV.06| 369,00| 355,00| 345,00||
 0|Топор кованый 0.8 кг с деревянным топорищем 400 мм (Вача)           |137|TV.08| 444,00| 435,00| 422,00||
 0|Топор кованый 1.2 кг с деревянным топорищем 500 мм (Вача)           |137|TV.12| 498,00| 488,00| 477,00||
 0|Топор кованый 1.4 кг с деревянным топорищем 500 мм (Вача)           |137|TV.14| 575,00| 559,00| 544,00||
#0|Топор-колун кованый 1.7 кг с деревянным топорищем                   |137|TP17K| 595,00| 585,00| 565,00||
 1|Топоры-колуны кованые с деревянным топорищем                        |137|     |1290,00|1290,00|1290,00||norow|| (Вача) |||/img/pic/instr/small/39-2-219.jpg|/img/pic/instr/big/39-2-219.jpg
 0|Топор-колун кованый 1350 г с деревянным топорищем (Вача)         |137|39-2-200| 515,00| 505,00| 492,00||
 0|Топор-колун кованый 1900 г с деревянным топорищем (Вача)         |137|39-2-219| 725,00| 712,00| 698,00||
 1|Топоры-колуны, двухкомпонентная рукоятка NYLON                      |137|21420|1290,00|1290,00|1290,00||norow ltd|| Барс |</span></p><UL><LI>Полотно топора изготовлено методом свободной ковки из стали марки У13.<LI>Твердость режущей кромки на высоте до 25мм составляет 48–52 HRc по Роквеллу и имеет угол заточки режущего полотна 25 ... 30 градусов.<LI>Наличие на обеих сторонах рабочего полотна инструмента характерных утолщений значительно облегчает процесс раскалывания древесины.<LI>Двухкомпонентное фибергласовое топорище (NYLON+TPR) с накладкой в нижней части из резины отлично поглощает колебания, возникающие при работе, не передавая их на руку, обладает высокой механической прочностью.<LI>Для безопасного хранения, переноски и транспортировки топоры-колуны имеют защитный пластиковый чехол.</UL><p><span class="addt">||/img/pic/instr/small/21420.jpg|/img/pic/instr/big/21420.jpg
