# 86|Перчатки ХБ с ПВХ и латексным покрытием
#1|Перчатки Х/Б с нанесением ПВХ                      |86|3       |10,90| 9,90| 9,50|  ||| Эконом (3 нитки) <span class=art>арт. 3</span>|Перчатки общего производственного назначения.||/img/pic/defence/small/Perchatki HB s PVH.jpg|/img/pic/defence/big/Perchatki HB s PVH.jpg
~1|Перчатки Х/Б с ПВХ покрытием                       |86|        |12,90|12,20|11,60|  |norow|| |Перчатки общего производственного назначения.||/img/pic/defence/small/Perchatki HB s PVH.jpg|/img/pic/defence/big/Perchatki HB s PVH.jpg
~0|Перчатки Х/Б с ПВХ покрытием СТАНДАРТ              |86|S       | 9,48| 9,28| 8,98|  |||
~0|Перчатки Х/Б с ПВХ покрытием Профи  (5 ниток)      |86|5       |11,98|11,25|10,28|  |||
~0|Перчатки Х/Б с ПВХ покрытием Люкс   (6 ниток)      |86|6       |12,98|11,98|11,48|  |||
 1|Перчатки Х/Б с одинарным латексным покрытием       |86|1L      |16,95|16,65|16,25|  |norow|| <span class=art>арт. 1L</span>|Перчатки общего производственного назначения.||/img/pic/defence/small/Perchatki HB ODINARNY LATEX.jpg|/img/pic/defence/big/Perchatki HB ODINARNY LATEX.jpg
 0|Перчатки Х/Б с одинарным латексным покрытием       |86|1L      |16,95|16,65|16,25|  |||
 1|Перчатки Х/Б с двойным   латексным покрытием       |86|2L      |23,80|21,95|19,98|  |norow|| <span class=art>арт. 2L</span>|Перчатки общего производственного назначения.||/img/pic/defence/small/Perchatki DVOJNOY LATEX.jpg|/img/pic/defence/big/Perchatki DVOJNOY LATEX.jpg
 0|Перчатки Х/Б с двойным   латексным покрытием       |86|2L      |23,80|21,95|19,98|  |||
~1|Перчатки полушерстяные с нанесением ПВХ            |86|WA      |42,00|40,00|39,00|90|norow|||||/img/pic/defence/small/PERCHATKI POLUSHERST S PVH.jpg|/img/pic/defence/big/PERCHATKI POLUSHERST S PVH.jpg
~0|Перчатки полушерстяные с ПВХ СТАНДАРТ              |86|WS      |26,00|24,00|23,00|90|||
~0|Перчатки полушерстяные с ПВХ, двойная вязка        |86|WA      |45,00|43,00|41,00|90|||
#1|Перчатки полушерстяные с нанесением ПВХ,           |86|WA      |42,00|40,00|39,00|90|norow|| двойная вязка <span class=art>арт. WA</span>|||/img/pic/defence/small/PERCHATKI POLUSHERST S PVH.jpg|/img/pic/defence/big/PERCHATKI POLUSHERST S PVH.jpg
#1|Перчатки полушерстяные с нанесением ПВХ            |86|W1      |24,00|22,00|21,00|90|||         <span class=art>арт. W1</span>|||/img/pic/defence/small/PERCHATKI POLUSHERST S PVH.jpg|/img/pic/defence/big/PERCHATKI POLUSHERST S PVH.jpg
#1|Перчатки полушерстяные с нанесением ПВХ            |86|W2      |47,00|45,00|43,00|90||| двойные <span class=art>арт. W2</span>|||/img/pic/defence/small/PERCHATKI POLUSHERST S PVH.jpg|/img/pic/defence/big/PERCHATKI POLUSHERST S PVH.jpg
#1|Перчатки трикотажные зимние черные с нанесением ПВХ|86|W3      |32,80|30,50|28,50|90||| двойные <span class=art>арт. W3</span>|||/img/pic/defence/small/PERCHATKI POLUSHERST S PVH.jpg|/img/pic/defence/big/PERCHATKI POLUSHERST S PVH.jpg

# 89|Краги сварщика спилковые
 1|Краги спилковые ЛЮКС                      |89|C.KRL   |156|152|147||norow|Краги сварщика спилковые| ЛЮКС <span class=art>арт. C.KRL</span>|</span></p><UL><LI>Кожевенный спилок 0,9-1,2 мм, эффективен для предотвращения ожоговых повреждений, порезов и истирания кожи во время работы.<LI>Длинный манжет.</UL><p><span class="addt">||/img/pic/defence/small/C_KRL.gif|/img/pic/defence/big/C_KRL.gif
 0|Краги спилковые ЛЮКС                      |89|C.KRL   |156|152|147||
 1|Краги спилковые РУССКИЕ ЛЬВЫ усиленные    |89|KRL     |248|242|234||norow|Краги сварщика спилковые| РУССКИЕ ЛЬВЫ усиленные <span class=art>арт. KRL</span>|</span></p><UL><LI>Спилок буйвола 1.5 мм обладает высокой устойчивостью к истиранию, порезам и высоким температурам.<LI>Рабочая поверхность перчаток имеет специальную накладку для дополнительной прочности.<LI>Прошито особо прочной негорючей кевларовой ниткой.<LI>Специальный утепляющий слой позволяет долго работать на холоде, а также с грубыми абразивными поверхностями.<LI>Внутренняя подкладка выполнена из приятного на ощупь материала.</UL><p><span class="addt">||/img/pic/defence/small/crlions.gif|/img/pic/defence/big/crlions.gif
 0|Краги спилковые РУССКИЕ ЛЬВЫ усиленные    |89|KRL     |248|242|234||
 1|Краги «Трек» на подкладке, красные        |89|RED-TREK|218|208|198||norow|Краги сварщика спилковые| ТРЕК, на подкладке, красные <span class=art>арт. RED-TREK</span>|</span></p><UL><LI>Кожевенный спилок, прочный и способный выносить высокие температуры.<LI>Специальный термоизолирующий слой дополнительно снижает риск возникновения термических ожогов.<LI>Длинный защитный рукав.<LI>Краги «Трек» имеют высокую степень устойчивости к механическим повреждениям и порезам, что обеспечивает длительный срок их эксплуатации.</UL><p><span class="addt">||/img/pic/defence/small/track_lux.jpg|/img/pic/defence/big/track_lux.jpg
 0|Краги «Трек» на подкладке, красные        |89|RED-TREK|218|208|198||
