# 409|Секатор
 1|Секатор                              |409|60503   | 198| 192| 188||norow|Секатор, 180 мм, возвратная пружина, обрезиненные ручки| PALISAD <span class=art>арт. 60503   </span>|</span><span class="for">Для обрезки живых веток диаметром до 15 мм</span></p><UL><LI>Секатор с прямым резом, обрезиненными рукоятками и фиксатором.<LI>Режущее лезвие изготовлено из инструментальной стали У8, остро заточено и имеет оксидированное покрытие для защиты от коррозии.</UL><p><span class="addt">||/img/pic/strhoz/small/P60503.jpg|/img/pic/strhoz/big/P60503.jpg
 0|Секатор 180 мм PALISAD               |409|60503   | 198| 192| 188
 1|Секатор                              |409|68-0-013| 229| 222| 214||norow|Секатор, 230 мм, оксидированный, пластиковые ручки| ГОРИЗОНТ <span class=art>арт. 68-0-013</span>|</span><span class="for">Для обрезки живых веток диаметром до 15 мм</span></p><UL><LI>Лезвия из инструментальной стали с оксидированным покрытием.<LI>Ручки из цветного полипропилена с защелкой на концах.</UL><p><span class="addt">||/img/pic/strhoz/small/68-0-013.jpg|/img/pic/strhoz/big/68-0-013.jpg
 0|Секатор 230 мм ГОРИЗОНТ              |409|68-0-013| 229| 222| 214
#1|Секатор By-pass                      |409|18453   | 475| 460| 450||norow|| TRUPER T-45, 200 мм <span class=art>арт. 18453</span>|Секатор алюминиевый By-pass 8&Prime;<br   >Лезвие из стали SK5.||/img/pic/strhoz/small/T18453.jpg|/img/pic/strhoz/big/T18453.jpg
#0|Секатор By-pass TRUPER T-45, 200 мм  |409|18453   | 475| 460| 450

# 391|Сучкорезы
 1|Сучкорез                             |391|60521| 545| 510| 495|||Сучкорез, 700 мм, резиновые амортизаторы, металлические обрезиненные ручки| PALISAD <span class=art>арт. 60521</span>|Для дистанционной обрезки живых веток диаметром до 30 мм.</span></p><UL><LI>Сучкорез с прямым резом, металлические рукоятки оснащены резиновыми ручками.<LI>Резиновый амортизатор служит ограничителем хода сжатия при работе, одновременно смягчая остановку инструмента и предохраняя его от излома.<LI>Режущее лезвие изготовлено из инструментальной стали У8, остро заточено и имеет оксидированное покрытие для защиты от коррозии.</UL><p><span class="addt">||/img/pic/strhoz/small/P60521.jpg|/img/pic/strhoz/big/P60521.jpg
 1|Сучкорез by-pass                     |391|31479|1290|1220|1190|||| TRUPER TB-122, 53 см        <span class=art>арт. 31479</span>|Сучкорез By-pass 53 см, прорезиненный бампер, трубчатая стальная конструкция ручек, обрезиненные рукоятки, прецизионная заточка лезвий.||/img/pic/strhoz/small/t31479b.jpg|/img/pic/strhoz/big/t31479.jpg
~1|Сучкорез by-pass                     |391|18411|1695|1650|1620|||| TRUPER, 74 см        <span class=art>арт. 18411</span>|Сучкорез By-pass 74 см, американский тип, алюминиевые ручки, рукоятки из TPR пластика, диаметр реза 38 мм.||/img/pic/strhoz/small/t18411b.jpg|/img/pic/strhoz/big/t18411.jpg

# 392|Ножницы для живой изгороди
 1|Ножницы газонные 325 мм,             |392|60830| 215| 200| 190|||| металлические рукоятки PALISAD <span class=art>арт. 60830</span>|</span></p><UL><LI>Ножницы газонные с металлическими рукоятками и боковым фиксатором.<LI>Предназначены для стрижки травы на небольших газонах и клумбах.<LI>Лезвия изготовлены из инструментальной стали У8, остро заточены и имеют оксидированное покрытие для защиты от коррозии.</UL><p><span class="addt">||/img/pic/strhoz/small/60830.jpg|/img/pic/strhoz/big/60830.jpg
 1|Ножницы для живой изгороди           |392|31477|1250|1220|1180|||| TRUPER TB-19,  12&Prime; (305 мм) <span class=art>арт. 31477</span>|Ножницы для живой изгороди, трубчатая стальная конструкция ручек, обрезиненные рукоятки, прецизионная заточка лезвий.||/img/pic/strhoz/small/t31477.jpg|/img/pic/strhoz/big/t31477.jpg
~1|Ножницы для живой изгороди           |392|18390|1450|1410|1390|||| TRUPER TE-19W, 19&Prime; (480 мм) <span class=art>арт. 18390</span>|Ножницы для живой изгороди, деревянные рукоятки, регулировка лезвий, прецизионная заточка лезвий.||/img/pic/strhoz/small/t18390.jpg|/img/pic/strhoz/big/t18390.jpg

# 411|Садовые пилы
 1|Садовая пила, 150 мм                 |411|18174| 780| 760| 740|||| TRUPER STP-6X  <span class=art>арт. 18174</span>|</span></p><UL><LI>зубья с шагом 8 TPI<LI>эргономичная двухкомпонентная ручка<LI>стальное лезвие</UL><p><span class="addt">||/img/pic/strhoz/small/t18174.jpg|/img/pic/strhoz/big/t18174.jpg
 1|Садовая пила с крючком, 410 мм       |411|18179| 570| 550| 535|||| TRUPER STP-16X <span class=art>арт. 18179</span>|</span></p><UL><LI>зубья с шагом 5 TPI<LI>мягкая ручка, возможность крепления к удлинителю<LI>стальное лезвие</UL><p><span class="addt">||/img/pic/strhoz/small/t18179.jpg|/img/pic/strhoz/big/t18179.jpg

# 393|Культиватор садовый
~1|Культиватор садовый                  |393|15038| 425| 410| 390|||| TRUPER GTL-HO, 380 мм      <span class=art>арт. 15038</span>|Тяпка садовая (культиватор) 380 мм, сталь SAE 1035, с покрытием ANTI-STICK от налипания грунта.||/img/pic/strhoz/small/t15038.jpg|/img/pic/strhoz/big/t15038.jpg
~1|Тяпка садовая                        |393|10553| 675| 660| 640|||| TRUPER ATJ <span class=art>арт. 10553</span>|</span></p><UL><LI>Черенок &mdash; дерево (американский ясень) 137 см.<LI>Лакированное покрытие ANTI-STICK от налипания грунта.<LI>Надежное крепление черенка.</UL><p><span class="addt">||/img/pic/strhoz/small/T10553.jpg|/img/pic/strhoz/big/T10553.jpg

# 451|Наборы садового инструмента
~1|Набор садового инструмента 4 предмета|451|15040|1595|1560|1535|||| TRUPER JJ-4L <span class=art>арт. 15040</span>|</span></p><UL><LI>Совок широкий, совок узкий, вилка, культиватор.<LI>Металлическая окрашенная рабочая поверхность с антистатик-покрытием<LI>Деревянная ручка 15&Prime; (380 мм)</UL><p><span class="addt">||/img/pic/strhoz/small/trup-15040.jpg|/img/pic/strhoz/big/trup-15040.jpg
