1|Электроудлинитель 30 м, 3 &#215; 1.5 КГ|245|30-BOB-PR|3490.00|3390.00||Силовые электроудлинители| PCE на резинопластиковой ударопрочной катушке, 3 или 4 розетки|<strong>Степень защиты IP44</strong>||/img/pic/elka/small/udl_kat.jpg|/img/pic/elka/big/udl_kat.jpg
0|Электроудлинитель 50 м, 3 &#215; 1.5 КГ|245|50-BOB-PR|4450.00|4250.00
0|Электроудлинитель 50 м, 3 &#215; 2.5 КГ|245|50-BOB-25|5400.00|5250.00

1|Электроудлинитель 30 м, 3 &#215; 1.5 КГ|245|30M-BOB|3890.00|3790.00||Силовые электроудлинители| PCE на металлической катушке, 3 или 4 розетки|<strong>Степень защиты IP44</strong>||/img/pic/elka/small/udl_met4.jpg|/img/pic/elka/big/jpg
0|Электроудлинитель 50 м, 3 &#215; 1.5 КГ|245|50M-BOB|4590.00|4440.00

1|Электроудлинитель  30 м, 3 &#215; 1.5 КГ, 1 розетка|245| 30-1-PR |2190.00|2090.00||Силовые электроудлинители|, колодка с 1, 3 или 4 розетками|<strong>Степень защиты IP44</strong>||/img/pic/elka/small/udl.jpg|/img/pic/elka/big/udl.jpg
0|Электроудлинитель  50 м, 3 &#215; 1.5 КГ, 1 розетка|245| 50-1-PR |2990.00|2890.00
0|Электроудлинитель  50 м, 3 &#215; 2.5 КГ, 1 розетка|245| 50-1-25 |3590.00|3490.00
0|Электроудлинитель  50 м, 3 &#215; 1.5 КГ, 3 розетки|245| 50-3-PR |3150.00|3090.00
0|Электроудлинитель  30 м, 3 &#215; 1.5 КГ, 4 розетки|245| 30-PR   |2390.00|2290.00
0|Электроудлинитель  50 м, 3 &#215; 1.5 КГ, 4 розетки|245| 50-PR   |3250.00|3150.00
0|Электроудлинитель  50 м, 3 &#215; 2.5 КГ, 4 розетки|245| 50-PR-25|4250.00|3980.00
0|Электроудлинитель 100 м, 3 &#215; 2.5 КГ, 4 розетки|245|100-PR-25|6490.00|6290.00

1|Разветвитель силовой 4 - 1, 3&#215;1.5 КГ|245|| 990.00|950.00||Разветвитель силовой| 4 - 1, 3&#215;1.5 КГ|<strong>Степень защиты IP44</strong> <span class=art>арт. RAZ</span>||/img/pic/elka/small/RAZV.jpg|/img/pic/elka/big/RAZV.jpg

1|Фонарь многофункциональный светодиодный|227||555|535||| STERN (кемпинговый) <span class=art>арт. 90531</span>|<UL><LI>Изготовлен с использований новейших технологий LED (12 ярких светодиодов).<LI>3 батарейки R20.<LI>Имеет выдвижную переднюю часть, что позволяет использовать его как настольную лампу.<LI>Перекидной ремень обеспечивает переноску или подвешивание над поверхностью.<LI>Хорошая дальность и широкий спектр освещения.</UL>||/img/pic/elka/small/Fonarj STERN.jpg|/img/pic/elka/big/Fonarj STERN.jpg
1|Фонарь поисковый многофункциональный|227||995|965||| STERN <span class=art>арт. 90534</span>|Двухкомпонентный пластиковый корпус, регулируемая рукоятка. Яркие светодиоды позволяют использовать фонарь как настольную лампу. Незаменим при поисково-спасательных и строительных работах. Четыре красных светодиода служат маяком. Может так же служить ярким прожектором.<UL><LI>аккумулятор; 24Led + 1 галоген 25 W + 4 Red-Led-SoS<LI>наплечный ремень + вращающаяся пистолетная рукоятка<LI>зарядное устройство от прикуривателя и сети 220 V</UL>||/img/pic/elka/small/FONARJ POISKOVY .jpg|/img/pic/elka/big/FONARJ POISKOVY .jpg
1|Фонарь наголовный светодиодный, 3 режима яркости|227|90562|129|115||Фонарь наголовный светодиодный| STERN|<UL><LI>14 ярких светодиодов (LED) не требуют замены в течение всего срока службы.<LI>Источник питания: 3 батарейки ААА (LR03) обеспечивают 50 часов непрерывной работы при максимальной яркости.<LI>Выполнен из пластика, кольца из силикона.</UL>||/img/pic/elka/small/FONAR NAGOLOVU STERN.jpg|/img/pic/elka/big/FONAR NAGOLOVU STERN.jpg
0|Фонарь наголовный светодиодный, 4 режима яркости|227|90563|129|115

1|Элемент питания|197|94758|27.00|24||| NAVIGATOR R6 - LR6 (AA) <span class=art>арт. 94758</span>|Солевая батарейка, обеспечивающая длительную стабильную работу приборов со средним и низким энергопотреблением.<br>Цена за упаковку 4 штуки.||/img/pic/elka/small/navi_lr6.jpg|/img/pic/elka/big/jpg
1|Элемент питания|197|94767|23.00|21.00||| NAVIGATOR R03 - LR03 (AAA) <span class=art>арт. 94767</span>|Солевая батарейка, обеспечивающая длительную стабильную работу приборов со средним и низким энергопотреблением.<br>Цена за упаковку 4 штуки.||/img/pic/elka/small/navi_lr03.jpg|/img/pic/elka/big/jpg
1|Элемент питания|197|NAVI-R20|44.00|39||| NAVIGATOR R20 (D) <span class=art>арт. NAVI-R20</span>|Солевая батарейка. Обладает дополнительной защитой от протекания - металлическим стаканом.||/img/pic/elka/small/navi_r20.jpg|/img/pic/elka/big/jpg
1|Элемент питания|197|SPACE-LR03|24.00|22||| КОСМОС LR03 (AAA) Alkaline <span class=art>арт. SPACE-LR03</span>|<UL><LI>Одна алкалиновая батарейка КОСМОС по сроку службы заменяет до 10 обычных (солевых) батареек.<LI>Экологически безопасны — не содержат ртути и кадмия.<LI>Предэксплуатационный срок хранения — до 5 лет.<LI>Допускается хранение при низких температурах — от -20°С.</UL>||/img/pic/elka/small/space.jpg|/img/pic/elka/big/jpg

