1|Электроудлинитель 30 м, 3 х 1.5 КГ|245|30-BOB-PR|3290.00|3190.00||Силовые электроудлинители| PCE на резинопластиковой ударопрочной катушке, 3 или 4 розетки|<strong>Степень защиты IP44</strong>||/img/pic/elka/small/udl_kat.jpg|/img/pic/elka/big/udl_kat.jpg
0|Электроудлинитель 50 м, 3 х 1.5 КГ|245|50-BOB-PR|3950.00|3890.00
1|Электроудлинитель 30 м, 3 х 1.5 КГ|245|30M-BOB|3890.00|3790.00||Силовые электроудлинители| PCE на металлической катушке, 3 или 4 розетки|<strong>Степень защиты IP44</strong>||/img/pic/elka/small/udl_met4.jpg|/img/pic/elka/big/jpg
0|Электроудлинитель 50 м, 3 х 1.5 КГ|245|50M-BOB|4590.00|4440.00

1|Электроудлинитель 30 м, 3 х 1.5 КГ, 1 розетка|245|30-1-PR|2090.00|1990.00||Силовые электроудлинители|, колодка с 1, 3 или 4 розетками|<strong>Степень защиты IP44</strong>||/img/pic/elka/small/udl.jpg|/img/pic/elka/big/udl.jpg
0|Электроудлинитель 50 м, 3 х 1.5 КГ, 1 розетка|245|50-1-PR|2790.00|2750.00
0|Электроудлинитель 50 м, 3 х 1.5 КГ, 3 розетки|245|50-3-PR|2890.00|2890.00
0|Электроудлинитель 30 м, 3 х 1.5 КГ, 4 розетки|245|30-PR  |2290.00|2190.00
0|Электроудлинитель 50 м, 3 х 1.5 КГ, 4 розетки|245|50-PR  |2950.00|2850.00

1|Разветвитель силовой 4 - 1, 3 х 1.5 КГ|245|| 990.00|950.00||Разветвитель силовой| 4 - 1, 3 х 1.5 КГ|<strong>Степень защиты IP44</strong> <span class=art>арт. RAZ</span>||/img/pic/elka/small/RAZV.jpg|/img/pic/elka/big/RAZV.jpg
