# 172,cat172|Коронки по бетону в сборе|, хвостовик SDS Plus
#1|Коронка в сборе M22 х 65 мм, SDS Plus, MATRIX|172|70330   | 650,00| 625,00| 610,00||norow|Коронки по бетону в сборе|, хвостовик SDS Plus|||/img/pic/drill/small/Coronka v sbore SDS PLUS.jpg|/img/pic/drill/big/Coronka v sbore SDS PLUS.jpg
 1|Коронки по бетону в сборе, хвостовик SDS Plus|172|        | 650,00| 625,00| 610,00||norow|| HAGWERT|</span><span class="for">Используются в ударных дрелях и перфораторах SDS-Plus для сверления отверстий в бетоне любой прочности, кирпиче, силикатном кирпиче, камне</span></p><UL><LI>Оснащены твердосплавными пластинами с очень высокими показателями твёрдости и прочности.<LI>Толстый кованый корпус коронки устойчив к ударам при сверлении.</UL><p><span class="addt">||/img/pic/drill/small/562240.jpg|/img/pic/drill/big/562240.jpg
 0|Коронка в сборе &numsp;35 мм, SDS+ Hagwert   |172|562235  | 498,00| 488,00| 474,00
 0|Коронка в сборе &numsp;40 мм, SDS+ Hagwert   |172|562240  | 555,00| 544,00| 533,00
 0|Коронка в сборе &numsp;50 мм, SDS+ Hagwert   |172|562250  | 628,00| 612,00| 600,00
 0|Коронка в сборе &numsp;60 мм, SDS+ Hagwert   |172|562260  | 668,00| 655,00| 643,00
 0|Коронка в сборе &numsp;65 мм, SDS+ Hagwert   |172|562091  | 698,00| 682,00| 673,00
 0|Коронка в сборе &numsp;68 мм, SDS+ Hagwert   |172|562092  | 765,00| 755,00| 740,00
 0|Коронка в сборе &numsp;75 мм, SDS+ Hagwert   |172|562275  | 825,00| 812,00| 800,00
 0|Коронка в сборе &numsp;80 мм, SDS+ Hagwert   |172|562093  | 898,00| 877,00| 864,00
 0|Коронка в сборе       100 мм, SDS+ Hagwert   |172|562210  |1525,00|1505,00|1496,00
 0|Коронка в сборе       120 мм, SDS+ Hagwert   |172|562212  |1698,00|1675,00|1660,00
 1|Коронка по бетону в сборе,              68 мм|172|        | 650,00| 625,00| 610,00||norow||, хвостовик SDS Max, BERGEN|||/img/pic/drill/small/Coronka v sbore SDS PLUS.jpg|/img/pic/drill/big/Coronka v sbore SDS PLUS.jpg
 0|Коронка в сборе 68 мм, SDS Max,  BERGEN      |172|85068   | 765,00| 755,00| 740,00
#1|Коронки по бетону                     в сборе|172|        | 650,00| 625,00| 610,00||norow||, хвостовик SDS Plus /<span class="blue"> SDS Max </span>|||/img/pic/drill/small/Coronka v sbore SDS PLUS.jpg|/img/pic/drill/big/Coronka v sbore SDS PLUS.jpg
#0|Коронка в сборе 50 мм, SDS Plus, BERGEN      |172|666050  | 665,33| 655,48| 646,85
#0|Коронка в сборе 65 мм, SDS Plus, BERGEN      |172|666065  | 757,74| 745,42| 736,80
#0|Коронка в сборе 68 мм, SDS Plus, BERGEN      |172|666068  | 807,03| 795,94| 783,62
#0|Коронка в сборе 80 мм, SDS Plus, BERGEN      |172|666080  | 917,91| 901,90| 893,27
#0|Коронка в сборе 80 мм, SDS Max,  BERGEN      |172|85080   |1065,77|1053,45|1039,89||blue
 1|Коронка ударная по армир. бетону 68 мм, SDS+ |172|550068  |1398,00|1375,00|1365,00||norow|Коронка ударная по армированному бетону 68 мм в сборе с переходником SDS Plus| РОСОМАХА <span class="art">арт. 550068</span>|</span><span class="for">Для быстрого и качественного бурения отверстий большого диаметра в кирпиче, бетоне, в том числе и армированном, пенобетоне, камне (натуральном/искусственном)</span></p><UL><LI>Прочные твердосплавные зубья быстро врезаются даже в самый твердый материал, благодаря системе краевого дробления.<LI>Высококачественные материалы коронки обеспечивают длительный срок службы, даже при высоких нагрузках.<LI>Инструмент подходит для ударного сверления.<LI>Конструкция предусматривает наличие центрирующего сверла из твердого сплава с переходником М16 - SDS+.<LI>В комплекте: коронка, адаптер, центрирующее сверло.</UL><p><span class="addt">||/img/pic/drill/small/550068.png|/img/pic/drill/big/550068.png
 0|Коронка ударная по армир. бетону 68 мм, SDS+ |172|550068  |1398,00|1375,00|1360,00
 1|Коронка по бетону алмазная 68 х 70 мм, SDS+  |172|500068  |1888,00|1875,00|1855,00||norow|Коронка по бетону алмазная 68 х 70 мм в сборе с переходником SDS Plus| РОСОМАХА <span class="art">арт. 500068</span>|</span><span class="for">Для сверления отверстий в конструкциях из неармированного и слабоармированного бетона, пенобетона, кирпича; в керамической плитке, граните, керамограните, камне</span></p><UL><LI>Идеально подходит для выполнения отверстий под розетки.<LI>Не требует принудительного охлаждения во время работы.<LI>Конструкция предусматривает наличие центрирующего сверла из твердого сплава с переходником М16 - SDS+.<LI>Наличие четырех алмазных сегментов гарантирует высокую производительность при работе с коронкой.<LI>Имеет внутреннюю резьбу М16.<LI>В комплекте: коронка, адаптер, центрирующее сверло.</UL><p><span class="addt">||/img/pic/drill/small/500068.jpg|/img/pic/drill/big/500068.jpg
 0|Коронка по бетону алмазная 68 х 70 мм, SDS+  |172|500068  |1798,00|1775,00|1760,00
#1|Коронка в сборе M22 х 65 мм, SDS Plus, MATRIX|172|70330   | 650,00| 625,00| 610,00||norow sale1|Коронки по бетону в сборе|, хвостовик SDS Plus|||/img/pic/drill/small/Coronka v sbore SDS PLUS.jpg|/img/pic/drill/big/Coronka v sbore SDS PLUS.jpg
#0|Коронка в сборе 65 мм, SDS Plus, RENNBOHR    |172|700065  |1145,00|1145,00|1145,00
#0|Коронка в сборе M22 х 80 мм, SDS Plus, MATRIX|172|70331   | 590,00| 590,00| 590,00
#0|Коронка в сборе M22 х 65 мм, SDS Plus, MATRIX|172|70330   | 650,00| 625,00| 610,00
#0|Коронка в сборе M22 х 68 мм, SDS Plus, MATRIX|172|70329   | 650,00| 625,00| 610,00
#0|Коронка в сборе 68 мм, SDS Plus, HAGWERT     |172|562092  | 785,00| 765,00| 745,00||
#0|Коронка в сборе 80 мм, SDS Plus, HAGWERT     |172|562093  |1045,00|1020,00| 998,00||
#0|Коронка в сборе 68 мм, SDS Plus, HARDAX      |172|36-7-768| 398,00| 388,00| 377,00||
#0|Коронка в сборе 68 мм, SDS Plus, RENNBOHR    |172|700068  |1670,00|1630,00|1595,00||
#0|Коронка в сборе 80 мм, SDS Plus, RENNBOHR    |172|700080  |1650,00|1620,00|1595,00||

# 281,cat281|Коронки BIMETAL Хвостовики
 1|Коронка BIMETAL 20 мм                               |281|BIM20| 155,15| 149,80| 144,45||norow|Коронки| BIMETAL|</span><span class="for">Для вырезания отверстий в металле, ДСП, фанере, пластмассе и др. материалах</span></p><UL><LI>Рабочая часть из быстрорежущей стали.<LI>Применяются в комплекте с центрирующими сверлами.</UL><p><span class="addt">||/img/pic/drill/small/Coronka BIMETAL.jpg|/img/pic/drill/big/Coronka BIMETAL.jpg
 0|Коронка BIMETAL 19 мм HARDAX                        |281|36-7-819| 189,00| 185,00| 181,00|
 0|Коронка BIMETAL 25 мм HARDAX                        |281|36-7-825| 239,00| 232,00| 226,00|
 0|Коронка BIMETAL 29 мм                               |281|BIM29   | 268,00| 262,00| 255,00|
 0|Коронка BIMETAL 30 мм                               |281|BIM30   | 275,00| 268,00| 260,00|
 0|Коронка BIMETAL 32 мм HARDAX                        |281|36-7-832| 288,00| 279,00| 270,00|
 0|Коронка BIMETAL 35 мм                               |281|BIM35   | 348,00| 337,00| 326,00|
 0|Коронка BIMETAL 38 мм                               |281|BIM38   | 378,00| 367,00| 360,00|
#0|Коронка BIMETAL 41 мм                               |281|BIM41   | 269,00| 262,00| 255,00|
 0|Коронка BIMETAL 41 мм HARDAX                        |281|36-7-841| 398,00| 385,00| 373,00|
 0|Коронка BIMETAL 44 мм HARDAX                        |281|36-7-844| 415,00| 405,00| 398,00|
 0|Коронка BIMETAL 51 мм HARDAX                        |281|36-7-851| 498,00| 482,00| 469,00|
#0|Коронка BIMETAL 54 мм                               |281|BIM54   | 269,00| 262,00| 255,00|
 0|Коронка BIMETAL 54 мм HARDAX                        |281|36-7-854| 515,00| 502,00| 494,00|
 0|Коронка BIMETAL 60 мм HARDAX                        |281|36-7-860| 588,00| 570,00| 555,00|
#0|Коронка BIMETAL 64 мм                               |281|BIM64   | 269,00| 262,00| 255,00|
 0|Коронка BIMETAL 64 мм HARDAX                        |281|36-7-864| 615,00| 600,00| 590,00|
 0|Коронка BIMETAL 68 мм HARDAX                        |281|36-7-868| 638,00| 622,00| 605,00|
 0|Коронка BIMETAL 83 мм HARDAX                        |281|36-7-883| 748,00| 728,00| 707,00|
 1|Хвостовики (держатели) для коронок           BIMETAL|281|        | 149,00| 144,00| 139,00||norow||, HARDAX|</span><span class="for">Центрирующее сверло в комплекте с державкой предназначено для для надежной фиксации и центровки сверлильной коронки||/img/pic/drill/small/Hvostovik DLJA KORONOK BIMETALL.jpg|/img/pic/drill/big/Hvostovik DLJA KORONOK BIMETALL.jpg
 0|6-гранный хвостовик для коронок BIMETAL до    30 мм |281|36-8-003| 224,91| 218,96| 215,39|
 0|6-гранный хвостовик для коронок BIMETAL свыше 30 мм |281|36-8-004| 354,62| 339,15| 327,25|
 0|Хвостовик SDS Plus  для коронок BIMETAL до    30 мм |281|36-8-001| 211,82| 207,06| 191,59|
 0|Хвостовик SDS Plus  для коронок BIMETAL свыше 30 мм |281|36-8-002| 354,62| 339,15| 327,25|
#1|Коронка HSS Bi-Metal VARIOZAHN MPS (Германия)  29 мм|281|5029    | 255,00| 255,00| 255,00||norow sale1|Коронки HSS Bi-Metal, переменный шаг VARIOZAHN| MPS (Германия)|ДСП, фанера, пластмасса и др.||/img/pic/drill/small/mps068.jpg|/img/pic/drill/big/mps068.jpg
#0|Коронка HSS Bi-Metal VARIOZAHN MPS (Германия)  35 мм|281|5035    | 266,00| 266,00| 266,00||
#0|Коронка HSS Bi-Metal VARIOZAHN MPS (Германия)  41 мм|281|5041    | 288,00| 288,00| 288,00||
#0|Коронка HSS Bi-Metal VARIOZAHN MPS (Германия)  44 мм|281|5044    | 333,00| 333,00| 333,00||
#0|Коронка HSS Bi-Metal VARIOZAHN MPS (Германия)  83 мм|281|5083    | 555,00| 555,00| 555,00||
#0|Коронка HSS Bi-Metal VARIOZAHN MPS (Германия) 100 мм|281|5100    | 667,00| 667,00| 667,00||
#0|Коронка HSS Bi-Metal VARIOZAHN MPS (Германия) 102 мм|281|5102    | 699,00| 699,00| 699,00||
#0|Коронка HSS Bi-Metal VARIOZAHN MPS (Германия) 105 мм|281|5105    | 945,00| 925,00| 895,00||
#0|Коронка HSS Bi-Metal VARIOZAHN MPS (Германия)  51 мм|281|5051    | 498,00| 475,00| 455,00||
#0|Коронка HSS Bi-Metal VARIOZAHN MPS (Германия)  60 мм|281|5060    | 578,00| 550,00| 530,00||
#0|Коронка HSS Bi-Metal VARIOZAHN MPS (Германия)  64 мм|281|5064    | 598,00| 575,00| 555,00||
#0|Коронка HSS Bi-Metal VARIOZAHN MPS (Германия)  68 мм|281|5068    | 616,00| 595,00| 569,00||
#1|Хвостовик SDS Plus для коронок MPS 14 - 30 мм       |281|5507    | 735,00| 703,50| 677,25||ltd|Хвостовики (держатели для коронки) SDS Plus| для коронок HSS Bi-Metal, переменный шаг VARIOZAHN MPS (Германия)|||/img/pic/drill/small/mps32-210.jpg|/img/pic/drill/big/mps32-210.jpg
#0|Хвостовик SDS Plus для коронок MPS 32 - 152 мм      |281|5508    |1207,50|1165,50|1113,00||
#1|Хвостовик SDS Plus для коронок BIMETAL до 30 мм     |281|HBM30   | 149| 144| 139|||Хвостовики (держатели для коронки) SDS Plus| для коронок BIMETAL|||/img/pic/drill/small/Hvostovik DLJA KORONOK BIMETALL.jpg|/img/pic/drill/big/Hvostovik DLJA KORONOK BIMETALL.jpg
#0|Хвостовик SDS Plus для коронок BIMETAL свыше 30 мм  |281|HBB30   | 249| 239| 229|

