1|1-2 לל            |77|1-2 לל            |- |-     |-     |subhead mult2|Ñגונכא ןמ לועאככף|, בûסענמנוזףשאÿ סעאכü, צטכטםהנטקוסךטי ץגמסעמגטך|Öוםא ס ÍÄÑ חא ףןאךמגךף||/img/pic/drill/small/sverla po metallu.jpg|/img/pic/drill/big/sverla po metallu.jpg
0|&nbsp;&nbsp;1.0 לל|77|&nbsp;&nbsp;1.0 לל|10|39,00 |33,00 
0|&nbsp;&nbsp;1.5 לל|77|&nbsp;&nbsp;1.5 לל|10|44,00 |41,00 
0|&nbsp;&nbsp;2.0 לל|77|&nbsp;&nbsp;2.0 לל|10|47,00 |43,00 
0|&nbsp;&nbsp;2.1 לל|77|&nbsp;&nbsp;2.1 לל|10|48,00 |44,00 
0|&nbsp;&nbsp;2.3 לל|77|&nbsp;&nbsp;2.3 לל|10|49,00 |44,00 
0|&nbsp;&nbsp;2.5 לל|77|&nbsp;&nbsp;2.5 לל|10|55,00 |51,00 
0|&nbsp;&nbsp;2.9 לל|77|&nbsp;&nbsp;2.9 לל|10|58,00 |51,00 
0|3 לל              |77|3 לל              |- |-     |-     |subhead|
0|&nbsp;&nbsp;3.0 לל|77|&nbsp;&nbsp;3.0 לל|10|59,00 |53,00 
0|&nbsp;&nbsp;3.1 לל|77|&nbsp;&nbsp;3.1 לל|10|59,00 |53,00 
0|&nbsp;&nbsp;3.2 לל|77|&nbsp;&nbsp;3.2 לל|10|62,00 |57,00 
0|&nbsp;&nbsp;3.3 לל|77|&nbsp;&nbsp;3.3 לל|10|68,00 |62,00 
0|&nbsp;&nbsp;3.4 לל|77|&nbsp;&nbsp;3.4 לל|10|69,00 |63,00 
0|&nbsp;&nbsp;3.5 לל|77|&nbsp;&nbsp;3.5 לל|10|71,00 |67,00 
0|&nbsp;&nbsp;3.6 לל|77|&nbsp;&nbsp;3.6 לל|10|73,00 |68,00 
0|&nbsp;&nbsp;3.7 לל|77|&nbsp;&nbsp;3.7 לל|10|75,00 |69,00 
0|&nbsp;&nbsp;3.8 לל|77|&nbsp;&nbsp;3.8 לל|10|79,00 |73,00 
0|4   לל            |77|4   לל            |- |-     |-     |subhead|
0|&nbsp;&nbsp;4.0 לל|77|&nbsp;&nbsp;4.0 לל|10|88,00 |81,00 
0|&nbsp;&nbsp;4.1 לל|77|&nbsp;&nbsp;4.1 לל|10|89,00 |82,00 
0|&nbsp;&nbsp;4.2 לל|77|&nbsp;&nbsp;4.2 לל|10|91,00 |87,00 
0|&nbsp;&nbsp;4.3 לל|77|&nbsp;&nbsp;4.3 לל|10|92,00 |88,00 
0|&nbsp;&nbsp;4.4 לל|77|&nbsp;&nbsp;4.4 לל|10|94,00 |90,00 
0|&nbsp;&nbsp;4.5 לל|77|&nbsp;&nbsp;4.5 לל|10|97,00 |94,00 
0|&nbsp;&nbsp;4.7 לל|77|&nbsp;&nbsp;4.7 לל|10|102,00|99,00
0|&nbsp;&nbsp;4.8 לל|77|&nbsp;&nbsp;4.8 לל|10|107,00|102,00
                                                           
1|5-10 לל           |77|5-10 לל           |- |-     |-     |subhead mult2 next|
