1|1 לל|77|1 לל||-|-|-                     |subhead mult2|Ñגונכא ןמ לועאככף|, בûסענמנוזףשאÿ סעאכü, צטכטםהנטקוסךטי ץגמסעמגטך|Öוםא ס ÍÄÑ חא ףןאךמגךף||/img/pic/drill/small/sverla po metallu.jpg|/img/pic/drill/big/sverla po metallu.jpg
#0| 0.5 לל|77| 0.5 לל|      |10|  31,00|  30,00
#0| 0.7 לל|77| 0.7 לל|      |10|  34,00|  33,00
#0| 0.8 לל|77| 0.8 לל|      |10|  35,00|  34,00
#0| 0.9 לל|77| 0.9 לל|      |10|  36,00|  35,00
#0|< 1 לל|77|< 1 לל||-|-|-                         |subhead|
0| 1.0 לל|77| 1.0 לל|71510 |10|  44,00|42,00
#0| 1.0 לל|77| 1.0 לל|      |10
0| 1.5 לל|77| 1.5 לל|      |10|  45,00|43,00
0|2 לל|77|2 לל||-|-|-                         |subhead|
0| 2.0 לל|77| 2.0 לל|71520 |10|  48,00|46,00
0| 2.1 לל|77| 2.1 לל|      |10|  49,00|47,00
0| 2.3 לל|77| 2.3 לל|      |10|  49,00|47,00
0| 2.5 לל|77| 2.5 לל|      |10|  56,00|52,00
0| 2.9 לל|77| 2.9 לל|      |10|  58,00|55,00
0|3 לל|77|3 לל||-|-|-                         |subhead|
0| 3.0 לל|77| 3.0 לל|71530 |10|  62,00|59,00
0| 3.1 לל|77| 3.1 לל|71532?|10|  63,00|60,00
0| 3.2 לל|77| 3.2 לל|71532 |10|  69,00|66,00
0| 3.3 לל|77| 3.3 לל|71533 |10|  69,00|66,00
0| 3.4 לל|77| 3.4 לל|      |10|  72,00|68,00
0| 3.5 לל|77| 3.5 לל|71535 |10|  74,00|71,00
0| 3.6 לל|77| 3.6 לל|71536 |10|  74,00|71,00
0| 3.7 לל|77| 3.7 לל|71537 |10|  75,00|72,00
0| 3.8 לל|77| 3.8 לל|71538 |10|  77,00|75,00
0|4 לל|77|4 לל||-|-|-                         |subhead|
0| 4.0 לל|77| 4.0 לל|71540 |10|  79,00|76,00
0| 4.1 לל|77| 4.1 לל|71530 |10|  83,00|79,00
0| 4.2 לל|77| 4.2 לל|71542 |10|  88,00|85,00
0| 4.3 לל|77| 4.3 לל|71543 |10|  89,00|85,00
0| 4.4 לל|77| 4.4 לל|71544 |10|  92,00|89,00
0| 4.5 לל|77| 4.5 לל|      |10|  98,00|95,00
0| 4.6 לל|77| 4.6 לל|71546 |10|  99,00|96,00
0| 4.7 לל|77| 4.7 לל|71547 |10| 104,00|99,00
0| 4.8 לל|77| 4.8 לל|71548 |10| 108,00|103,00
0| 4.9 לל|77| 4.9 לל|71549 |10| 111,00|106,00

1|5 לל|77|5 לל||-|-|-                         |subhead mult2 next|
0| 5.0 לל|77| 5.0 לל|71550 |10| 119,00|109,00
0| 5.2 לל|77| 5.2 לל|71552 |10| 129,00|122,00
0| 5.5 לל|77| 5.5 לל|71555 |10| 135,00|129,00
0| 5.9 לל|77| 5.9 לל|71559 |10| 149,00|139,00
0|6 לל|77|6 לל||-|-|-                         |subhead|
0| 6.0 לל|77| 6.0 לל|71560 |10| 159,00|149,00
0| 6.2 לל|77| 6.2 לל|71562 |10| 164,00|158,00
0| 6.5 לל|77| 6.5 לל|71565 |10| 178,00|168,00
0|7-10 לל|77|7-10 לל||-|-|-                   |subhead|
0| 7.0 לל|77| 7.0 לל|71570 |10| 195,00|188,00
0| 7.5 לל|77| 7.5 לל|71575 |10| 245,00|229,00
#0| 8.0 לל|77| 8.0 לל|722805| 5
0| 8.0 לל|77| 8.0 לל|71580 |10| 264,00|250,00
#0| 8.5 לל|77| 8.5 לל|      | 5
0| 8.5 לל|77| 8.5 לל|71585 |10| 288,00|268,00
#0| 9.0 לל|77| 9.0 לל|      | 5
0| 9.0 לל|77| 9.0 לל|71590 |10| 310,00|296,00
0| 9.5 לל|77| 9.5 לל|71595 |10| 364,00|348,00
#0|10,0 לל|77|10,0 לל|      | 5
0|10.0 לל|77|10.0 לל|71599 |10| 388,00|368,00
0|> 10 לל|77|> 10 לל||-|-|-                   |subhead|
0|11.0 לל|77|11.0 לל|72010 | 5| 245,00|235,00
0|11.5 לל|77|11.5 לל|72015 | 5| 275,00|262,00
0|12.0 לל|77|12.0 לל|72020 | 5| 315,00|298,00
0|12.5 לל|77|12.5 לל|72025 | 5| 355,00|338,00
0|13.0 לל|77|13.0 לל|72030 | 5| 385,00|368,00
0|13.5 לל|77|13.5 לל|      | 5| 415,00|398,00
0|14.0 לל|77|14.0 לל|72040 | 5| 475,00|465,00
0|14.5 לל|77|14.5 לל|      | 5| 515,00|495,00
0|15.0 לל|77|15.0 לל|72050 | 5| 625,00|610,00
0|15.5 לל|77|15.5 לל|      | 5| 685,00|665,00
0|16.0 לל|77|16.0 לל|72060 | 5| 745,00|729,00
0|17.0 לל|77|17.0 לל|      | 5| 880,00|860,00
0|18.0 לל|77|18.0 לל|72080 | 5|1085,00|1045,00
0|20.0 לל|77|20.0 לל|72099 | 5|1370,00|1330,00

1|1-10 לל (קונוח 0.5 לל) HSS|77|1-10 לל (קונוח 0.5 לל) HSS||19|299,00|279,00||Íאבמנû סגונוכ ןמ לועאככף|<br>Ìועאככטקוסךאÿ ךמנמבךא|||/img/pic/drill/small/NABOE SVEREL PO METALLU.jpg|/img/pic/drill/big/NABOE SVEREL PO METALLU.jpg
0|1-10 לל (קונוח 0.5 לל) + 3.2 לל + 4.8 לל HSS|77|1-10 לל (קונוח 0.5 לל) + 3.2 לל + 4.8 לל HSS||21|320,00|300,00
