1|< 1 לל|77|< 1 לל|          |- |-     |-     |subhead mult2|Ñגונכא ןמ לועאככף|, בûסענמנוזףשאÿ סעאכü, צטכטםהנטקוסךטי ץגמסעמגטך|Öוםא ס ÍÄÑ חא ףןאךמגךף||/img/pic/drill/small/sverla po metallu.jpg|/img/pic/drill/big/sverla po metallu.jpg
0| 0.5 לל|77| 0.5 לל|      |10|  31,00|  30,00
0| 0.7 לל|77| 0.7 לל|      |10|  34,00|  33,00
0| 0.8 לל|77| 0.8 לל|      |10|  35,00|  34,00
0| 0.9 לל|77| 0.9 לל|      |10|  36,00|  35,00
0|1 לל|77|1 לל|              |- |-     |-     |subhead|
0| 1.0 לל|77| 1.0 לל|71510 |10|  36,00|  35,00
0| 1.0 לל|77| 1.0 לל|      |10|  36,00|  35,00
0| 1.5 לל|77| 1.5 לל|      |10|  37,00|  36,00
0|2 לל|77|2 לל|              |- |-     |-     |subhead|
0| 2.0 לל|77| 2.0 לל|71520 |10|  38,00|  36,00
0| 2.1 לל|77| 2.1 לל|      |10|  41,00|  39,00
0| 2.3 לל|77| 2.3 לל|      |10|  44,00|  41,00
0| 2.5 לל|77| 2.5 לל|      |10|  46,00|  43,00
0| 2.9 לל|77| 2.9 לל|      |10|  46,00|  44,00
0|3 לל|77|3 לל|              |- |-     |-     |subhead|
0| 3.0 לל|77| 3.0 לל|71530 |10|  49,00|  48,00
0| 3.1 לל|77| 3.1 לל|71532?|10|  52,00|  50,00
0| 3.2 לל|77| 3.2 לל|71532 |10|  54,00|  51,00
0| 3.3 לל|77| 3.3 לל|71533 |10|  55,00|  52,00
0| 3.4 לל|77| 3.4 לל|      |10|  56,00|  55,00
0| 3.5 לל|77| 3.5 לל|71535 |10|  69,00|  65,00
0| 3.6 לל|77| 3.6 לל|71536 |10|  70,00|  68,00
0| 3.7 לל|77| 3.7 לל|71537 |10|  72,00|  69,00
0| 3.8 לל|77| 3.8 לל|71538 |10|  78,00|  75,00
0|4 לל|77|4 לל|              |- |-     |-     |subhead|
0| 4.0 לל|77| 4.0 לל|71540 |10|  80,00|  77,00
0| 4.1 לל|77| 4.1 לל|71530 |10|  83,00|  79,00
0| 4.2 לל|77| 4.2 לל|71542 |10|  86,00|  84,00
0| 4.3 לל|77| 4.3 לל|71543 |10|  89,00|  86,00
0| 4.4 לל|77| 4.4 לל|71544 |10|  90,00|  87,00
0| 4.5 לל|77| 4.5 לל|      |10|  92,00|  88,00
0| 4.6 לל|77| 4.6 לל|71546 |10|  92,00|  88,00
0| 4.7 לל|77| 4.7 לל|71547 |10|  98,00|  90,00
0| 4.8 לל|77| 4.8 לל|71548 |10| 100,00|  92,00
