1|Ѕур SDS Max 10&#215;310 |48|209,00|mult2|Ѕуры по бетону| дл€ перфоратора SDS Max|||/img/pic/drill/small/BURY SDS MAX.jpg|/img/pic/drill/big/BURY SDS MAX.jpg
0|Ѕур SDS Max 10&#215;340 |48|217,00
0|Ѕур SDS Max 10&#215;400 |48|259,00
0|Ѕур SDS Max 10&#215;600 |48|-
0|Ѕур SDS Max 12&#215;300 |48|199,00|blkt
0|Ѕур SDS Max 12&#215;310 |48|217,00
0|Ѕур SDS Max 12&#215;340 |48|249,00
0|Ѕур SDS Max 12&#215;400 |48|273,00
0|Ѕур SDS Max 12&#215;460 |48|319,00
0|Ѕур SDS Max 12&#215;600 |48|379,00
0|Ѕур SDS Max 12&#215;800 |48|390,00
0|Ѕур SDS Max 12&#215;1000|48|449,00
0|Ѕур SDS Max 14&#215;300 |48|237,00|blkt
0|Ѕур SDS Max 14&#215;310 |48|248,00
0|Ѕур SDS Max 14&#215;400 |48|289,00
0|Ѕур SDS Max 14&#215;460 |48|345,00
0|Ѕур SDS Max 14&#215;600 |48|365,00
0|Ѕур SDS Max 14&#215;800 |48|445,00
0|Ѕур SDS Max 14&#215;1000|48|579,00
0|Ѕур SDS Max 16&#215;300 |48|248,00|blkt
0|Ѕур SDS Max 16&#215;400 |48|329,00
0|Ѕур SDS Max 16&#215;460 |48|359,00
0|Ѕур SDS Max 16&#215;600 |48|448,00
0|Ѕур SDS Max 16&#215;800 |48|535,00
0|Ѕур SDS Max 16&#215;1000|48|669,00
0|Ѕур SDS Max 18&#215;400 |48|339,00|blkt
0|Ѕур SDS Max 18&#215;600 |48|445,00
0|Ѕур SDS Max 18&#215;800 |48|539,00
0|Ѕур SDS Max 18&#215;1000|48|725,00
0|Ѕур SDS Max 20&#215;400 |48|369,00|blkt 
0|Ѕур SDS Max 20&#215;460 |48|399,00 
0|Ѕур SDS Max 20&#215;550 |48|459,00 
0|Ѕур SDS Max 20&#215;600 |48|525,00 
0|Ѕур SDS Max 20&#215;800 |48|699,00 
0|Ѕур SDS Max 20&#215;1000|48|737,00 
0|Ѕур SDS Max 22&#215;400 |48|399,00|blkt 
0|Ѕур SDS Max 22&#215;460 |48|485,00 
0|Ѕур SDS Max 22&#215;600 |48|539,00 
0|Ѕур SDS Max 22&#215;800 |48|759,00 
0|Ѕур SDS Max 22&#215;1000|48|799,00 
1|Ѕур SDS Max 24&#215;600 |48|635,00 |mult2 next|
0|Ѕур SDS Max 24&#215;800 |48|689,00 
0|Ѕур SDS Max 24&#215;1000|48|1190,00 
0|Ѕур SDS Max 25&#215;600 |48|685,00|blkt 
0|Ѕур SDS Max 25&#215;800 |48|935,00 
0|Ѕур SDS Max 25&#215;1000|48|1269,00
0|Ѕур SDS Max 26&#215;300 |48|399,00|blkt 
0|Ѕур SDS Max 26&#215;400 |48|525,00 
0|Ѕур SDS Max 26&#215;600 |48|569,00 
0|Ѕур SDS Max 26&#215;800 |48|799,00 
0|Ѕур SDS Max 26&#215;1000|48|1299,00 
0|Ѕур SDS Max 28&#215;300 |48|489,00|blkt 
0|Ѕур SDS Max 28&#215;400 |48|597,00 
0|Ѕур SDS Max 28&#215;600 |48|655,00 
0|Ѕур SDS Max 28&#215;800 |48|889,00 
0|Ѕур SDS Max 28&#215;1000|48|1330,00 
0|Ѕур SDS Max 30&#215;300 |48|495,00|blkt 
0|Ѕур SDS Max 30&#215;400 |48|599,00  
0|Ѕур SDS Max 30&#215;600 |48|1190,00  
0|Ѕур SDS Max 30&#215;800 |48|1299,00  
0|Ѕур SDS Max 30&#215;1000|48|1385,00  
0|Ѕур SDS Max 32&#215;300 |48|535,00|blkt  
0|Ѕур SDS Max 32&#215;400 |48|675,00  
0|Ѕур SDS Max 32&#215;600 |48|1220,00  
0|Ѕур SDS Max 32&#215;800 |48|1315,00  
0|Ѕур SDS Max 32&#215;920 |48|1515,00  
0|Ѕур SDS Max 32&#215;1000|48|1665,00  
0|Ѕур SDS Max 35&#215;600 |48|1660,00|blkt  
0|Ѕур SDS Max 35&#215;800 |48|1690,00  
0|Ѕур SDS Max 35&#215;920 |48|1790,00  
