# 49|Зубило
 1|Зубило SDS Max&thinsp; &nbsp;        18&#215;25&#215;280 мм MATRIX|49|70341     | 295,00| 280,00| 265,00| |norow|Зубила плоские SDS Max, SDS Plus||||/img/pic/drill/small/ZUBILA SDS.jpg|/img/pic/drill/big/ZUBILA SDS.jpg
 0|Зубило SDS Max&thinsp; &nbsp;        18&#215;25&#215;280 мм MATRIX|49|70341     | 295,00| 280,00| 265,00||norow
 0|Зубило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;   25&#215;400 мм BERGEN|49|8525400   | 390,00| 370,00| 350,00|
~0|Зубило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;  25&#215;400 мм HAGWERT|49|509008    | 495,00| 480,00| 465,00|
~0|Зубило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;  25&#215;600 мм HAGWERT|49|509012    | 825,00| 795,00| 780,00|
 0|Зубило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;   40&#215;280 мм BERGEN|49|8510280   | 370,00| 350,00| 330,00|
 0|Зубило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;   40&#215;400 мм BERGEN|49|851340400 | 470,00| 440,00| 410,00|
 0|Зубило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;   40&#215;600 мм BERGEN|49|8510600   | 580,00| 540,00| 510,00|
 0|Зубило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;   50&#215;400 мм BERGEN|49|8550400   | 460,00| 430,00| 410,00|
~0|Зубило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;  50&#215;400 мм HAGWERT|49|509009    | 795,00| 775,00| 760,00|
 0|Зубило SDS Plus &nbsp; &nbsp; &nbsp; &nbsp;  18&#215;400 мм BERGEN|49|8101400   | 360,00| 330,00| 320,00||blkt
 0|Зубило SDS Plus &nbsp; &nbsp; &nbsp; &nbsp;  40&#215;250 мм BERGEN|49|81631425  | 360,00| 330,00| 320,00|
~0|Зубило SDS Plus &nbsp; &nbsp; &nbsp; &nbsp; 40&#215;250 мм HAGWERT|49|509003    | 495,00| 460,00| 440,00|
 0|Зубило SDS Plus &nbsp; &nbsp; &nbsp; &nbsp; 50&#215;250 мм BERGEN|49|810150250  | 380,00| 350,00| 340,00|
 0|Зубило SDS Plus круглое&thinsp;                     280 мм BERGEN|49|8101280    | 310,00| 280,00| 270,00|
#1|Зубило SDS Max&nbsp;                18&#215;25&#215;280 мм MATRIX|49|  70345    | 325,00| 305,00| 290,00||norow|Зубило SDS Max канальное полукруглое| 18&#215;25&#215;320, MATRIX <span class=art>арт. 70345</span>|</span></p><UL><LI>Изготовлено из легированной хромованадиевой стали 40Х и закалено.<LI>Оптимально подобранные углы заточки режущей поверхности.В процессе работы кромка самозатачивается.<LI>Применяется с перфоратором в режиме удара без вращения для <i>штробления</i> - производства узких каналов в бетоне, камне, кирпиче и т.д.</UL><p><span class="addt">||/img/pic/drill/small/70345.jpg|/img/pic/drill/big/jpg
#0|Зубило SDS Max&nbsp;                18&#215;25&#215;320 мм MATRIX|49|  70345   | 325,00| 305,00| 290,00||
#0|Зубило SDS Max        &nbsp;&thinsp; 18&#215;25&#215;600 мм MATRIX|49|70343    | 425,00| 405,00| 390,00|
#0|Зубило SDS Plus       &nbsp;&thinsp; 14&#215;20&#215;250 мм MATRIX|49|70320    | 129,00| 122,00| 119,00||blkt
#0|Зубило SDS Max&nbsp;               18&#215;25&#215;600 MATRIX|49|70343   |325|310|295
#0|Зубило SDS Max&nbsp;               18&#215;25&#215;400 MATRIX|49|70342   |245|230|220
#0|Зубило SDS Max&nbsp; &nbsp;&nbsp; &nbsp; 25&#215;600 RENNBOHR|49|852560  |535|515|505
#0|Зубило SDS Max&nbsp; &nbsp;&nbsp; &nbsp; 50&#215;400 RENNBOHR|49|855040  |565|545|525
#0|Зубило SDS Plus&nbsp;             14&#215;20&#215;250 MATRIX|49|70320    |145|125|120
#0|Зубило SDS Plus&nbsp;             14&#215;40&#215;250 MATRIX|49|70310    |215|190|185
#0|Зубило SDS Plus&nbsp; &nbsp;&nbsp; &nbsp; 20&#215;400 OPTIM |49|791006   |155|148|144
#0|Зубило SDS Plus&nbsp; &nbsp;&nbsp; &nbsp; 40&#215;250 OPTIM |49|791003   | 89| 85| 79
#1|Зубило SDS Max&nbsp;               18&#215;25&#215;280 MATRIX|49|70341   |225|210|195|norow ltd|Зубила плоские SDS Max, SDS Plus| HAGWERT|||/img/pic/drill/small/ZUBILA SDS.jpg|/img/pic/drill/big/ZUBILA SDS.jpg
#1|Зубило SDS Max&nbsp;               18&#215;25&#215;280 MATRIX    |49|70341  |144|144|144|sale1 |Зубила плоские SDS Max||||/img/pic/drill/small/ZUBILA SDS.jpg|/img/pic/drill/big/ZUBILA SDS.jpg
#0|Зубило SDS Max&nbsp;               25&#215;50&#215;360 MATRIX    |49|70344  |211|211|211|norow

 1|Пика SDS Max &emsp; &nbsp; &nbsp; &nbsp; &nbsp; 18&#215;280 мм MATRIX|49|70346  | 220,00| 205,00| 195,00||norow |Пики SDS Max, SDS Plus||||/img/pic/drill/small/PIKA SDS .jpg|/img/pic/drill/big/PIKA SDS .jpg
 0|Пика SDS Max &emsp; &nbsp; &nbsp;               18&#215;280 мм MATRIX|49|70346  | 220,00| 205,00| 195,00||norow
 0|Пика SDS Max &emsp; &nbsp; &nbsp; &nbsp;        18&#215;280 мм BERGEN|49|8502280| 330,00| 310,00| 290,00|
 0|Пика SDS Max &emsp; &nbsp; &nbsp; &nbsp;        18&#215;400 мм BERGEN|49|8502400| 380,00| 350,00| 335,00|
 0|Пика SDS Max &emsp; &nbsp; &nbsp; &nbsp;        18&#215;600 мм BERGEN|49|8502600| 520,00| 490,00| 470,00||
~0|Пика SDS Max &nbsp; &nbsp; &nbsp; &nbsp; &ensp; &emsp; 400 мм HAGWERT|49|509007 | 490,00| 470,00| 455,00|
~0|Пика SDS Max &nbsp; &nbsp; &nbsp; &nbsp; &ensp; &emsp; 600 мм HAGWERT|49|509011 | 898,00| 865,00| 845,00|
 0|Пика SDS Plus&nbsp;6-гранная                            400 мм BERGEN|49|8162400| 330,00| 310,00| 290,00||blkt
~0|Пика SDS Plus&nbsp;круглая &nbsp;&nbsp;                250 мм HAGWERT|49|509001 | 285,00| 265,00| 250,00|
 0|Пика SDS Plus&nbsp;круглая &nbsp;&nbsp;                 280 мм BERGEN|49|8102280| 330,00| 310,00| 290,00|
 0|Пика SDS Plus&nbsp;круглая &nbsp;&nbsp;                 400 мм BERGEN|49|8102400| 360,00| 340,00| 320,00|
 0|Пика SDS Plus&nbsp;круглая &nbsp;&nbsp;                 600 мм BERGEN|49|8102600| 470,00| 450,00| 430,00|
