# 49,cat49|Зубила для перфоратора SDS
 1|Зубила плоские                                                     |49|             |225,75|225,75|225,75||norow ltdi|| SDS Max, SDS Plus|||/img/pic/drill/small/ZUBILA SDS.jpg|/img/pic/drill/big/ZUBILA SDS.jpg
 0|Зубило SDS Max&nbsp;  канальное      18&#215;25&#215;320 мм MATRIX |49|70345        |198,00|198,00|198,00||ltdl
~0|Зубило SDS Max &nbsp;                18&#215;25&#215;400 мм BERGEN |49|B.ZM.2540    |348,00|341,00|334,00|
 0|Зубило SDS Max &nbsp;                18&#215;40&#215;280 мм BERGEN |49|B.ZM.4028    |298,00|292,00|288,00|
~0|Зубило SDS Max &nbsp;                18&#215;40&#215;400 мм BERGEN |49|B.ZM.4040    |348,00|341,00|334,00|
 0|Зубило SDS Max &nbsp;                18&#215;40&#215;600 мм BERGEN |49|B.ZM.4060    |498,00|483,00|475,00|
 0|Зубило SDS Max &nbsp;                18&#215;50&#215;400 мм BERGEN |49|B.ZM.5040    |348,00|341,00|334,00|
 0|Зубило SDS Max  &emsp;      25&#215;50&#215;360 мм, широкое MATRIX |49|70344        |425,00|405,00|398,00||ltdl
 0|Зубило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;   25&#215;400 мм OPTIM  |49|791007       |298,00|292,00|288,00|
 0|Зубило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;   25&#215;600 мм OPTIM  |49|791008       |298,00|292,00|288,00|
 0|Зубило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;   50&#215;400 мм OPTIM  |49|791009       |298,00|292,00|288,00|
 0|Зубило SDS Max &nbsp; &nbsp; &nbsp; &nbsp;   50&#215;400 мм HAGWERT|49|509009       |798,00|785,00|769,00||ltdl
 0|Зубило SDS Plus &emsp;               14&#215;18&#215;400 мм BERGEN |49|B.ZP.1840    |298,00|292,00|288,00||blkt
 0|Зубило SDS Plus &emsp;               14&#215;20&#215;250 мм OPTIM  |49|791002       | 98,00| 95,00| 92,00|
 0|Зубило SDS Plus &emsp;               14&#215;20&#215;400 мм OPTIM  |49|791006       |198,00|195,00|191,00|
 0|Зубило SDS Plus круглое              14&#215;20&#215;600 мм BERGEN |49|B.ZP.2060    |419,00|409,00|398,00|
 0|Зубило SDS Plus&nbsp; канальное      14&#215;22&#215;250 мм MATRIX |49|70301        |239,00|239,00|239,00||ltdl
 0|Зубило SDS Plus &emsp;               14&#215;40&#215;250 мм OPTIM  |49|791003       |128,00|124,00|121,00|
 0|Зубило SDS Plus &emsp;               14&#215;40&#215;250 мм BERGEN |49|B.ZP.4025    |279,00|273,00|265,00|
