1|Коронка в сборе M22 х 65 мм, SDS PLUS, MATRIX|172|70329|355.00|335||Коронки по бетону в сборе|, хвостовик SDS PLUS|||/img/pic/drill/small/Coronka v sbore SDS PLUS.jpg|/img/pic/drill/big/Coronka v sbore SDS PLUS.jpg
0|Коронка в сборе M22 х 68 мм, SDS PLUS, MATRIX|172|70330|385.00|365
0|Коронка в сборе M22 х 80 мм, SDS PLUS, MATRIX|172|70331|425.00|412
0|Коронка в сборе 65 мм, SDS PLUS, RENNBOHR|172|700065|770.00|740
0|Коронка в сборе 68 мм, SDS PLUS, RENNBOHR|172|700068|850.00|820
0|Коронка в сборе 80 мм, SDS PLUS, RENNBOHR|172|700080|965.00|925

1|Коронка BIMETALL 20 мм, MATRIX|281|72420|85.00 |-||Коронки BIMETALL|, MATRIX|ДСП, фанера, пластмасса и др.||/img/pic/drill/small/Coronka BIMETAL.jpg|/img/pic/drill/big/Coronka BIMETAL.jpg
0|Коронка BIMETALL 22 мм, MATRIX|281|72422|99.00 |-|
0|Коронка BIMETALL 25 мм, MATRIX|281|72425|109.00|-|
0|Коронка BIMETALL 29 мм, MATRIX|281|72429|119.00|-|
0|Коронка BIMETALL 32 мм, MATRIX|281|72432|139.00|-|
0|Коронка BIMETALL 35 мм, MATRIX|281|72435|159.00|-|
0|Коронка BIMETALL 41 мм, MATRIX|281|72441|169.00|-|
0|Коронка BIMETALL 44 мм, MATRIX|281|72444|179.00|-|
0|Коронка BIMETALL 51 мм, MATRIX|281|72451|189.00|-|
0|Коронка BIMETALL 54 мм, MATRIX|281|72454|199.00|-|
0|Коронка BIMETALL 60 мм, MATRIX|281|72460|229.00|-|
0|Коронка BIMETALL 64 мм, MATRIX|281|72464|249.00|-|
0|Коронка BIMETALL 68 мм, MATRIX|281|72468|269.00|-|
1|Хвостовик SDS PLUS для коронок BIMETALL до 30 мм   |281|72490|119.00|-||Хвостовики SDS PLUS для коронок BIMETALL|, MATRIX|||/img/pic/drill/small/Hvostovik DLJA KORONOK BIMETALL.jpg|/img/pic/drill/big/Hvostovik DLJA KORONOK BIMETALL.jpg
0|Хвостовик SDS PLUS для коронок BIMETALL свыше 30 мм|281|72492|169.00|-

