# 174,cat174|Все наборы гаечных ключей
# 613,cat613|Наборы рожковых ключей
 1|Набор рожковых гаечных ключей 6-22 мм CrV хромированных MATRIX   |174| 8|15276    | 625| 605| 605|613|norow ltdi one|Наборы гаечных ключей| рожковых|||/img/pic/keys/small/NABOR-ROZK-HARDAX_ART_43-2-408.jpg|/img/pic/keys/big/NABOR-ROZK-HARDAX_ART_43-2-408.jpg
 0|Набор рожковых ключей 8-22 мм CrV, покрытие U-Tech HARDAX        |174| 6|43-2-406 | 555| 544| 533|613
 0|Набор рожковых ключей 6-24 мм CrV, покрытие U-Tech HARDAX        |174| 8|43-2-408 | 898| 877| 866|613
 0|Набор рожковых ключей 6-17 мм, углеродистая сталь NORK           |174| 6|573204   | 135| 135| 135|613|ltdl
#0|Набор рожковых ключей 6-17 мм CrV хромированных MATRIX           |174| 6|15231    | 245| 245| 245|613|ltdl
#0|Набор рожковых ключей 6-24 мм CrV хромированных СИБРТЕХ ГОСТ 2839|174| 8|15222    | 385| 385| 385|613|ltdl
# 614,cat614|Наборы комбинированных ключей
 1|Наборы гаечных ключей комбинированных                            |174| 6|43-2-412 | 448| 442| 433|614| norow|| HARDAX|</span></p><UL><LI>Материал: хром-ванадиевая сталь (CrV).<LI>Покрытие: U-Tech, матовая полировка.</UL><p><span class="addt">||/img/pic/keys/small/NABOR-KOMBIN-HARDAX_ART_42-2-412.jpg|/img/pic/keys/big/NABOR-KOMBIN-HARDAX_ART_42-2-412.jpg
 0|Набор гаечных ключей комбинированных 10-19 мм HARDAX             |174| 6|43-2-412 | 598| 579| 567|614
 0|Набор гаечных ключей комбинированных  8-24 мм HARDAX             |174| 8|43-2-418 | 788| 777| 764|614
 0|Набор гаечных ключей комбинированных  8-24 мм HARDAX             |174|12|43-2-612 |1280|1270|1250|614
 1|Наборы гаечных ключей комбинированных                            |174| 6|KL225206 | 298| 292| 285|614| norow|| KLASTOOLS|</span></p><UL><LI>Материал: инструментальная хром-ванадиевая сталь (CrV).<LI>Покрытие: матовая полировка.</UL><p><span class="addt">||/img/pic/keys/small/KL225206.jpg|/img/pic/keys/big/KL225206.jpg
 0|Набор KLAS 8 - 10 - 12 - 13 - 14 - 17                      мм    |174| 6|KL225206 | 358| 345| 335|614
 0|Набор KLAS 6-7-8-10-11-12-13-14-15-17-19-22                мм    |174|12|KL225112 | 775| 762| 755|614
 0|Набор KLAS 6-7-8-10-11-12-13-14-15-17-19-21-22-24-27-30-32 мм    |174|20|KL225120 |1955|1933|1922|614
#1|Набор комбинированных ключей                                     |174| 6|15414    | 398| 388| 388|614| norow|Набор ключей комбинированных| MATRIX <span class=art>арт. 15414</span>|</span></p><UL><LI>6 ключей: 6-8-10-12-14-17 мм.<LI>Изготовлены из хромванадиевой стали (CrV).<LI>Твердость материала рабочей части ключа 45 HRc.<LI>Ключи имеют полированное хромоникелевое покрытие.</UL><p><span class="addt">||/img/pic/keys/small/15414.jpg|/img/pic/keys/big/jpg
#0|Набор ключей комбинированных 6-17 мм CrV MATRIX                  |174| 6|15414    | 398| 388| 388|614
# 615,cat615|Наборы накидных ключей
 1|Набор гаечных ключей двухсторонних накидных коленчатых           |174| 6|43-2-428 | 498| 482| 472|615|norow|| CrV, матовая полировка, 6 предметов REMOCOLOR <span class="art">арт. 43-2-428</span>|</span><span class="for">Для работы с шестигранным и четырехгранным крепежом <b>8 - 22 мм</b></span></p><UL><LI>Изготовлен из хромванадиевой стали, матовая полировка.<LI>Твердость рабочей части 44 - 48 HRc.</UL><p><span class="addt">||/img/pic/keys/small/43-2-428.jpg|/img/pic/keys/big/43-2-428.jpg
 0|Набор гаечных ключей накидных 8-22 мм CrV REMOCOLOR              |174| 6|43-2-428 | 598| 579| 567|615
#1|Набор накидных ключей 6-22 мм CrV хромированных SPARTA           |174| 8|153755   | 320| 320| 320|615|norow ltd one|Наборы ключей| накидных|||/img/pic/keys/small/kljuchinakidnye.jpg|/img/pic/keys/big/kljuchinakidnye
