# 117|Пленка полиэтиленовая
~1|Пленка п/э 100 мкм            |117|рукав-рулон 1.5х100|W-100|12,90|12,20|11,90|||Пленка полиэтиленовая||Цена за 1 кв. м||/img/pic/equip/small/plenka.jpg|/img/pic/equip/big/plenka.jpg
~0|Пленка п/э 100 мкм техническая|117|рукав-рулон 1.5х100|T-100| 4,90| 4,70| 4,50|
 0|Пленка п/э 120 мкм техническая|117|рукав-рулон 1.5х100|T-120|11,00|11,00|11,00|
 0|Пленка п/э 150 мкм            |117|рукав-рулон 1.5х100|W-150|16,90|16,30|15,90|
~0|Пленка п/э 150 мкм техническая|117|рукав-рулон 1.5х100|T-150| 6,95| 6,75| 6,55|
 0|Пленка п/э 200 мкм            |117|рукав-рулон 1.5х100|W-200|20,90|20,40|19,90|
~0|Пленка п/э 200 мкм техническая|117|рукав-рулон 1.5х100|T-200|10,50|10,20| 9,90|
 0|Плёнка п/э армированная 120 г/кв.м|117|рулон 2х25 |ARM-120-1|25,00|23,00|21,00||blkt
 0|Плёнка п/э армированная 120 г/кв.м|117|рулон 2х50 |ARM-120-2|25,00|23,00|21,00|
 0|Плёнка п/э армированная 140 г/кв.м|117|рулон 2х25 |ARM-140-1|37,00|35,00|33,00|
 0|Плёнка п/э армированная 140 г/кв.м|117|рулон 2х50 |ARM-140-2|37,00|35,00|33,00|
 0|Плёнка п/э армированная 200 г/кв.м|117|рулон 2х25 |ARM-200-1|55,00|52,00|49,00|
 0|Плёнка п/э армированная 200 г/кв.м|117|рулон 2х50 |ARM-200-2|55,00|52,00|49,00|
