# 117,cat117|Полиэтиленовые и армированные пленки
 1|Пленка п/э 100 мкм                |117|рукав-рулон 1.5х100|300|кв.м|     |19,02|18,20|17,90||norow|Пленка полиэтиленовая техническая||<br><b>Цена за 1 кв. м</b>||/img/pic/equip/small/plenka.jpg|/img/pic/equip/big/plenka.jpg
 0|Пленка п/э 100 мкм техническая    |117|рукав-рулон 1.5х100|300|кв.м|T-100| 7,45| 7,15| 6,95|
#1|Пленка п/э 100 мкм                |117|рукав-рулон 1.5х100|300|кв.м|     |19,02|18,20|17,90||norow|Пленка полиэтиленовая<br>Пленка полиэтиленовая техническая<br>Пленка полиэтиленовая армированная||<b>Цена за 1 кв. м</b>||/img/pic/equip/small/plenka.jpg|/img/pic/equip/big/plenka.jpg
#0|Пленка п/э 120 мкм техническая    |117|рукав-рулон 1.5х100|300|кв.м|T-120| 6,70| 6,10| 5,88|
#0|Пленка п/э 150 мкм                |117|рукав-рулон 1.5х100|300|кв.м|W-150|27,38|26,60|25,59|
#0|Пленка п/э 150 мкм техническая    |117|рукав-рулон 1.5х100|300|кв.м|T-150|10,06| 9,46| 9,13|
#0|Пленка п/э 200 мкм                |117|рукав-рулон 1.5х100|300|кв.м|W-200|31,34|29,62|29,06|
 0|Пленка п/э 200 мкм техническая    |117|рукав-рулон 1.5х100|300|кв.м|T-200|18,78|18,15|17,50|
#0|Плёнка п/э арм. 120 г/кв.м GOLDEN MESH|117|рулон 2х25| 50|кв.м|GM.120.252|25,70|24,58|23,50||blkt
#0|Плёнка п/э арм. 120 г/кв.м GOLDEN MESH|117|рулон 2х50|100|кв.м|GM.120.502|25,70|24,58|23,50|
#0|Плёнка п/э армированная 120 г/кв.м    |117|рулон 2х25| 50|кв.м|ARM-120-1 |29,87|27,81|26,78||blkt2
#0|Плёнка п/э армированная 120 г/кв.м    |117|рулон 2х50|100|кв.м|ARM-120-2 |29,87|27,81|26,78|
#0|Плёнка п/э армированная 140 г/кв.м    |117|рулон 2х25| 50|кв.м|ARM-140-1 |41,20|39,14|38,11|
#0|Плёнка п/э армированная 140 г/кв.м    |117|рулон 2х50|100|кв.м|ARM-140-2 |41,20|39,14|38,11|
#0|Плёнка п/э армированная 200 г/кв.м    |117|рулон 2х25| 50|кв.м|ARM-200-1 |60,77|57,68|55,62|
#0|Плёнка п/э армированная 200 г/кв.м    |117|рулон 2х50|100|кв.м|ARM-200-2 |60,77|57,68|55,62|

## 178,cat178|Сетка стеклотканевая
#1|Сетка стеклотканевая щелочестойкая                            |178|рулон 1х50|1|рулон 50 кв.м|ST.1800|2080|2020|1950||norow nocenter|| для фасадных, малярных, штукатурных работ, в рулонах 1&nbsp;х&nbsp;50&nbsp;м|</span></p><UL><LI>Армирует поверхность при проведении работ, улучшает механическую прочность защитно-декоративного слоя, способствует преодолению внутренних напряжений внутри штукатурного слоя, вызываемых перепадами температуры и влажности, и защищает поверность от образования терщин.<LI>Обработана специальным полимерным составом, благодаря чему особо устойчива к воздействию щелочей в условиях повышенной влажности.<LI>Имеет высокую сопротивляемость к разрывам и растяжениям; не разлагается и не ржавеет со временем; не выделяет токсичных и вредных веществ.<LI>Качество фасадной сетки Wand Master подтверждено Техническим Свидетельством Госстроя РФ.</li></UL><p><span class="addt"><b>Цена за 1 рулон (50 кв.м)</b>||/img/pic/equip/small/wand_master2.jpg|/img/pic/equip/big/wand_master1.jpg
#0|Сетка для малярных работ    WM,          2 х 2 мм,  50 г/кв.м |178|рулон 1х50|1|рулон 50 кв.м|ST.M.50 | 850| 820| 790
#0|Сетка для штукатурных работ WM,          5 х 5 мм,  65 г/кв.м |178|рулон 1х50|1|рулон 50 кв.м|ST.M.65 | 940| 915| 890
#0|Сетка для фасадных работ    Wand master, 4 х 4 мм, 160 г/кв.м |178|рулон 1х50|1|рулон 50 кв.м|ST.M.160|1990|1950|1920

#1|Сетка стеклотканевая                                  |178|рулон 1х50|ST.1800|2080|2020|1950||norow|| FasadPro для фасадных, малярных, штукатурных работ, с ячейкой 5 х 5 мм, в рулонах 1 х 50 м|Стеклотканевая щелочестойкая сетка с акрило-латекстной пропиткой.</span></p><UL><LI>Армирует поверхность при проведении работ, улучшает механическую прочность защитно-декоративного слоя, защищает поверность от образования терщин.<LI>Совместима со всеми основными фасадными системами.<!-- LI>Имеет Сертификат соответствия и Техническое Свидетельство ГОССТРОЯ, соответствует нормативам ГОСТа 55225-2012.</li --></UL><p><span class="addt"><b>Цена за 1 рулон (50 кв.м)</b>||/img/pic/equip/small/FasadPro2.jpg|/img/pic/equip/big/FasadPro1.jpg
#0|Сетка для фасадных работ    FasadPro 1800, 165 г/кв.м |178|рулон 1х50|ST.1800|2080|2020|1950
#0|Сетка для штукатурных работ FasadPro,       70 г/кв.м |178|рулон 1х50|ST.70  |1150|1080|1040
#0|Сетка для малярных работ    FasadPro,       45 г/кв.м |178|рулон 1х50|ST.45  |1090|1030| 990
