1|Пена "МАКРОФЛЕКС" ЗИМА 750 мл      |175|625426|260|250|245||Монтажная пена| зимняя|<UL><LI>Зимняя монтажная пена <b>MAKROFLEX</b> используется при температуре окружающей среды не ниже -10&deg; С. <LI>Выход до 50 л. <LI>Для бытового и профессионального (под пистолет) использования.</UL>||/img/pic/foam/small/PENA ZIMNJAA.jpg|/img/pic/foam/big/PENA ZIMNJAA.jpg
0|Пена "МАКРОФЛЕКС" ПРОФИ ЗИМА 750 мл|175|625424|268|262|258
1|Профессиональная монтажная пена зимняя|175|85379|288|275|265|neat|| TYTAN 65 О2 <span class=art>арт. 85379</span>|<UL><LI>Профессиональная полиуретановая монтажная пена под пистолет.<LI>Объемный выход из баллона 65 л, с низким вторичным расширением (не деформирует конструкции).<LI><b>Может использоваться при температуре воздуха до <span class=larger>-20&deg; С</span> и температуре баллона до <span class=larger>-5&deg; С.</span></b></UL>||/img/pic/foam/small/85379.jpg|/img/pic/foam/big/jpg
#1|Профессиональная монтажная пена|175|01-02-14|185|179||neat|| PROFPUR Standart зимняя <span class=art>арт. 01-02-14</span>|<UL><LI>Профессиональная пистолетная монтажная пена.<LI>Емкость баллона 1000 мл, Объем содержимого баллона 750 мл.<LI>Объемный выход из баллона 65 л.<LI>Температура применения - от -10&deg; С до +35&deg; С.</UL>||/img/pic/foam/small/PROFPUR.jpg|/img/pic/foam/big/jpg
#1|Профессиональная монтажная пена зимняя|175|01-0-1-033|265|255|-|neat|| FOME PRO MEGA POWER-PAC 65L <span class=art>арт. 01-0-1-033</span>|<UL><LI>Профессиональная монтажная пена под пистолет.<LI>Объемный выход из баллона 65 л.<LI><b>Может использоваться при особенно низких температурах, до <span class=larger>-21&deg; С.</span></b></UL>||/img/pic/foam/small/NOVAJA PENA na MINUS 21.jpg|/img/pic/foam/big/NOVAJA PENA na MINUS 21.jpg
1|Профессиональная всесезонная монтажная пена|175||235|225|220|neat|Профессиональная <strong>всесезонная</strong> монтажная пена| Pplus MEGA 65L <span class=art>арт. 01-0-0-034</span>|<UL><LI>Профессиональная монтажная пена под пистолет.<LI>Температура применения от -10&deg; С до +30&deg; С.<LI>Увеличенный выход при свободном расширении до 65 л<LI>Быстрое отвердение<LI>Отличное соотношение цены/качества</UL>||/img/pic/foam/small/NOVAJA PENA 65L VSSEZONNAJA.jpg|/img/pic/foam/big/NOVAJA PENA 65L VSSEZONNAJA.jpg
1|Пена CYCLONE 1000 мл всесезонная|175|01-3-0-041|185|175|-|neat|Монтажная <strong>всесезонная</strong> пена| CYCLONE|<UL><LI>Всесезонная полиуретановая пена с объемным выходом из баллона до 40 л.<LI>Содержит специальные добавки, улучшающие работу при отрицательных температурах.<LI>Температура применения от -10&deg; С до +30&deg; С.</UL>||/img/pic/foam/small/PENA - CYCLONE - vsesezonnaja.jpg|/img/pic/foam/big/PENA - CYCLONE - vsesezonnaja.jpg
0|Пена CYCLONE ПРОФИ 1000 мл всесезонная|175|01-3-1-511|195|185|-
#1|Пена FOME PRO Premium (Mounting Foam)|175|389|375|-|neat|Монтажная пена <strong>огнестойкая</strong>| FOME PRO Premium FIRE BLOCK, 1000 мл|<UL><LI>Профессиональная трудновоспламеняющаяся противопожарная монтажная пена.<LI>Выход при свободном расширении до 45 л.<LI>Класс возгораемости: <b>В1</b> по DIN 4102; <b>В</b> по EN 13501-1.<LI>Имеется <a href=/img/pic/foam/big/Certificate.JPG target=_blank title="Картинка JPG">сертификат пожарной безопасности</a>.<LI>Технические характеристики: <a href=/img/pic/foam/big/FOME-PRO-2.pdf target=_blank title="Документ PDF">Mounting Foam</a>, <a href=/img/pic/foam/big/FOME-PRO-1.pdf target=_blank title="Документ PDF">Gun Foam</a></UL></span></p></td><td class=nop align=center width=1><a href=/img/pic/foam/big/Certificate.JPG target=_blank><img style=border:none; src=/img/pic/foam/small/Certificate.JPG title="Сертификат пожарной безопасности"></a><p><span>||/img/pic/foam/small/PENA - OGNESTIYKAJA.jpg|/img/pic/foam/big/PENA - OGNESTIYKAJA.jpg
1|Пена FOME PRO Premium (Mounting Foam)|175|01-0-1-040|435|425|415|neat|Монтажная пена <strong>огнестойкая</strong>| FOME PRO Premium FIRE BLOCK, 1000 мл|<UL><LI>Профессиональная трудновоспламеняющаяся противопожарная монтажная пена.<LI>Выход при свободном расширении до 45 л.<LI>Класс возгораемости: <b>В1</b> по DIN 4102; <b>В</b> по EN 13501-1.<LI>Имеются сертификаты пожарной безопасности: <a href=/img/pic/foam/big/fome_pro_060sa.jpg target=_blank title="Сертификат EI60">EI 60</a>, <a href=/img/pic/foam/big/fome_pro_120sa.jpg target=_blank title="Сертификат EI120">EI 120</a>, <a href=/img/pic/foam/big/fome_pro_240sa.jpg target=_blank title="Сертификат EI240">EI 240</a>.<LI>Технические характеристики: <a href=/img/pic/foam/big/FOME-PRO-2.pdf target=_blank title="Документ PDF">Mounting Foam</a>, <a href=/img/pic/foam/big/FOME-PRO-1.pdf target=_blank title="Документ PDF">Gun Foam</a></UL>||/img/pic/foam/small/PENA - OGNESTIYKAJA.jpg|/img/pic/foam/big/PENA - OGNESTIYKAJA.jpg
