# 454|Смеси и клей строительные
# 455|Клей для плитки
 1|Клей для плитки "Ceresit" CM  9, 25 кг                |455|CM.09.25  |-|-|-||norow|Клей для плитки| "Ceresit" CM  9 для внутренних работ <span class=art>арт. CM.09.25</span>|Предназначен для крепления керамической плитки и керамогранита на жестких минеральных основаниях.</span></p><UL><LI>Водостойкий, устойчив к сползанию плитки.<LI>Пригоден только для внутренних работ.<LI>Экологически безопасный.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CM09m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CM09s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CM09r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CM09f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt">Расфасовка: мешок 25 кг||/img/pic/foam/small/CM0925.jpg|/img/pic/foam/big/CM0925.jpg
 0|Клей для плитки "Ceresit" CM  9, 25 кг                |455|CM.09.25  |-|-|-||
 1|Клей для плитки "Ceresit" CM 11 Plus, 25 кг           |455|CM.11.25  |-|-|-||norow|Клей для плитки| "Ceresit" CM 11 Plus  для внутренних и наружных работ <span class=art>арт. CM.11.25</span>|</span></p><UL><LI>Пригоден для крепления керамической плитки (для внутренних и наружных работ).<LI>Устойчив к сползанию плитки.<LI>Пригоден для крепления керамогранитной плитки на полах без подогрева внутри зданий (для внутренних работ).<LI>Водостойкий, морозостойкий, экологически безопасный.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CM11m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CM11s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CM11r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CM11f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt">Расфасовка: мешок 25 кг||/img/pic/foam/small/CM1125.jpg|/img/pic/foam/big/CM1125.jpg
~0|Клей для плитки "Ceresit" CM 11 Plus, 25 кг           |455|CM.11.25  |-|-|-||
 1|Клей для плитки "Ceresit" CM 14 Extra, 25 кг          |455|CM.14.25  |-|-|-||norow|Клей для плитки| "Ceresit" CM 14 Extra для внутренних и наружных работ <span class=art>арт. CM.14.25</span>|Предназначен для крепления керамических плиток, керамогранита и искусственного облицовочного камня на цементной основе.</span></p><UL><LI>Подходит для системы тёплых полов, может применяться на стяжках с подогревом, пригоден для внутренних и наружных работ.<LI>Совместим с гидроизоляцией "Ceresit" CR 65 и эластичной гидроизоляционной мастикой "Ceresit" CL 51.<LI>Эластифицированный, обладает высокой адгезией, устойчив к сползанию плитки.<LI>Водостойкий, морозостойкий, экологически безопасный.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CM14m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CM14s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CM14r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CM14f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt">Расфасовка: мешок 25 кг||/img/pic/foam/small/CM1425.jpg|/img/pic/foam/big/CM1425.jpg
~0|Клей для плитки "Ceresit" CM 14 Extra, 25 кг          |455|CM.14.25  |-|-|-||
 1|Эластичный клей для плитки "Ceresit" CM 16, 25 кг     |455|CM.16.25  |-|-|-||norow|Эластичный клей для плитки| "Ceresit" CM 16 для внутренних и наружных работ <span class=art>арт. CM.16.25</span>|</span><span class="for">Для крепления всех видов минеральных плиток &mdash; керамических, керамогранитных, клинкерных, каменных (кроме мраморных) и т.п., на стенах и полах</span></p><UL><LI>Может применяться во влажных зонах, на стяжках с подогревом, деформирующихся основаниях, старых плиточных облицовках, прочных акриловых покрытиях с хорошей адгезией к основанию.<LI>Благодаря высокой эластичности клей предотвращает возникновение скалывающих напряжений между плиткой и основанием при деформациях.<LI>Обладает высокой адгезией, устойчив к сползанию плитки, водостойкий, морозостойкий, экологически безопасный.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CM16m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CM16s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CM16f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt">Расфасовка: мешок 25 кг||/img/pic/foam/small/CM1625.jpg|/img/pic/foam/big/CM1625.jpg
~0|Эластичный клей для плитки "Ceresit" CM 16, 25 кг     |455|CM.16.25  |-|-|-||

# 456|Затирка
 1|Затирка "Ceresit" Aquastatic CE         белая         |456|СЕ.40.02WI|-|-|-||norow|Затирка| "Ceresit" Aquastatic CE 40|Эластичная водоотталкивающая затирка с усиленным противогрибковым эффектом (формула Trio Protection "Micro Protect") для швов плиточных облицовок шириной до 10 мм.</span></p><UL><LI>Эластичная, устойчива к деформациям; обладает высокой стойкостью к истиранию.<LI>Устойчива к загрязнению, легко моется; обладает высокой стойкостью цвета; идеально гладкая.<LI>Пригодна для внутренних и наружных работ; может применяться на полах с подогревом.<LI>Водостойкиая, морозостойкая, экологически безопасная.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CE40m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CE40s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CE40r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CE40f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt"><b>Цена за ведро 2 кг.</b>||/img/pic/foam/small/CT4002WI.jpg|/img/pic/foam/big/CT4002WI.jpg
 0|Затирка "Ceresit" № 01 Aquastatic CE 40 белая         |456|СЕ.40.02WI|-|-|-||
~0|Затирка "Ceresit" № 07 Aquastatic CE 40 серая         |456|СЕ.40.02GR|-|-|-||
#0|Затирка "Ceresit" № 10 Aquastatic CE 40 манхеттен     |456|СЕ.40.10  |-|-|-||zak
