1|Электроды МР-3С &#8960; 2.0 мм (синие)|45|105,00| 98,00| 95,00||Электроды сварочные| пр-ва завода СпецЭлектрод|<br><b>Оптовые</b> цены применяются при заказе от <b>300 кг</b>.<br><b>Крупнооптовые</b> &mdash; при заказе от <b>1 тонны</b>.||/img/pic/eld/small/specelectrod4-1.JPG|/img/pic/eld/big/jpg
0|Электроды МР-3С &#8960; 2.5 мм (синие)|45| 89,00| 87,00| 84,00
0|Электроды МР-3С &#8960; 3.0 мм (синие)|45| 75,00| 63,80| 61,50|red
0|Электроды МР-3С &#8960; 4.0 мм (синие)|45| 72,00| 61,20| 58,90|red
0|Электроды МР-3С &#8960; 5.0 мм (синие)|45| 72,00| 61,20| 58,90
0|Электроды ОЗС-12 &#8960; 2.0 мм       |45| 98,00| 95,00| 89,00|blkt
0|Электроды ОЗС-12 &#8960; 2.5 мм       |45| 93,00| 88,00| 85,00
0|Электроды ОЗС-12 &#8960; 3.0 мм       |45| 72,80| 67,20| 64,40|red
0|Электроды ОЗС-12 &#8960; 4.0 мм       |45| 69,20| 64,80| 62,50|red
0|Электроды ОЗС-12 &#8960; 5.0 мм       |45| 69,20| 64,80| 62,50
0|Электроды СЭОК-46 &#8960; 3.0 мм      |45| 88,00| 84,00| 80,00|blkt
0|Электроды СЭОК-46 &#8960; 4.0 мм      |45| 84,00| 80,00| 77,00
0|Электроды СЭОК-46 &#8960; 5.0 мм      |45| 84,00| 80,00| 77,00
0|Электроды УОНИ 13/55 &#8960; 3.0 мм   |45| 55,90| 51,60| 49,55|red blkt
0|Электроды УОНИ 13/55 &#8960; 4.0 мм   |45| 55,90| 51,60| 49,55|red
0|Электроды УОНИ 13/55 &#8960; 5.0 мм   |45| 54,00| 50,00| 48,00
1|Электроды МР-3С &#8960; 2.5 мм (синие)|45| 98,00| 93,00| 89,00||Электроды сварочные| пр-ва Лосиноостровского электродного завода|||/img/pic/eld/small/electrody lez.jpg|/img/pic/eld/big/electrody lez.jpg
0|Электроды МР-3С &#8960; 3.0 мм (синие)|45| 82,00| 78,00| 76,00
0|Электроды МР-3С &#8960; 4.0 мм (синие)|45| 77,00| 74,00| 71,00
0|Электроды МР-3С &#8960; 5.0 мм (синие)|45| 77,00| 74,00| 71,00
0|Электроды ОЗС-12 &#8960; 3.0 мм       |45| 75,00| 72,00| 69,00|blkt
0|Электроды ОЗС-12 &#8960; 4.0 мм       |45| 73,00| 70,00| 67,00
0|Электроды ОЗС-12 &#8960; 5.0 мм       |45| 73,00| 70,00| 67,00
0|Электроды УОНИ 13/55 &#8960; 3.0 мм   |45| 68,00| 65,00| 62,00|blkt
0|Электроды УОНИ 13/55 &#8960; 4.0 мм   |45| 66,00| 63,00| 60,00
0|Электроды УОНИ 13/55 &#8960; 5.0 мм   |45| 66,00| 63,00| 60,00
1|Электроды ОК 46.00 &#8960; 3.00 х 350 мм (уп. 5.3 кг)|45|139|134|129||Электроды сварочные| ESAB|<UL><LI>Универсальные рутиловые электроды обеспечивают хорошую стабильность горения дуги.<LI>Применяются для особо ответственных работ.</UL>||/img/pic/eld/small/esab.jpg|/img/pic/eld/big/jpg
0|Электроды ОК 46.00 &#8960; 4.00 х 450 мм (уп. 6.6 кг)|45|135|129|124

#1|Электроды МР-3С &#8960; 3.0 мм (синие)|312||54|norow|Электроды сварочные| пр-ва Новооскольского электродного завода| Цена с НДС за 1 кг||/img/pic/eld/small/electrody nez.jpg|/img/pic/eld/big/electrody nez.jpg
#0|Электроды МР-3С &#8960; 4.0 мм (синие)|312||45

1|Сварочный инвертор|279|TOR200|13950|13550|13300|neat|| ТОРУС-200 <span class=art>арт. TOR200</span>|<UL><LI>Простой в обращении, легкий и экономичный сварочный инвертор, способный работать даже при нестабильной электрической сети.<LI>Имеет разные режимы работы (MMA и TIG), подходит для самых разных условий сварки.</UL><DL><DT>Питающая сеть:<DD>165 .. 242 В, 50 Гц<DT>Ток сварки:<DD>постоянный, 30 .. 200 А<DT>Регулировка сварочного тока:<DD>плавная<DT>Потребляемая мощность:<DD>до 5,2 кВт<DT>Диаметр электродов:<DD>1,6 .. 5,0 мм<DT>Вес:<DD>5,3 кг<DT>Габариты:<DD>125 х 190 х 300 мм</DL>||/img/pic/eld/small/TOR200.jpg|/img/pic/eld/big/TOR200.jpg
1|Сварочный инвертор|279|TOR235|14825|14550|14200|neat|| ТОРУС-235 ПРИМА <span class=art>арт. TOR235</span>|<UL><LI>Профессиональный сварочный инвертор, легкий и экономичный, способный работать даже при нестабильной электрической сети.<LI>Имеет возможность работать непрерывно на максимальных токах как при очень низких, так и при высоких температурах воздуха.</UL><DL><DT>Питающая сеть:<DD>165 .. 242 В, 50 Гц<DT>Ток сварки:<DD>постоянный, 20 .. 235 А<DT>Регулировка сварочного тока:<DD>плавная<DT>Цифровой индикатор тока:<DD>есть<DT>Потребляемая мощность:<DD>до 7,6 кВт<DT>Диаметр электродов:<DD>1,6 .. 5,0 мм<DT>Вес:<DD>5,7 кг<DT>Габариты:<DD>125 х 190 х 300 мм</DL>||/img/pic/eld/small/TOR235.jpg|/img/pic/eld/big/TOR235.jpg
#1|Сварочный аппарат (инвертер)|279|FORWARD-200-IGBT|5580|5580||neat|| FORWARD 200 IGBT|<UL><LI>Сварочный аппарат для дуговой сварки при постоянном токе</UL><DL><DT>Напряжение питания:<DD>220 В<DT>Ток сварки:<DD>10-200 А<DT>Потребляемая мощность:<DD>8,2 кВт<DT>Диаметр электродов:<DD>1,6 - 4,0 мм<DT>Упаковка:<DD>Кейс<DT>Вес:<DD>9,3 кг</DL>||/img/pic/eld/small/forward_201_igbt.jpg|/img/pic/eld/big/
#1|Сварочный аппарат (инвертер)|279|FORWARD-201-IGBT|6550|6350|6250|neat|| FORWARD 201 IGBT <span class=art>арт. FD-201-IGBT</span>|<UL><LI>Сварочный аппарат для дуговой сварки, сварки ММА при постоянном токе</UL><DL><DT>Напряжение питания:<DD>220 В<DT>Ток сварки:<DD>10-200 А<DT>Потребляемая мощность:<DD>8,2 кВт<DT>Диаметр электродов:<DD>1,6 - 4,0 мм<DT>Упаковка:<DD>Кейс<DT>Вес:<DD>9,3 кг</DL>||/img/pic/eld/small/forward_201_igbt.jpg|/img/pic/eld/big/
#1|Сварочный аппарат (инвертер)|279|FORWARD-220-MOS |6550|6550||neat|| FORWARD 220 MOS |<UL><LI>Сварочный аппарат для дуговой сварки при постоянном токе</UL><table style=width:100%><tr><td><td style=min-width:8em><DL><DT>Напряжение питания:<DD>220 В<DT>Ток сварки:<DD>20-220 А<DT>Потребляемая мощность:<DD>7,1 кВт<DT>Диаметр электродов:<DD>1,6 - 4,0 мм<DT>Упаковка:<DD>Коробка<DT>Вес:<DD>9,3 кг</DL><td></table>||/img/pic/eld/small/forward_220_mos.jpg|/img/pic/eld/big/
#1|Сварочный аппарат (инвертер)|279|FORWARD-220-MOS |6550|6550||neat|| FORWARD 220 MOS |<UL><LI>Сварочный аппарат для дуговой сварки при постоянном токе</UL><table style=width:100%><tr><td style=width:30%;><td style=min-width:8em><DL><DT>Напряжение питания:<DD>220 В<DT>Ток сварки:<DD>20-220 А<DT>Потребляемая мощность:<DD>7,1 кВт<DT>Диаметр электродов:<DD>1,6 - 4,0 мм<DT>Упаковка:<DD>Коробка<DT>Вес:<DD>9,3 кг</DL><td style=width:30%;></table>||/img/pic/eld/small/forward_220_mos.jpg|/img/pic/eld/big/
#1|Сварочный аппарат (инвертер)|279|FORWARD-221-MOS |6590|6390||neat|| FORWARD 221 MOS <span class=art>арт. FD-221-MOS</span>|<UL><LI>Сварочный аппарат для дуговой сварки при постоянном токе</UL><table style=width:100%><tr><td style=width:30%;><td style=min-width:16em><DL><DT>Напряжение питания:<DD>220 В<DT>Ток сварки:<DD>10-220 А<DT>Потребляемая мощность:<DD>7,1 кВт<DT>Диаметр электродов:<DD>1,6 - 4,0 мм<DT>Упаковка:<DD>Коробка<DT>Вес:<DD>9,3 кг</DL><td style=width:30%;></table>||/img/pic/eld/small/forward_220_mos.jpg|/img/pic/eld/big/

1|Редуктор баллонный БКО-50|297|BKO50|795|765|740||Редуктор баллонный| кислородный БКО-50 <span class=art>арт. BKO50</span>|Газовый баллонный редуктор одноступенчатый БКО-50 (регулятор расхода газа) предназначен для понижения давления газа, поступающего из баллона, и автоматического поддержания постоянного заданного рабочего давления при газопламенной обработке. Наличие двух манометров обеспечивает контроль давления на входе и в камере рабочего давления. Редуктор соответствует требованиям ГОСТ 13861-89 и ISO 2503 по точности поддержания давления.||/img/pic/eld/small/BKO.jpg|/img/pic/eld/big/BKO.jpg
1|Редуктор баллонный БПО-5 |297|BPO5|695|670|650||Редуктор баллонный| пропановый БПО-5 <span class=art>арт. BPO5</span>|Газовый баллонный редуктор одноступенчатый БПО-5 (регулятор расхода газа) предназначен для понижения давления газа, поступающего из баллона, и автоматического поддержания постоянного заданного рабочего давления при газопламенной обработке. Редуктор соответствует требованиям ГОСТ 13861-89 и ISO 2503 по точности поддержания давления.||/img/pic/eld/small/BPO.jpg|/img/pic/eld/big/BPO.jpg
