# [3ц А Е]
# 45,cat45|Электроды сварочные
 1|Электроды МР-3С &#8960; 2.0 мм (синие)                |45||кг|SE-        |189,00|183,00|179,00||norow|Электроды сварочные| пр-ва завода СпецЭлектрод|Цена за <b>1 кг</b>.<br><b>Оптовые</b> цены применяются при заказе от <b>300 кг</b>.<br><b>Крупнооптовые</b> &mdash; при заказе от <b>1 тонны</b>.||/img/pic/eld/small/EL-2.jpg|/img/pic/eld/big/EL-2.jpg
 0|Электроды МР-3С &#8960; 2.0 мм (синие)                |45||кг|SE-MR20    |199,00|195,00|192,00||
 0|Электроды МР-3С &#8960; 2.5 мм (синие)                |45||кг|SE-MR25    |199,00|195,00|192,00||
 0|Электроды МР-3С &#8960; 3.0 мм (синие)                |45||кг|SE-MR30    |112,00|109,00|105,00||
 0|Электроды МР-3С &#8960; 4.0 мм (синие)                |45||кг|SE-MR40    |109,00|105,00|102,00||
 0|Электроды МР-3С &#8960; 5.0 мм (синие)                |45||кг|SE-MR50    |109,00|105,00|102,00||
 0|Электроды ОЗС-12 &#8960; 2.0 мм                       |45||кг|SE-OZ20    |188,00|184,00|181,00||blkt
 0|Электроды ОЗС-12 &#8960; 2.5 мм                       |45||кг|SE-OZ25    |188,00|184,00|181,00||
 0|Электроды ОЗС-12 &#8960; 3.0 мм                       |45||кг|SE-OZ30    |118,00|113,00|109,00||
 0|Электроды ОЗС-12 &#8960; 4.0 мм                       |45||кг|SE-OZ40    |112,00|102,00| 99,00||
 0|Электроды ОЗС-12 &#8960; 5.0 мм                       |45||кг|SE-OZ50    |112,00|102,00| 99,00||
 0|Электроды УОНИ 13/55 &#8960; 3.0 мм                   |45||кг|SE-UN30    |102,00| 99,00| 97,00||blkt
 0|Электроды УОНИ 13/55 &#8960; 4.0 мм                   |45||кг|SE-UN40    | 99,00| 97,00| 95,00||
 0|Электроды УОНИ 13/55 &#8960; 5.0 мм                   |45||кг|SE-UN50    | 99,00| 97,00| 95,00||
#0|Электроды АНО-21 &#8960; 3.0 мм                       |45||кг|SE-ANO21-30|     -|     -|     -||blkt
#0|Электроды АНО-21 &#8960; 4.0 мм                       |45||кг|SE-ANO21-40|     -|     -|     -||
#0|Электроды АНО-36 &#8960; 3.0 мм                       |45||кг|SE-ANO36-30|     -|     -|     -||blkt
#0|Электроды АНО-36 &#8960; 4.0 мм                       |45||кг|SE-ANO36-40|     -|     -|     -||
#0|Электроды СЭОК-46 &#8960; 3.0 мм                      |45||кг|SE-OK30    |     -|     -|     -||blkt
#0|Электроды СЭОК-46 &#8960; 4.0 мм                      |45||кг|SE-OK40    |     -|     -|     -||
#0|Электроды СЭОК-46 &#8960; 5.0 мм                      |45||кг|SE-OK50    |     -|     -|     -||
 1|Электроды ОК 46.00   &#8960; 3.0 х 350 мм (уп. 5.3 кг)|45|5.3|кг|ES2553.O|229,00|222,00|217,00||norow|Электроды сварочные| ESAB|</span></p><UL><LI>Универсальные <b>рутиловые</b> электроды обеспечивают хорошую стабильность горения дуги.<LI>Применяются для особо ответственных работ.</UL><p><span class="addt"><b>Цена за 1 кг. Отпускаются упаковками.</b>||/img/pic/eld/small/esab.jpg|/img/pic/eld/big/jpg
 0|Электроды ОК 46.00   &#8960; 2.5 х 350 мм (уп. 5.3 кг)|45|5.3|кг|ES2553.O|229,00|222,00|217,00|
 0|Электроды ОК 46.00   &#8960; 3.0 х 350 мм (уп. 5.3 кг)|45|5.3|кг|ES3053.O|209,00|202,00|198,00|
 0|Электроды ОК 46.00   &#8960; 4.0 х 450 мм (уп. 6.6 кг)|45|6.6|кг|ES4066.O|209,00|202,00|198,00|
#0|Электроды УОНИ 13/55 &#8960; 3.0 х 450 мм (уп. 4.5 кг)|45|4.5|кг|ES4061.U|179,00|175,00|172,00|
 0|Электроды УОНИ 13/55 &#8960; 4.0 х 450 мм (уп. 6.0 кг)|45|6.0|кг|ES4060.U|179,00|175,00|172,00|
#1|Электроды МР-3С &#8960; 2.5 мм (синие)                |45||кг|L.MR25     |207,90|204,58|200,34|||Электроды сварочные| пр-ва Лосиноостровского электродного завода|<br>Цена за 1 кг.||/img/pic/eld/small/electrody lez.jpg|/img/pic/eld/big/electrody lez.jpg
#1|Электроды МР-3С &#8960; 2.0 мм (синие)                |45||кг|L.MR20     |     -|     -|     -||norow|Электроды сварочные| пр-ва Лосиноостровского электродного завода|<br>Цена за 1 кг.||/img/pic/eld/small/electrody lez.jpg|/img/pic/eld/big/electrody lez.jpg
#0|Электроды МР-3С &#8960; 2.0 мм (синие)                |45||кг|L.MR20     |     -|     -|     -||
#0|Электроды МР-3С &#8960; 3.0 мм (синие)                |45||кг|L.MR30     |     -|     -|     -||
#0|Электроды МР-3С &#8960; 4.0 мм (синие)                |45||кг|L.MR40     |     -|     -|     -||
#0|Электроды МР-3С &#8960; 5.0 мм (синие)                |45||кг|L.MR50     |     -|     -|     -||
#0|Электроды ОЗС-12 &#8960; 2.5 мм                       |45||кг|L.O.25     |     -|     -|     -||blkt
#0|Электроды ОЗС-12 &#8960; 3.0 мм                       |45||кг|L.O.30     |     -|     -|     -||blkt
#0|Электроды ОЗС-12 &#8960; 4.0 мм                       |45||кг|L.O.40     |     -|     -|     -||
#0|Электроды ОЗС-12 &#8960; 5.0 мм                       |45||кг|L.O.50     |     -|     -|     -||
#0|Электроды УОНИ 13/55 &#8960; 3.0 мм                   |45||кг|L.U.30     |     -|     -|     -||blkt
#0|Электроды УОНИ 13/55 &#8960; 4.0 мм                   |45||кг|L.U.40     |     -|     -|     -||
#0|Электроды УОНИ 13/55 &#8960; 5.0 мм                   |45||кг|L.U.50     |     -|     -|     -||

#1|Электроды МР-3С &#8960; 3.0 мм (синие)|312||54|norow|Электроды сварочные| пр-ва Новооскольского электродного завода| Цена с НДС за 1 кг||/img/pic/eld/small/electrody nez.jpg|/img/pic/eld/big/electrody nez.jpg
#0|Электроды МР-3С &#8960; 4.0 мм (синие)|312||45

# 356,cat356|Сварочная проволока
 1|Проволока сварочная 0,8 мм D200, упак. 15 кг|356|SP0815 | 850,00| 820,00| 785,00||norow|Проволока сварочная омедненная| ASF-51 ER70S-6|Омедненная стальная сварочная проволока с рядной намоткой для полуавтоматической сварки, аналог отечественной провлоки Св08Г2С.<br><br><b>Цена за 1 упаковку.</b>||/img/pic/eld/small/ER70S-6.jpg|/img/pic/eld/big/jpg
#0|Проволока сварочная 0,8 мм D200, упак.  5 кг|356|SP0805 | 775,00| 745,00| 715,00||
 0|Проволока сварочная 0,8 мм D200, упак. 15 кг|356|SP0815 |2498,00|2458,00|2438,00||
 0|Проволока сварочная 1,0 мм D200, упак.  5 кг|356|SP1005 | 988,00| 977,00| 965,00||blkt2
 0|Проволока сварочная 1,0 мм D300, упак. 15 кг|356|SP1015 |2498,00|2458,00|2438,00||
