## [51+66+14+18+45 шт. в уп. + 3цА]
## 496,cat496|Болты оцинкованные в упаковках
 1|Болт оцинкованный                                    |496|            ||159,00|155,00|152,00| |norow|| DIN 933, шестигранная головка, полная резьба|</span></p><UL><LI><abbr title="Предел прочности на растяжение: 500 МПа;&#xa;Относительный предел текучести: 0.8;&#xa;Предельная нагрузка = 500 МПа x 0.8 = 400 МПа.">Класс прочности 5.8</abbr>.<LI>Длина болта в полной резьбе &mdash; это длина резьбовой части болта без головки.<LI>Толщина головки составляет примерно 0,64 диаметра резьбы.</UL><p><span class="addt"><b>Цена за упаковку</b>||/img/pic/metrkr/small/Bolt Zn Polnaja rezba.jpg|/img/pic/metrkr/big/Bolt Zn Polnaja rezba.jpg
 0|Болт 6 &times; 20 DIN 933 оцинкованный, полная резьба|496|06020-10  |10| 30,00| 30,00| 30,00
 0|Болт 6 &times; 20 DIN 933 оцинкованный, полная резьба|496|06020-50  |50|135,00|135,00|135,00
 0|Болт 6 &times; 25 DIN 933 оцинкованный, полная резьба|496|06025-10  |10| 32,00| 32,00| 32,00
 0|Болт 6 &times; 25 DIN 933 оцинкованный, полная резьба|496|06025-50  |50|145,00|145,00|145,00
 0|Болт 6 &times; 30 DIN 933 оцинкованный, полная резьба|496|06030-10  |10| 32,00| 32,00| 32,00
 0|Болт 6 &times; 30 DIN 933 оцинкованный, полная резьба|496|06030-50  |50|145,00|145,00|145,00
 0|Болт 6 &times; 35 DIN 933 оцинкованный, полная резьба|496|06035-10  |10| 34,00| 34,00| 34,00
 0|Болт 6 &times; 35 DIN 933 оцинкованный, полная резьба|496|06035-50  |50|155,00|155,00|155,00
 0|Болт 6 &times; 40 DIN 933 оцинкованный, полная резьба|496|06040-10  |10| 37,00| 37,00| 37,00
 0|Болт 6 &times; 40 DIN 933 оцинкованный, полная резьба|496|06040-50  |50|175,00|175,00|175,00
 0|Болт 6 &times; 50 DIN 933 оцинкованный, полная резьба|496|06050-10  |10| 42,00| 42,00| 42,00
 0|Болт 6 &times; 50 DIN 933 оцинкованный, полная резьба|496|06050-50  |50|190,00|190,00|190,00
 0|Болт 6 &times; 60 DIN 933 оцинкованный, полная резьба|496|06060-10  |10| 48,00| 48,00| 48,00
 0|Болт 6 &times; 70 DIN 933 оцинкованный, полная резьба|496|06070-10  |10| 57,00| 57,00| 57,00
 0|Болт 8 &times; 16 DIN 933 оцинкованный, полная резьба|496|08016-10  |10| 42,00| 42,00| 42,00
 0|Болт 8 &times; 16 DIN 933 оцинкованный, полная резьба|496|08016-50  |50|195,00|195,00|195,00
 0|Болт 8 &times; 20 DIN 933 оцинкованный, полная резьба|496|08020-10  |10| 47,00| 47,00| 47,00
 0|Болт 8 &times; 20 DIN 933 оцинкованный, полная резьба|496|08020-50  |50|215,00|215,00|215,00
 0|Болт 8 &times; 25 DIN 933 оцинкованный, полная резьба|496|08025-10  |10| 50,00| 50,00| 50,00
 0|Болт 8 &times; 25 DIN 933 оцинкованный, полная резьба|496|08025-50  |50|220,00|220,00|220,00
 0|Болт 8 &times; 30 DIN 933 оцинкованный, полная резьба|496|08030-10  |10| 52,00| 52,00| 52,00
 0|Болт 8 &times; 30 DIN 933 оцинкованный, полная резьба|496|08030-50  |50|240,00|240,00|240,00
 0|Болт 8 &times; 35 DIN 933 оцинкованный, полная резьба|496|08035-10  |10| 57,00| 57,00| 57,00
 0|Болт 8 &times; 35 DIN 933 оцинкованный, полная резьба|496|08035-50  |50|250,00|250,00|250,00
 0|Болт 8 &times; 40 DIN 933 оцинкованный, полная резьба|496|08040-10  |10| 63,00| 63,00| 63,00
 0|Болт 8 &times; 40 DIN 933 оцинкованный, полная резьба|496|08040-50  |50|290,00|290,00|290,00
 0|Болт 8 &times; 45 DIN 933 оцинкованный, полная резьба|496|08045-10  |10| 67,00| 67,00| 67,00
 0|Болт 8 &times; 45 DIN 933 оцинкованный, полная резьба|496|08045-50  |50|300,00|300,00|300,00
 0|Болт 8 &times; 50 DIN 933 оцинкованный, полная резьба|496|08050-10  |10| 73,00| 73,00| 73,00
 0|Болт 8 &times; 50 DIN 933 оцинкованный, полная резьба|496|08050-50  |50|340,00|340,00|340,00
 0|Болт 8 &times; 60 DIN 933 оцинкованный, полная резьба|496|08060-10  |10| 89,00| 89,00| 89,00
 0|Болт 8 &times; 70 DIN 933 оцинкованный, полная резьба|496|08070-10  |10| 93,00| 93,00| 93,00

## 494,cat494|Шайбы оцинкованные в упаковках
 1|Шайба плоская оцинкованная                           |494|            ||198,00|195,00|188,00| |norow|| ГОСТ 11371-70 / DIN 125|</span></p><UL><LI>В наименовании шайбы указан <b>размер резьбы</b>, для использования с которой предназначена шайба.<LI><b>Внутренний диаметр</b> шайбы соответствует <b>размеру резьбы</b>, превышая его <b>на 5&divide;10%</b>.<LI><b>Внешний диаметр</b> шайбы приведен в таблице.<LI>В пределах предусмотренных стандартами допусков <b>фактический вес</b> изделия может отличаться от теоретического, приведённого в таблице, <b>до 15%</b> в любую сторону.</UL><p><span class="addt"><b>Цена за упаковку.</b>||/img/pic/metrkr/small/Shajba obyknoven Zn.jpg|/img/pic/metrkr/big/Shajba obyknoven Zn.jpg                               |
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125 С&#8199;6 |494|SH06-Z-10 |10|  3,00|  3,00|  3,00
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125 С&#8199;6 |494|SH06-Z-50 |50| 15,00| 15,00| 15,00
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125 С&#8199;8 |494|SH08-Z-10 |10|  4,50|  4,50|  4,50
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125 С&#8199;8 |494|SH08-Z-50 |50| 20,00| 20,00| 20,00
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125       С10 |494|SH10-Z-10 |10|  8,50|  8,50|  8,50
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125       С10 |494|SH10-Z-50 |50| 42,00| 42,00| 42,00
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125       С12 |494|SH12-Z-10 |10| 16,00| 16,00| 16,00
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125       С12 |494|SH12-Z-50 |50| 75,00| 75,00| 75,00
 1|Шайба увеличенная оцинкованная                      |494|            ||169,00|165,00|161,00| |norow|| ГОСТ 6958-70 / DIN 9021|</span></p><UL><LI>В наименовании шайбы указан <b>размер резьбы</b>, для использования с которой предназначена шайба.<LI><b>Внутренний диаметр</b> шайбы соответствует <b>размеру резьбы</b>, превышая его <b>на 5&divide;10%</b>.<LI><b>Внешний диаметр</b> шайбы приведен в таблице.<LI>В пределах предусмотренных стандартами допусков <b>фактический вес</b> изделия может отличаться от теоретического, приведённого в таблице, <b>до 15%</b> в любую сторону.</UL><p><span class="addt"><b>Цена за упаковку.</b>||/img/pic/metrkr/small/SHAJBA UVELICHENAJA Zn.jpg|/img/pic/metrkr/big/SHAJBA UVELICHENAJA Zn.jpg
 0|Шайба увеличенная ГОСТ 6958-70 / DIN 9021 С&#8199;6 |494|SHU06-Z-10|10| 10,00| 10,00| 10,00
 0|Шайба увеличенная ГОСТ 6958-70 / DIN 9021 С&#8199;6 |494|SHU06-Z-50|50| 50,00| 50,00| 50,00
 0|Шайба увеличенная ГОСТ 6958-70 / DIN 9021 С&#8199;8 |494|SHU08-Z-10|10| 15,00| 15,00| 15,00
 0|Шайба увеличенная ГОСТ 6958-70 / DIN 9021 С&#8199;8 |494|SHU08-Z-50|50| 75,00| 75,00| 75,00
 0|Шайба увеличенная ГОСТ 6958-70 / DIN 9021       С10 |494|SHU10-Z-10|10| 30,00| 30,00| 30,00
 0|Шайба увеличенная ГОСТ 6958-70 / DIN 9021       С10 |494|SHU10-Z-50|50|145,00|145,00|145,00
 0|Шайба увеличенная ГОСТ 6958-70 / DIN 9021       С12 |494|SHU12-Z-10|10| 50,00| 50,00| 50,00
 0|Шайба увеличенная ГОСТ 6958-70 / DIN 9021       С12 |494|SHU12-Z-25|25|125,00|125,00|125,00

## 495,cat495|Гайки оцинкованные в упаковках
 1|Гайка оцинкованная                                   |495|            ||159,00|155,00|152,00| |norow|| ГОСТ 5915-70|</span></p><UL><LI>В наименовании гайки указан <b>размер резьбы</b>, для использования с которой предназначена гайка.</UL><p><span class="addt"><b>Цена за упаковку</b>||/img/pic/metrkr/small/Gajka Zn.jpg|/img/pic/metrkr/big/Gajka Zn.jpg
 0|Гайка DIN  934 M&#8199;6                             |495|GZ06-10   |10| 12,00| 12,00| 12,00
 0|Гайка DIN  934 M&#8199;6                             |495|GZ06-50   |50| 60,00| 60,00| 60,00
 0|Гайка DIN  934 M&#8199;8                             |495|GZ08-10   |10| 14,00| 14,00| 14,00
 0|Гайка DIN  934 M&#8199;8                             |495|GZ08-50   |50| 70,00| 70,00| 70,00
 0|Гайка DIN  934       M10                             |495|GZ10-10   |10| 20,00| 20,00| 20,00
 0|Гайка DIN  934       M10                             |495|GZ10-50   |50|100,00|100,00|100,00
 0|Гайка DIN  934       M12                             |495|GZ12-10   |10| 32,00| 32,00| 32,00
 0|Гайка DIN  934       M12                             |495|GZ12-25   |25| 80,00| 80,00| 80,00

## [51+43+36+14+18+45 МК Внеш. д. 3ц А]
## 34,cat34|Шайба плоская увеличенная гровер
## 59,cat59|Шайба плоская увеличенная гровер на развес
 1|Шайба плоская ГОСТ 11371-70 /      DIN 125 &emsp; &#8199;С6 |34|SH06-Z |12 мм|0.0010       кг|229,00|198,00|     -| ||Шайба плоская оцинкованная| ГОСТ 11371-70 / DIN 125|</span></p><UL><LI>В наименовании шайбы указан <b>размер резьбы</b>, для использования с которой предназначена шайба.<LI><b>Внутренний диаметр</b> шайбы соответствует <b>размеру резьбы</b>, превышая его <b>на 5&divide;10%</b>.<LI><b>Внешний диаметр</b> шайбы приведен в таблице.<LI>В пределах предусмотренных стандартами допусков <b>фактический вес</b> изделия может отличаться от теоретического, приведённого в таблице, <b>до 15%</b> в любую сторону.</UL><p><span class="addt"><b>Цена за 1 кг.</b>||/img/pic/metrkr/small/Shajba obyknoven Zn.jpg|/img/pic/metrkr/big/Shajba obyknoven Zn.jpg                               |
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125 &emsp; &#8199;С8 |34|SH08-Z |16 мм|0.0018       кг|229,00|198,00|     -|
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125 &emsp;       С10 |34|SH10-Z |20 мм|0.0036       кг|229,00|198,00|     -|
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125 &emsp;       С12 |34|SH12-Z |24 мм|0.0063       кг|229,00|198,00|     -|
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125 &emsp;       С14 |34|SH14-Z |28 мм|0.0086       кг|229,00|198,00|     -|
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125 &emsp;       С16 |34|SH16-Z |30 мм|0.011&#8199; кг|229,00|198,00|     -|
 1|Шайба плоская оцинкованная                                  |34|SH06-Z |12 мм|0.0010       кг|128,00|128,00|     -|394|norow sale1|| ГОСТ 11371-70 / DIN 125|</span></p><UL><LI>В наименовании шайбы указан <b>размер резьбы</b>, для использования с которой предназначена шайба.<LI><b>Внутренний диаметр</b> шайбы соответствует <b>размеру резьбы</b>, превышая его <b>на 5&divide;10%</b>.<LI><b>Внешний диаметр</b> шайбы приведен в таблице.<LI>В пределах предусмотренных стандартами допусков <b>фактический вес</b> изделия может отличаться от теоретического, приведённого в таблице, <b>до 15%</b> в любую сторону.</UL><p><span class="addt"><b>Цена за 1 кг.</b>||/img/pic/metrkr/small/Shajba obyknoven Zn.jpg|/img/pic/metrkr/big/Shajba obyknoven Zn.jpg                               |
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125 &emsp;       С18 |34|SH18-Z |34 мм|0.015&#8199; кг|128,00|128,00|     -|394
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125 &emsp;       С20 |34|SH20-Z |37 мм|0.017&#8199; кг|128,00|128,00|     -|394
#0|Шайба плоская ГОСТ 11371-70 /      DIN 125 &emsp;       С22 |34|SH22-Z |37 мм|0.017&#8199; кг|128,00|128,00|     -|394
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125 &emsp;       С24 |34|SH24-Z |44 мм|0.032&#8199; кг|128,00|128,00|     -|394
#0|Шайба плоская ГОСТ 11371-70 /      DIN 125 &emsp;       С27 |34|SH27-Z |50 мм|0.042&#8199; кг|128,00|128,00|     -|394
 0|Шайба плоская ГОСТ 11371-70 /      DIN 125 &emsp;       С30 |34|SH30-Z |56 мм|0.054&#8199; кг|128,00|128,00|     -|394
#0|Шайба плоская ГОСТ 11371-70 /      DIN 125 &emsp;       С36 |34|SH36-Z |66 мм|0.092&#8199; кг|128,00|128,00|     -|394
#0|Шайба плоская ГОСТ 11371-70 /      DIN 125 &emsp;       С42 |34|SH42-Z |78 мм|0.180&#8199; кг|128,00|128,00|     -|394
 1|Шайба увеличенная ГОСТ 6958-70 /  DIN 9021 &nbsp; &#8199;С6 |34|SHU06-Z|18 мм|0.003 кг       |248,00|225,00|     -| ||Шайба увеличенная оцинкованная| ГОСТ 6958-70 / DIN 9021|</span></p><UL><LI>В наименовании шайбы указан <b>размер резьбы</b>, для использования с которой предназначена шайба.<LI><b>Внутренний диаметр</b> шайбы соответствует <b>размеру резьбы</b>, превышая его <b>на 5&divide;10%</b>.<LI><b>Внешний диаметр</b> шайбы приведен в таблице.<LI>В пределах предусмотренных стандартами допусков <b>фактический вес</b> изделия может отличаться от теоретического, приведённого в таблице, <b>до 15%</b> в любую сторону.</UL><p><span class="addt"><b>Цена за 1 кг.</b>||/img/pic/metrkr/small/SHAJBA UVELICHENAJA Zn.jpg|/img/pic/metrkr/big/shajba_uvelichennaja.jpg
 0|Шайба увеличенная ГОСТ 6958-70 /  DIN 9021 &nbsp; &#8199;С8 |34|SHU08-Z|24 мм|0.006 кг       |248,00|225,00|     -|
 0|Шайба увеличенная ГОСТ 6958-70 /  DIN 9021 &nbsp;       С10 |34|SHU10-Z|30 мм|0.012 кг       |248,00|225,00|     -|
 0|Шайба увеличенная ГОСТ 6958-70 /  DIN 9021 &nbsp;       С12 |34|SHU12-Z|37 мм|0.022 кг       |248,00|225,00|     -|
#0|Шайба увеличенная ГОСТ 6958-70 /  DIN 9021 &nbsp;       С14 |34|SHU14-Z|44 мм|0.032 кг       |248,00|225,00|     -|
 0|Шайба увеличенная ГОСТ 6958-70 /  DIN 9021 &nbsp;       С20 |34|SHU20-Z|60 мм|0.077 кг       |248,00|225,00|     -|
 1|Шайба увеличенная оцинкованная                              |34|SHU06-Z|18 мм|0.003 кг       |248,00|225,00|     -|394|norow sale1|| ГОСТ 6958-70 / DIN 9021|</span></p><UL><LI>В наименовании шайбы указан <b>размер резьбы</b>, для использования с которой предназначена шайба.<LI><b>Внутренний диаметр</b> шайбы соответствует <b>размеру резьбы</b>, превышая его <b>на 5&divide;10%</b>.<LI><b>Внешний диаметр</b> шайбы приведен в таблице.<LI>В пределах предусмотренных стандартами допусков <b>фактический вес</b> изделия может отличаться от теоретического, приведённого в таблице, <b>до 15%</b> в любую сторону.</UL><p><span class="addt"><b>Цена за 1 кг.</b>||/img/pic/metrkr/small/SHAJBA UVELICHENAJA Zn.jpg|/img/pic/metrkr/big/shajba_uvelichennaja.jpg
 0|Шайба увеличенная ГОСТ 6958-70 /  DIN 9021 &nbsp;       С16 |34|SHU16-Z|50 мм|0.041 кг       |135,00|135,00|     -|394
 0|Шайба увеличенная ГОСТ 6958-70 /  DIN 9021 &nbsp;       С18 |34|SHU18-Z|56 мм|0.067 кг       |135,00|135,00|     -|394
 0|Шайба увеличенная ГОСТ 6958-70 /  DIN 9021 &nbsp;       С22 |34|SHU22-Z|72 мм|0.150 кг       |135,00|135,00|     -|394
 0|Шайба увеличенная ГОСТ 6958-70 /  DIN 9021 &nbsp;       С24 |34|SHU24-Z|72 мм|0.150 кг       |135,00|135,00|     -|394
 0|Шайба увеличенная ГОСТ 6958-70 /  DIN 9021 &nbsp;       С27 |34|SHU27-Z|82 мм|0.230 кг       |135,00|135,00|     -|394
 0|Шайба увеличенная ГОСТ 6958-70 /  DIN 9021 &nbsp;       С30 |34|SHU30-Z|92 мм|0.270 кг       |135,00|135,00|     -|394
#0|Шайба увеличенная ГОСТ 6958-70 /  DIN 9021 &nbsp;       С36 |34|SHU36-Z|110мм|0.520 кг       |248,00|225,00|     -|394
 1|Гровер ГОСТ 6402-70 / DIN 127 /   DIN 7980 &ensp; &#8199;C6 |34|SHG06-Z|10 мм|0.001 кг       |     -|     -|     -| ||Шайба пружинная гровер оцинкованный| ГОСТ 6402-70 (DIN 127, DIN 7980)|</span></p><UL><LI>В наименовании шайбы указан <b>размер резьбы</b>, для использования с которой предназначена шайба.<LI><b>Внутренний диаметр</b> шайбы соответствует <b>размеру резьбы</b>, превышая его <b>на 3&divide;8%</b>.<LI><b>Приблизительный внешний диаметр</b> шайбы приведен в таблице; <b>фактический</b> может отличаться <b>до 10%</b> в любую сторону.<LI>В пределах предусмотренных стандартами допусков и различий типоразмеров <b>фактический вес</b> изделия может отличаться от теоретического, приведённого в таблице, <b>до 25%</b> в любую сторону.</UL><p><span class="addt"><b>Цена за 1 кг.</b>||/img/pic/metrkr/small/Shajba GROVER.jpg|/img/pic/metrkr/big/grover.jpg
 0|Гровер ГОСТ 6402-70 / DIN 127 /   DIN 7980 &ensp; &#8199;C8 |34|SHG08-Z|13 мм|0.002 кг       |     -|     -|     -|
 0|Гровер ГОСТ 6402-70 / DIN 127 /   DIN 7980 &ensp;       C10 |34|SHG10-Z|16 мм|0.003 кг       |     -|     -|     -|
 0|Гровер ГОСТ 6402-70 / DIN 127 /   DIN 7980 &ensp;       C12 |34|SHG12-Z|19 мм|0.004 кг       |     -|     -|     -|
 0|Гровер ГОСТ 6402-70 / DIN 127 /   DIN 7980 &ensp;       C14 |34|SHG14-Z|22 мм|0.006 кг       |     -|     -|     -|
 0|Гровер ГОСТ 6402-70 / DIN 127 /   DIN 7980 &ensp;       C16 |34|SHG16-Z|25 мм|0.008 кг       |     -|     -|     -|
 0|Гровер ГОСТ 6402-70 / DIN 127 /   DIN 7980 &ensp;       C18 |34|SHG18-Z|27 мм|0.011 кг       |     -|     -|     -|
 0|Гровер ГОСТ 6402-70 / DIN 127 /   DIN 7980 &ensp;       C20 |34|SHG20-Z|31 мм|0.015 кг       |     -|     -|     -|
#0|Гровер ГОСТ 6402-70 / DIN 127 /   DIN 7980 &ensp;       C24 |34|SHG24-Z|37 мм|0.025 кг       |     -|     -|     -|
#0|Гровер ГОСТ 6402-70 / DIN 127 /   DIN 7980 &ensp;       C30 |34|SHG30-Z|45 мм|0.045 кг       |     -|     -|     -|

## [51+36+14+18+45 Метр. крепеж 3ц А]
# 33,cat33 |Гайки оцинкованные
# 160,cat160 |Гайки оцинкованные на развес
 1|Гайка DIN  934 &#8199;М6    |33|GZ06 |0.0026 кг|229,00|198,00|-|||Гайка оцинкованная шестигранная DIN 934| (аналог ГОСТ 5915-70 и ГОСТ 5927-70)|<b>Цена за 1 кг</b>||/img/pic/metrkr/small/Gajka Zn.jpg|/img/pic/metrkr/big/gajki.jpg
 0|Гайка DIN  934 &#8199;М8    |33|GZ08 |0.0055 кг|229,00|198,00|-|
 0|Гайка DIN  934       М10    |33|GZ10 |0.0103 кг|229,00|198,00|-|
 0|Гайка DIN  934       М12    |33|GZ12 |0.0157 кг|229,00|198,00|-|
 0|Гайка DIN  934       М14    |33|GZ14 |0.0225 кг|229,00|198,00|-|
 0|Гайка DIN  934       М16    |33|GZ16 |0.0254 кг|229,00|198,00|-|
#0|Гайка DIN  934       М18    |33|GZ18 |0.0442 кг|229,00|198,00|-|
 0|Гайка DIN  934       М20    |33|GZ20 |0.0540 кг|229,00|198,00|-|
 1|Гайка оцинкованная          |33|     |         |229,00|198,00|-|405|norow sale1|Гайка оцинкованная шестигранная DIN 934| (аналог ГОСТ 5915-70 и ГОСТ 5927-70)|<b>Цена за 1 кг</b>||/img/pic/metrkr/small/Gajka Zn.jpg|/img/pic/metrkr/big/gajki.jpg
 0|Гайка DIN  934       М22    |33|SG.22|0.0720 кг|128,00|128,00|-|405
#0|Гайка DIN  934       М24    |33|SG.24|0.0930 кг|128,00|128,00|-|405
