# 444,cat444|Саморезы кровельные
 1|Саморезы кровельные оцинкованные|444||185|180|170||norow|| с шайбой и резиновой прокладкой|<br><b>Цена за упаковку 100 штук.</b>||/img/pic/krep/small/samorez_krovelny.jpg|/img/pic/krep/big/samorez_krovelny.jpg
#0|Саморез кровельный 4.8 х 28 мм  (уп. 100 шт.)|444|     428.06|-|-|-
 0|Саморез кровельный 4.8 х 29 мм  (уп. 100 шт.)|444|           |-|-|-|
 0|Саморез кровельный 4.8 х 35 мм  (уп. 100 шт.)|444|           |-|-|-||
#0|Саморез кровельный 4.8 х 35 мм  (уп. 100 шт.)|444|    435.025|-|-|-
#0|Саморез кровельный 4.8 х 35 мм  (уп. 100 шт.)|444|     435.05|-|-|-
 0|Саморез кровельный 4.8 х 38 мм  (уп. 100 шт.)|444|           |-|-|-||
#0|Саморез кровельный 4.8 х 38 мм  (уп. 100 шт.)|444|    438.025|-|-|-
#0|Саморез кровельный 4.8 х 38 мм  (уп. 100 шт.)|444|     438.05|-|-|-
 0|Саморез кровельный 5.5 х 19 мм  (уп. 100 шт.)|444|           |-|-|-||blkt
#0|Саморез кровельный 5.5 х 19 мм  (уп. 100 шт.)|444|    519.025|-|-|-|
#0|Саморез кровельный 5.5 х 19 мм  (уп. 100 шт.)|444|     519.06|-|-|-
 0|Саморез кровельный 5.5 х 32 мм  (уп. 100 шт.)|444|           |-|-|-||
#0|Саморез кровельный 5.5 х 32 мм  (уп. 100 шт.)|444|    532.025|-|-|-
#0|Саморез кровельный 5.5 х 32 мм  (уп. 100 шт.)|444|     532.04|-|-|-
#0|Саморез кровельный 5.5 х 38 мм  (уп. 100 шт.)|444|    538.015|-|-|-||
 0|Саморез кровельный 5.5 х 38 мм  (уп. 100 шт.)|444|           |-|-|-|
#0|Саморез кровельный 5.5 х 38 мм  (уп. 100 шт.)|444|     538.04|-|-|-
 0|Саморез кровельный 5.5 х 51 мм  (уп. 100 шт.)|444|           |-|-|-||
#0|Саморез кровельный 5.5 х 51 мм  (уп. 150 шт.)|444|     551.15|-|-|-
#0|Саморез кровельный 5.5 х 51 мм  (уп. 300 шт.)|444|     551.30|-|-|-

## 51+41+14+18 К-во в 1 кг + 3ц A Е
## 18,cat18|Саморезы Крупная-редкая, мелкая-частая резьба
#1|Саморез по дереву 3.5х16 мм |18||||1180|165|159|155||norow|Саморезы по дереву, гипсокартону и тонкому металлу| оксидированные| </span></p><UL><LI>2 модификации: <b>крупная-редкая</b> и <b>мелкая-частая</b> резьба.<LI>Потайная головка Phillips № 2.</UL><p><span class="addt">Цена за <b>1 кг</b>. &emsp; Приблизительное количество в 1 кг указано <strong>справочно</strong>.||/img/pic/krep/small/SAMOREZY KRUPNY SHAG.jpg|/img/pic/krep/big/SAMOREZY KRUPNY SHAG.jpg
1|Саморез по дереву 3.5х16 мм |18||||1180|165|159|155||norow|Саморезы по дереву, гипсокартону и тонкому металлу| оксидированные| </span></p><UL><LI>2 модификации: <b>крупная-редкая</b> и <b>мелкая-частая</b> резьба.<LI>Потайная головка Phillips № 2.</UL><p><span class="addt">Цена за <b>1 кг</b>. &emsp; Приблизительное количество в 1 кг указано <strong>справочно</strong>.||/img/pic/krep/small/samorezy.jpg|/img/pic/krep/big/samorezy.jpg
0|Саморез крупный-редкий шаг 3.5 х &numsp;16 мм|18|||SB.16  |1180|235,00|209,00|-
0|Саморез крупный-редкий шаг 3.5 х &numsp;19 мм|18|||SB.19  | 960|145,00|145,00|-||sp2
0|Саморез крупный-редкий шаг 3.5 х &numsp;25 мм|18|||SB.25  | 800|235,00|209,00|-
0|Саморез крупный-редкий шаг 3.5 х &numsp;32 мм|18|||SB.32  | 620|235,00|209,00|-
0|Саморез крупный-редкий шаг 3.5 х &numsp;35 мм|18|||SB.35  | 570|235,00|209,00|-
0|Саморез крупный-редкий шаг 3.5 х &numsp;41 мм|18|||SB.41  | 500|235,00|209,00|-
0|Саморез крупный-редкий шаг 3.5 х &numsp;45 мм|18|||SB.45  | 470|235,00|209,00|-
0|Саморез крупный-редкий шаг 3.5 х &numsp;51 мм|18|||SB.51  | 420|235,00|209,00|-
0|Саморез крупный-редкий шаг 3.5 х &numsp;55 мм|18|||SB.55  | 400|235,00|209,00|-
0|Саморез крупный-редкий шаг 3.8 х &numsp;64 мм|18|||SB.64  | 310|235,00|209,00|-||blkt2
0|Саморез крупный-редкий шаг 3.9 х &numsp;65 мм|18|||SB.65  | 300|235,00|209,00|-
0|Саморез крупный-редкий шаг 4.2 х &numsp;64 мм|18|||SB.64  | 290|235,00|209,00|-||blkt2
0|Саморез крупный-редкий шаг 4.2 х &numsp;70 мм|18|||SB.70  | 260|235,00|209,00|-
0|Саморез крупный-редкий шаг 4.2 х &numsp;76 мм|18|||SB.76  | 210|235,00|209,00|-
0|Саморез крупный-редкий шаг 4.8 х &numsp;90 мм|18|||SB.90  | 170|235,00|209,00|-||blkt2
0|Саморез крупный-редкий шаг 4.8 х       102 мм|18|||SB.102 | 120|235,00|209,00|-
0|Саморез крупный-редкий шаг 4.8 х       127 мм|18|||SB.127 | 100|235,00|209,00|-
0|Саморез мелкий-частый шаг  3.5 х &numsp;16 мм|18|||SM.16  |1180|235,00|209,00|-||blkt
0|Саморез мелкий-частый шаг  3.5 х &numsp;19 мм|18|||SM.19  | 960|235,00|209,00|-
0|Саморез мелкий-частый шаг  3.5 х &numsp;25 мм|18|||SM.25  | 800|235,00|209,00|-
0|Саморез мелкий-частый шаг  3.5 х &numsp;32 мм|18|||SM.32  | 620|235,00|209,00|-
0|Саморез мелкий-частый шаг  3.5 х &numsp;35 мм|18|||SM.35  | 570|235,00|209,00|-
0|Саморез мелкий-частый шаг  3.5 х &numsp;41 мм|18|||SM.41  | 500|235,00|209,00|-
0|Саморез мелкий-частый шаг  3.5 х &numsp;45 мм|18|||SM.45  | 470|235,00|209,00|-
0|Саморез мелкий-частый шаг  3.5 х &numsp;51 мм|18|||SM.51  | 420|235,00|209,00|-
0|Саморез мелкий-частый шаг  3.5 х &numsp;55 мм|18|||SM.55  | 400|235,00|209,00|-
0|Саморез мелкий-частый шаг  3.8 х &numsp;65 мм|18|||SM.65.3| 300|235,00|209,00|-||blkt2
0|Саморез мелкий-частый шаг  4.2 х &numsp;64 мм|18|||SM.64  | 280|235,00|209,00|-||blkt2
0|Саморез мелкий-частый шаг  4.2 х &numsp;70 мм|18|||SM.70  | 250|235,00|209,00|-
