## 14,cat14|Гвозди строительные 51+41+14+18 К-во в 1 кг + 3ц A Е
#1|Гвоздь строительный&numsp; 40 х 2.0 мм, ГОСТ 4028-80|14|5|кг|         |    | 77,00| 69.00|89,00||norow|Гвозди строительные| ГОСТ 4028-80|Отпускаются упаковками 5 и 25 кг.<br>Количества гвоздей в 1 кг указаны справочно и в пределах предусмотренных стандартами допусков могут отличаться от приведённых в таблице до 10% в любую сторону.<br><b>Цена за 1 кг. Цена не окончательна. При больших объемах она может быть существенно снижена.</b>||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
 1|Гвоздь строительный&numsp; 40 х 2.0 мм, ГОСТ 4028-80|14|5|кг|         |    | 77,00| 69.00|89,00||norow|Гвозди строительные| ГОСТ 4028-80|Отпускаются упаковками 5 и 25 кг.<br>Количества гвоздей в 1 кг указаны справочно и в пределах предусмотренных стандартами допусков могут отличаться от приведённых в таблице до 10% в любую сторону.<br><b>Цена за 1 кг. Цена не окончательна. При больших объемах она может быть существенно снижена.</b>||/img/pic/krep/small/gvozdi_stroitelnye.jpg|/img/pic/krep/big/gvozdi_stroitelnye.jpg
 0|Гвоздь строительный&numsp; 40 х 2.0 мм, ГОСТ 4028-80|14|5|кг|         |1053|138,00|237,00|-|
 0|Гвоздь строительный&numsp; 50 х 2.5 мм, ГОСТ 4028-80|14|5|кг|G05050   | 535|119,00|109,00|-|
 0|Гвоздь строительный&numsp; 60 х 2.5 мм, ГОСТ 4028-80|14|5|кг|G05060   | 450|119,00|109,00|-|
 0|Гвоздь строительный&numsp; 70 х 3.0 мм, ГОСТ 4028-80|14|5|кг|G05070   | 265|119,00|109,00|-|
 0|Гвоздь строительный&numsp; 80 х 3.0 мм, ГОСТ 4028-80|14|5|кг|G05080   | 230|119,00|109,00|-|
 0|Гвоздь строительный&numsp; 90 х 3.5 мм, ГОСТ 4028-80|14|5|кг|G05090   | 150|119,00|109,00|-|
 0|Гвоздь строительный       100 х 4.0 мм, ГОСТ 4028-80|14|5|кг|G05100   | 105|119,00|109,00|-|
 0|Гвоздь строительный       120 х 4.0 мм, ГОСТ 4028-80|14|5|кг|G05120   |  87|119,00|109,00|-|
 0|Гвоздь строительный       150 х 5.0 мм, ГОСТ 4028-80|14|5|кг|G05150   |  45|119,00|109,00|-|
 0|Гвоздь строительный       200 х 6.0 мм, ГОСТ 4028-80|14|5|кг|G05200   |  25|119,00|109,00|-|
#0|Гвоздь строительный&numsp; 25 х 1.6 мм, ГОСТ 4028-80|14|5|кг|G05025.16|2500|109,00| 98,00|-|
#0|Гвоздь строительный&numsp; 40 х 2.0 мм, ГОСТ 4028-80|14|5|кг|G05040   |1050|109,00| 98,00|-|

 1|Гвоздь строительный        16 х 1.2 мм, ГОСТ 4028-80, уп. 5 кг|14|5|кг||6800|109,86|109,00|-|395|norow sale1|Гвозди строительные| ГОСТ 4028-80|Отпускаются упаковками от 5 до 25 кг.<br><br><b>Цена за 1 кг.</b>||/img/pic/krep/small/Gvozdi stroitelnye.jpg|/img/pic/krep/big/Gvozdi stroitelnye.jpg
