# 278,cat278|Провода и кабели
 1|Провод ПВС белый медный гибкий ГОСТ|278|P.275.10|18,98|18,25|17,75||norow|| в бухтах|<br><b>Цена за 1 бухту.</b>||/img/pic/elka/small/pvs.jpg|/img/pic/elka/big/jpg
 0|Провод ПВС белый медный гибкий 2.0 &#215; 1.50, бухта 150 м|278|P.EN.215.150|4790,00|4730,00|4675,00||
 0|Провод ПВС белый медный гибкий 2.0 &#215; 2.50, бухта 100 м|278|P.EN.225.100|4998,00|4945,00|4870,00||
#0|Провод ПВС белый медный гибкий 3.0 &#215; 1.50, бухта 100 м|278|P.EN.315.100|4390,00|4330,00|4285,00||
 0|Провод ПВС белый медный гибкий 3.0 &#215; 1.50, бухта 150 м|278|P.EN.315.150|6390,00|6300,00|6220,00||
 0|Провод ПВС белый медный гибкий 3.0 &#215; 2.50, бухта 100 м|278|P.EN.325.100|6998,00|6900,00|6825,00||
#1|Провод гибкий ПВСнг(А)-LS 2.0 &#215; 0.75, бухта 100 пог. м|278|100|м|P.275.10|18,98|18,25|17,75||norow|Провод гибкий| ПВСнг(А)-LS ГОСТ|</span><span class="for">Для подключения электрических и осветительных приборов, электроинструмента и т.п. под напряжением до 380&nbsp;В</span></p><UL><LI>Проводники медные гибкие с изоляцией и оболочкой из ПВХ-пластиката.<LI>Индекс <b>нг(А)</b> означает, что провод <b>не распростроняет горение</b>, и относится к <b>категории огнестойкости "А"</b> по ГОСТ Р МЭК 60332-3-22—2005.<LI>Индекс <b>LS</b> означает низкое дымо- и газовыделение (<b>Low Smoke</b>) под воздействием пламени и высоких температур.<LI>В наличии могут быть бухты с намоткой <b>не только 100 пог. м.</b></UL><p><span class="addt"><b>Цена за 1 погонный метр.</b>||/img/pic/elka/small/pvs.jpg|/img/pic/elka/big/jpg
#0|Провод гибкий ПВСнг(А)-LS 2.0 &#215; 0.75, бухта 100 пог. м|278|100|м|P.275.10|18,98|18,25|17,75||
#0|Провод гибкий ПВСнг(А)-LS 2.0 &#215; 1.00, бухта 100 пог. м|278|100|м|P.210.10|22,98|21,98|20,98||
#0|Провод гибкий ПВСнг(А)-LS 2.0 &#215; 1.50, бухта 100 пог. м|278|100|м|P.215.10|29,98|28,98|27,98||
#0|Провод гибкий ПВСнг(А)-LS 2.0 &#215; 2.50, бухта 100 пог. м|278|100|м|P.225.10|49,98|47,98|46,98||
#0|Провод гибкий ПВСнг(А)-LS 3.0 &#215; 0.75, бухта 100 пог. м|278|100|м|P.375.10|24,98|23,98|22,45||
#0|Провод гибкий ПВСнг(А)-LS 3.0 &#215; 1.00, бухта 100 пог. м|278|100|м|P.310.10|29,98|28,98|27,98||
#0|Провод гибкий ПВСнг(А)-LS 3.0 &#215; 1.50, бухта 100 пог. м|278|100|м|P.315.10|38,98|37,98|36,45||
#0|Провод гибкий ПВСнг(А)-LS 3.0 &#215; 2.50, бухта 100 пог. м|278|100|м|P.325.10|65,98|64,00|62,00||

# 245,cat245|Силовые электроудлинители
 1|Удлинители силовые с проводом КГ 3 &#215; 1.5 кв.мм, 16А, 3.5кВт|245|G-963-4207|5100|5000|4900||norow|| на металлической катушке, 4 розетки с/з, <strong>IP44</strong>|</span></p><UL><LI>Морозостойкие удлинители серии КГ можно использовать на открытом воздухе в абсолютно любую погоду – они рассчитаны на широкий диапазон рабочих температур от -50 до +40°С, устойчивы к дождю, солнцу.<LI>Провод с одной стороны армированный штепсельной каучуковой розеткой с крышкой, с другой – разборной каучуковой вилкой (IP44).<LI>Материал многопроволочных жил кабеля — 100 % медь.<LI>Ручка для удобной смотки сетевого шнура.</UL><p><span class="addt">||/img/pic/elka/small/89-0-156.jpg|/img/pic/elka/big/89-0-156.jpg
 0|Электроудлинитель 30 м, КГ 3&#215;1.5 16А, 4 роз. с/з, IP44|245|89-0-156|4590|4400|-||
 0|Электроудлинитель 50 м, КГ 3&#215;1.5 16А, 4 роз. с/з, IP44|245|89-0-157|6290|6000|-||
#1|Удлинитель силовой универсальный 30 м, 4 розетки |245|G-963-4207|5100|5000|4900||norow||, 3.5кВт (16А) ГОСТ, <strong>IP44</strong>, на пластиковой катушке <span class="art">арт. G-963-4207</span>|</span></p><UL><LI>Степень пылевлагозащищенности IP44.<LI>Кабель термоустойчивый ПВС 3 &#215; 2.5 кв.мм ГОСТ.</UL><p><span class="addt">||/img/pic/elka/small/G-963-4207.jpg|/img/pic/elka/big/G-963-4207.jpg
#0|Электроудлинитель 30 м, ПВС 3 &#215; 2.5 ГОСТ, 4 роз., IP44|245|G-963-4207|4998|4950|4890||
#1|Силовые электроудлинители на пластиковой катушке, 4 розетки|245|        |5100|5000|4900||norow||, с заземлением, 3.5кВт (16А)|||/img/pic/elka/small/89-0-154.jpg|/img/pic/elka/big/89-0-154.jpg
#0|Электроудлинитель 30 м, ПВС 3 &#215; 1.0, 4 розетки        |245|89-0-154|1568|1545|1498||
#0|Электроудлинитель 50 м, ПВС 3 &#215; 1.0, 4 розетки        |245|89-0-155|2098|2045|1998||
#1|Силовые электроудлинители на пластиковой катушке, 4 розетки|245|        |5100|5000|4900||norow||, ГОСТ, 16 А|<strong>Степень защиты IP44</strong>||/img/pic/elka/small/udl_kat.jpg|/img/pic/elka/big/udl_kat.jpg
#0|Электроудлинитель 30 м, КГ 3 &#215; 1.5, 4 розетки         |245|UK.30315|3990|3920|3840||
#0|Электроудлинитель 30 м, КГ 3 &#215; 2.5, 4 розетки         |245|UK.30325|4190|4120|4045||
#0|Электроудлинитель 50 м, КГ 3 &#215; 1.5, 4 розетки         |245|UK.50315|4390|4330|4250||
#0|Электроудлинитель 50 м, КГ 3 &#215; 2.5, 4 розетки         |245|UK.50325|5590|5490|5350||

# 283,cat283|Штепсельные вилки
 1|Вилка штепсельная прямая евро черная, каучук     |283|4001    |  79,00|  75,00|-||norow|| 16А, 250V NE-AD <span class="art">арт. 4001</span>|<strong>Степень защиты IP44</strong>||/img/pic/elka/small/vil4001.jpg|/img/pic/elka/big/vil4001.jpg
 0|Вилка прямая евро черная, каучук, IP44, 16А, 250V|283|4001    | 109,00|  88,00|-|
#1|Вилка черная, каучук,                            |283|V.KU.16 |  98,00|  94,00|-||norow|| прямая, 16А, 250V <span class="art">арт. V.KU.16</span>|<strong>Степень защиты IP44</strong>||/img/pic/elka/small/VI-U1.jpg|/img/pic/elka/big/jpg
#0|Вилка черная, каучук, IP44, прямая, 16А, 250V    |283|V.KU.16 |  98,00|  94,00|-|
#1|Вилка черная, каучук,                            |283|V.KU.25 | 338,00| 328,00|-||norow|| прямая, 25А, 250V <span class="art">арт. V.KU.25</span>|<strong>Степень защиты IP44</strong>||/img/pic/elka/small/VI_U1_25.png|/img/pic/elka/big/VI_U1_25.png
#0|Вилка черная, каучук, IP44, прямая, 25А, 250V    |283|V.KU.25 | 375,18| 364,08|-|
