# 302,cat302|Бучарды
 1|Бучарда SDS Max 40 х 40 х 250 мм, 16 зубьев|302|B.B.|2980,00|2900,00|2850,00||norow|| <span class=art>арт. B.B.</span>|</span><span class="for">Бучарда для перфоратора предназначена для создания неровной поверхности (насечек, выбоин) на камне. В основном применяется на натуральном камне. Делает поверхность неровной, шероховатой, вследствие чего пропадает скользящий эффект у камня.</span></p><UL><LI>Сделана из твердосплавного материала.<LI>Нанесение насечек на плоских поверхностях камня, бетона и других материалов повышает прочность их адгезии.<LI>Создание технических насечек на ровной поверхности перед укладкой керамики или плитки позволяет клею лучше сцепить два гладких материала между собой.<LI>Бучарды используют для удаления излишков твердого материала (камня, бетона), придания ему определенной формы. Например, для удаления наплывов с бетонной поверхности после снятия опалубки.<LI>Создание шероховатой поверхности из гладкой улучшает ее механические сцепляющие свойства, например, изначально скользкие гранитные ступени не скользят.<LI>Для подготовки стеновых площадей к чистовой обработке, например, удаления прежней краски, достаточно слегка пройтись по поверхности легкими ударами, и она трескается, и осыпается.<LI>Бучардирование позволяет придать обрабатываемой поверхности декоративно привлекательный внешний вид.</UL><p><span class="addt">||/img/pic/drill/small/bouch.jpg|/img/pic/drill/big/bouch.jpg
 0|Бучарда SDS Max 40 х 40 х 250 мм, 16 зубьев|302|B.B.|3350,00|3250,00|      -|

# 504,cat504|Смазка для буров
#1|Смазка для буров               |504|18126832|139|135|132||norow|| СПЕЦ., 100 мл <span class=art>арт. SS100</span>|</span><span class="for">Предназначена для нанесения на хвостовик бура (долота, зубила и т.п.) перед установкой в перфоратор или отбойный молоток с целью уменьшения трения в рабочем гнезде инструмента. Рекомендована для насадок стандарта SDS-Max и SDS-Plus</span></p><UL><LI>Снижает нагрузку на редуктор при сверлении или долблении жестких поверхностей, т.к. покрытый смазкой хвостовик бура/зубила не будет жестко соприкасаться со стенками патрона.<LI>Снижает температуру и износ деталей; уменьшает попадание пыли внутрь инструмента; продлевает срок службы инструмента. Обработанный инструмент получает дополнительную защиту от коррозии.<LI>По отзывам покупателей, смазка <b>не разбрызгивается при работе и в масло не превращается. Другая, более дешевая смазка при работе тут же превращается в масло и разлетается во все стороны</b>. </UL><p><span class="addt">||/img/pic/drill/small/18126832.jpg|/img/pic/drill/big/18126832.jpg
#0|Смазка для буров СПЕЦ.,  100 мл|504|SS100   |148|144|141||
#1|Смазка для буров               |504|18126832|139|135|132||norow|| METABO, 100 мл <span class=art>арт. 18126832</span>|</span><span class="for">Предназначена для нанесения на хвостовик бура (долота, зубила и т.п.) перед установкой в перфоратор или отбойный молоток с целью уменьшения трения в рабочем гнезде инструмента. Рекомендована для насадок стандарта SDS-Max и SDS-Plus</span></p><UL><LI>Снижает нагрузку на редуктор при сверлении или долблении жестких поверхностей, т.к. покрытый смазкой хвостовик бура/зубила не будет жестко соприкасаться со стенками патрона.<LI>Снижает температуру и износ деталей; уменьшает попадание пыли внутрь инструмента; продлевает срок службы инструмента. Обработанный инструмент получает дополнительную защиту от коррозии.<LI>По отзывам покупателей, смазка <b>не разбрызгивается при работе и в масло не превращается. Другая, более дешевая смазка при работе тут же превращается в масло и разлетается во все стороны</b>. </UL><p><span class="addt">||/img/pic/drill/small/18126832.jpg|/img/pic/drill/big/18126832.jpg
#0|Смазка для буров METABO, 100 мл|504|18126832|355|344|336||
#1|Смазка для буров|504|196804-7|209|204|198||norow|| Makita 196804-7, 100&thinsp;г (95&thinsp;мл) <span class=art>арт. 196804-7</span>|Предназначена для нанесения на хвостовик бура (долота, зубила и т.п.) перед установкой в перфоратор или отбойный молоток.</span></p><UL><LI>снижает температуру и износ деталей<LI>уменьшает попадание пыли внутрь инструмента<LI>продлевает срок службы инструмента</UL><p><span class="addt">||/img/pic/drill/small/m196804-7.jpg|/img/pic/drill/big/m196804-7.jpg
#0|Смазка для буров|504|196804-7|209|204|198||

# 357,cat357|Буры Проломные для перфоратора SDS Max BERGEN
#1|Бур SDS Max 10 &#215; 400                    |357|BPR456| 5690,00| 5620,00| 5555,00||norow|Буры проломные для перфоратора SDS Max| BERGEN|Буры проломные используются для просверливания отверстий больших диаметров и для проделывания проемов в твердых материалах (бетон, кирпич, камень и т.п.)||/img/pic/drill/small/BUR PROLOMNOY.jpg|/img/pic/drill/big/BUR PROLOMNOY.jpg
#0|Бур SDS Max BERGEN проломной 45 &#215; 600 мм|357|BPR456| 7132,42| 7044,67| 6963,19||
#0|Бур SDS Max BERGEN проломной 45 &#215;1000 мм|357|BPR451| 8761,97| 8674,22| 8586,48||
#0|Бур SDS Max BERGEN проломной 55 &#215; 600 мм|357|BPR556| 7508,47| 7420,72| 7345,51||blkt2
#0|Бур SDS Max BERGEN проломной 55 &#215;1000 мм|357|BPR551| 9927,72| 9852,51| 9752,23||
#0|Бур SDS Max BERGEN проломной 68 &#215; 400 мм|357|BPR684| 8009,87| 7909,59| 7809,31||blkt2
#0|Бур SDS Max BERGEN проломной 68 &#215; 600 мм|357|BPR686| 9514,07| 9413,79| 9326,04||
#0|Бур SDS Max BERGEN проломной 68 &#215; 800 мм|357|BPR688|11770,37|11670,09|11582,34||
#0|Бур SDS Max BERGEN проломной 68 &#215;1000 мм|357|BPR681|13023,87|12898,52|12685,42||
#0|Бур SDS Max BERGEN проломной 80 &#215; 600 мм|357|BPR806|11970,93|11870,65|11732,76|| blkt2
#0|Бур SDS Max BERGEN проломной 80 &#215;1000 мм|357|BPR801|15480,73|15330,31|15192,42||

## [2+51+14+18+45 размер + 3ц А] 
## 48,cat48|Буры BERGEN Max
#1|Бур по бетону SDS Max 10 &#215; 310 мм BERGEN Pro|48|Бур по бетону SDS Max 10 &#215; 310 мм BERGEN Pro|BM10400 |      -|      -|      -|309|norow mult2 sale1|Буры по бетону для перфоратора SDS Max| BERGEN&nbsp;/<span class="blue">&nbsp;MATRIX</span>|Высококачественные буры для профессионального использования <b>BERGEN</b> обладают повышенной износоустойчивостью и применяются в работе по бетону, кирпичу и камню||/img/pic/drill/small/BURY SDS MAX.jpg|/img/pic/drill/big/BURY SDS MAX.jpg
 1|Бур по бетону SDS Max 10 &#215; 310 мм BERGEN Pro|48|Бур по бетону SDS Max 10 &#215; 310 мм BERGEN Pro|BM10400 |      -|      -|      -|309|norow sale1|Буры по бетону для перфоратора SDS Max| BERGEN&nbsp;/<span class="blue">&nbsp;MATRIX</span>|Высококачественные буры для профессионального использования <b>BERGEN</b> обладают повышенной износоустойчивостью и применяются в работе по бетону, кирпичу и камню||/img/pic/drill/small/BURY SDS MAX.jpg|/img/pic/drill/big/BURY SDS MAX.jpg
 0|Бур по бетону SDS Max 22 &#215; 800 мм MATRIX    |48|Бур по бетону SDS Max 22 &#215; 800 мм MATRIX    |71271   | 900,00| 900,00|      -|309|blue
 0|Бур по бетону SDS Max 22 &#215; 800 мм BERGEN Pro|48|Бур по бетону SDS Max 22 &#215; 800 мм BERGEN Pro|BM22800 |1290,00|1290,00|      -|309|
 0|Бур по бетону SDS Max 26 &#215; 400 мм BERGEN Pro|48|Бур по бетону SDS Max 26 &#215; 400 мм BERGEN Pro|BM26400 | 890,00| 890,00|      -|309|
 0|Бур по бетону SDS Max 28 &#215;1000 мм BERGEN Pro|48|Бур по бетону SDS Max 28 &#215;1000 мм BERGEN Pro|BM281000|1900,00|1900,00|      -|309|
#1|Бур по бетону SDS Max 25 &#215; 400 мм BERGEN Pro|48|Бур по бетону SDS Max 25 &#215; 400 мм BERGEN Pro|BM25400 |      -|      -|      -|309|mult2 next norow sale1
 0|Бур по бетону SDS Max 30 &#215; 300 мм MATRIX    |48|Бур по бетону SDS Max 30 &#215; 300 мм MATRIX    |71218   | 700,00| 700,00|      -|309|blue
 0|Бур по бетону SDS Max 30 &#215; 800 мм BERGEN Pro|48|Бур по бетону SDS Max 30 &#215; 800 мм BERGEN Pro|BM30800 |1390,00|1390,00|      -|309|
 0|Бур по бетону SDS Max 35 &#215; 600 мм BERGEN Pro|48|Бур по бетону SDS Max 35 &#215; 600 мм BERGEN Pro|BM35600 |1590,00|1590,00|      -|309|
#0|&nbsp;|48|&nbsp;|&nbsp;|&nbsp;|&nbsp;|&nbsp;||blkt2 empty
 
 1|Бур по бетону SDS Max Pro 10 &#215; 310 мм, BERGEN|48|10 &#215; 310 мм|BM10400 |      -|      -|      -||blue norow mult2|Буры по бетону для перфоратора SDS Max| BERGEN|<strong>Высококачественные буры для профессионального использования</strong><br>Обладают повышенной износоустойчивостью и применяются в работе по бетону, кирпичу и камню||/img/pic/drill/small/BURY SDS MAX.jpg|/img/pic/drill/big/BURY SDS MAX.jpg
 0|Бур по бетону SDS Max Pro 10 &#215; 400 мм, BERGEN|48|10 &#215; 400 мм|BM10400 |      -|      -|      -||
~0|Бур по бетону SDS Max Pro 10 &#215; 600 мм, BERGEN|48|10 &#215; 600 мм|BM10600 |1025,00| 998,00|      -||
~0|Бур по бетону SDS Max Pro 10 &#215; 800 мм, BERGEN|48|10 &#215; 800 мм|BM10800 |1390,00|1350,00|      -||
~0|Бур по бетону SDS Max Pro 10 &#215;1000 мм, BERGEN|48|10 &#215;1000 мм|BM101000|1820,00|1780,00|      -||
 0|Бур по бетону SDS Max Pro 12 &#215; 400 мм, BERGEN|48|12 &#215; 400 мм|BM12400 |      -|      -|      -||blkt2
~0|Бур по бетону SDS Max Pro 12 &#215; 600 мм, BERGEN|48|12 &#215; 600 мм|BM12600 |1050,00|1015,00|      -||
~0|Бур по бетону SDS Max Pro 12 &#215; 800 мм, BERGEN|48|12 &#215; 800 мм|BM12800 |1590,00|1560,00|      -||
~0|Бур по бетону SDS Max Pro 12 &#215;1000 мм, BERGEN|48|12 &#215;1000 мм|BM121000|1850,00|1815,00|      -||
 0|Бур по бетону SDS Max Pro 14 &#215; 400 мм, BERGEN|48|14 &#215; 400 мм|BM14400 |      -|      -|      -||blkt2
~0|Бур по бетону SDS Max Pro 14 &#215; 600 мм, BERGEN|48|14 &#215; 600 мм|BM14600 |1125,00|1100,00|      -||
~0|Бур по бетону SDS Max Pro 14 &#215; 800 мм, BERGEN|48|14 &#215; 800 мм|BM14800 |1625,00|1600,00|      -||
~0|Бур по бетону SDS Max Pro 14 &#215;1000 мм, BERGEN|48|14 &#215;1000 мм|ВМ141000|1925,00|1880,00|      -||
~0|Бур по бетону SDS Max Pro 16 &#215; 400 мм, BERGEN|48|16 &#215; 400 мм|BM16400 | 770,00| 750,00|      -||blkt2
~0|Бур по бетону SDS Max Pro 16 &#215; 600 мм, BERGEN|48|16 &#215; 600 мм|BM16600 |1125,00|1100,00|      -||
~0|Бур по бетону SDS Max Pro 16 &#215; 800 мм, BERGEN|48|16 &#215; 800 мм|BM16800 |1710,00|1675,00|      -||
~0|Бур по бетону SDS Max Pro 16 &#215;1000 мм, BERGEN|48|16 &#215;1000 мм|BM161000|2115,00|2050,00|      -||
~0|Бур по бетону SDS Max Pro 18 &#215; 400 мм, BERGEN|48|18 &#215; 400 мм|BM18400 | 810,00| 785,00|      -||blkt2
~0|Бур по бетону SDS Max Pro 18 &#215; 600 мм, BERGEN|48|18 &#215; 600 мм|BM18600 |1275,00|1250,00|      -||
~0|Бур по бетону SDS Max Pro 18 &#215; 800 мм, BERGEN|48|18 &#215; 800 мм|BM18800 |1750,00|1715,00|      -||
~0|Бур по бетону SDS Max Pro 18 &#215;1000 мм, BERGEN|48|18 &#215;1000 мм|BM181000|2200,00|2150,00|      -||
~0|Бур по бетону SDS Max Pro 20 &#215; 400 мм, BERGEN|48|20 &#215; 400 мм|BM20400 |1000,00| 975,00|      -||blkt
~0|Бур по бетону SDS Max Pro 20 &#215; 600 мм, BERGEN|48|20 &#215; 600 мм|BM20600 |1325,00|1295,00|      -||
~0|Бур по бетону SDS Max Pro 20 &#215; 800 мм, BERGEN|48|20 &#215; 800 мм|BM20800 |1800,00|1760,00|      -||
~0|Бур по бетону SDS Max Pro 20 &#215;1000 мм, BERGEN|48|20 &#215;1000 мм|BM201000|2225,00|2175,00|      -||
 0|Бур по бетону SDS Max Pro 22 &#215; 400 мм, BERGEN|48|22 &#215; 400 мм|BM22400 |      -|      -|      -||blkt2
 0|Бур по бетону SDS Max Pro 22 &#215; 600 мм, BERGEN|48|22 &#215; 600 мм|BM22600 |      -|      -|      -||
#0|Бур по бетону SDS Max Pro 22 &#215; 800 мм, BERGEN|48|22 &#215; 800 мм|BM22800 |      -|      -|      -||
 0|Бур по бетону SDS Max Pro 22 &#215;1000 мм, BERGEN|48|22 &#215;1000 мм|BM221000|      -|      -|      -||
 1|Бур по бетону SDS Max Pro 25 &#215; 400 мм, BERGEN|48|25 &#215; 400 мм|BM25400 |      -|      -|      -||mult2 next norow
 0|Бур по бетону SDS Max Pro 25 &#215; 400 мм, BERGEN|48|25 &#215; 400 мм|BM25400 |      -|      -|      -||
~0|Бур по бетону SDS Max Pro 25 &#215; 600 мм, BERGEN|48|25 &#215; 600 мм|BM25600 |1525,00|1498,00|      -||
~0|Бур по бетону SDS Max Pro 25 &#215; 800 мм, BERGEN|48|25 &#215; 800 мм|BM25800 |1925,00|1890,00|      -||
